time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	70.04
0.04	0	70.69
0.05	0	71.82
0.06	0	73.39
0.07	0	76.13
0.08	0	78.5
0.09	0	79.17
0.1	0	78.93
0.11	0	78.81
0.12	0	78.98
0.13	0	79.09
0.14	0	78.99
0.15	0	78.53
0.16	0	77.78
0.17	0	77.56
0.18	0	77.36
0.19	0	76.96
0.2	0	76.78
0.21	0	77.01
0.22	0	77.28
0.23	0	77.61
0.24	0	77.83
0.25	0	77.69
0.26	0	77.2
0.27	0	76.9
0.28	0	76.84
0.29	0	76.66
0.3	0	76.47
0.31	0	76.46
0.32	0	76.35
0.33	0	76.1
0.34	0	76.06
0.35	0	76.13
0.36	0	76.13
0.37	0	76.19
0.38	0	76.07
0.39	0	75.58
0.4	0	75.01
0.41	0	74.7
0.42	0	74.87
0.43	0	75.26
0.44	0	75.11
0.45	0	74.8
0.46	0	74.84
0.47	0	74.65
0.48	0	72.9
0.49	0	68.76
0.5	0	64.44
0.51	0	62.32
0.52	0	61.81
0.53	0	62.33
0.54	0	63
0.55	0	62.35
0.56	0	58.6
0.57	0	50.26
0.58	0	45.02
0.59	0	53.76
0.6	0	61.92
0.61	0	63.15
0.62	0	62.88
0.63	0	67.03
0.64	0	70.88
0.65	0	72.58
0.66	0	73.57
0.67	0	74.94
0.68	0	75.28
0.69	0	75.08
0.7	0	75.18
0.71	0	75.51
0.72	0	75.53
0.73	0	75.6
0.74	0	75.45
0.75	0	74.7
0.76	0	73.49
0.77	0	72.22
0.78	0	71.21
0.79	0	69.87
0.8	0	67.75
0.81	0	65.96
0.82	0	65.84
0.83	0	65.01
0.84	0	63.95
0.85	0	62.28
0.86	0	59.19
0.87	0	60.41
0.88	0	64.88
0.89	0	65.73
0.9	0	64.4
0.91	0	63.33
0.92	0	59.5
0.93	0	50.67
0.94	0	45.12
0.95	0	51.68
0.96	0	59.25
0.97	0	62.97
0.98	0	67.22
0.99	0	69.66
1	0	70.85
1.01	0	72.15
1.02	0	73.03
1.03	0	72.37
1.04	0	70.76
1.05	0	69.27
1.06	0	68.02
1.07	0	65.65
1.08	0	61.99
1.09	0	61.43
1.1	0	65.78
1.11	0	68.79
1.12	0	70.17
1.13	0	71.17
1.14	0	71.17
1.15	0	71.35
1.16	0	72.2
1.17	0	72.54
1.18	0	72.59
1.19	0	72.35
1.2	0	72.25
1.21	0	72.38
1.22	0	72.38
1.23	0	72.35
1.24	0	72.43
1.25	0	72.44
1.26	0	72.35
1.27	0	72.29
1.28	0	72.11
1.29	0	72.33
1.3	0	72.7
1.31	0	73.05
1.32	0	73.41
1.33	0	73.9
1.34	0	74.6
1.35	0	74.12
1.36	0	72.98
1.37	0	71.86
1.38	0	70.12
1.39	0	67.86
1.4	0	64.67
1.41	0	60.67
1.42	0	58.61
1.43	0	57.92
1.44	0	57.37
1.45	0	56.45
1.46	0	55
1.47	0	54.22
1.48	0	56.84
1.49	0	61.92
1.5	0	68.54
1.51	0	71.89
1.52	0	72.6
1.53	0	72.16
1.54	0	71.54
1.55	0	71.12
1.56	0	70.7
1.57	0	69.99
1.58	0	69.29
1.59	0	67.91
1.6	0	65.3
1.61	0	63.54
1.62	0	61.53
1.63	0	60.11
1.64	0	59.83
1.65	0	56.41
1.66	0	51.3
1.67	0	53.6
1.68	0	66.19
1.69	0	73.87
1.7	0	74.44
1.71	0	72.99
1.72	0	72.15
1.73	0	67.66
1.74	0	61.54
1.75	0	58.51
1.76	0	51.89
1.77	0	44.76
1.78	0	44.68
1.79	0	51.57
1.8	0	56.86
1.81	0	57.51
1.82	0	59.41
1.83	0	64.43
1.84	0	68.38
1.85	0	70.86
1.86	0	72.05
1.87	0	71.89
1.88	0	72.03
1.89	0	72.42
1.9	0	72.8
1.91	0	73.42
1.92	0	74.36
1.93	0	74.46
1.94	0	74.28
1.95	0	73.99
1.96	0	72.88
1.97	0	71.86
1.98	0	71.51
1.99	0	71.47
2	0	71.1
2.01	0	71.91
2.02	0	72.68
2.03	0	72.7
2.04	0	72.58
2.05	0	71.56
2.06	0	69.99
2.07	0	68.63
2.08	0	67.36
2.09	0	66.83
2.1	0	66.59
2.11	0	65.48
2.12	0	62.98
2.13	0	61.93
2.14	0	61.84
2.15	0	61.36
2.16	0	61.88
2.17	0	61.59
2.18	0	0
2.19	0	0
2.2	0	0
