time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.27
0.04	0	32.68
0.05	0	30.99
0.06	0	29.88
0.07	0	29.82
0.08	0	29.01
0.09	0	28.46
0.1	0	28.72
0.11	0	28.95
0.12	0	30.64
0.13	0	44.32
0.14	0	53.08
0.15	0	61.23
0.16	263.94	70.66
0.17	261.89	76.11
0.18	261.11	78.65
0.19	262.16	79.98
0.2	264.72	81.17
0.21	268.28	82.46
0.22	271.96	83.64
0.23	276.51	84.06
0.24	282.03	83.85
0.25	288.6	83.36
0.26	295.52	82.35
0.27	301.04	80.3
0.28	302.68	76.4
0.29	298.53	69.24
0.3	0	57.11
0.31	0	39.76
0.32	0	28.66
0.33	0	28.57
0.34	0	50.54
0.35	0	65.9
0.36	0	71.09
0.37	0	72.48
0.38	0	74.66
0.39	0	74.33
0.4	0	71.87
0.41	0	69.37
0.42	0	69.79
0.43	0	74.07
0.44	0	76.73
0.45	0	74.29
0.46	0	68.6
0.47	0	65.21
0.48	0	61.71
0.49	0	56.32
0.5	0	54.87
0.51	0	62.67
0.52	0	70.57
0.53	0	75.21
0.54	0	79.75
0.55	257.22	84.44
0.56	258.98	85.7
0.57	257.22	85.54
0.58	252.54	85.7
0.59	248.47	85.91
0.6	245.23	85.96
0.61	243.08	85.97
0.62	241.45	86.04
0.63	239.66	86.11
0.64	238.28	85.99
0.65	237.47	85.6
0.66	237.2	85
0.67	237.37	84.28
0.68	237.27	83.72
0.69	237.2	83.49
0.7	237.17	83.36
0.71	236.84	82.85
0.72	236.18	81.86
0.73	235.77	80.41
0.74	235.73	78.59
0.75	236.09	76.21
0.76	236.34	72.11
0.77	236.61	67.74
0.78	236.08	66.42
0.79	235.08	66.69
0.8	232.77	69.92
0.81	231.08	73.82
0.82	229.91	76.09
0.83	228.08	77.34
0.84	225.54	78.5
0.85	223.35	79.56
0.86	222.66	80.23
0.87	222.71	80.79
0.88	222.34	81.19
0.89	221.92	81.1
0.9	222.23	80.75
0.91	223.78	80.23
0.92	226.18	79.51
0.93	228.83	78.28
0.94	232.13	76.09
0.95	237.11	73.53
0.96	238.91	70.44
0.97	236.22	64
0.98	0	54.63
0.99	0	58.79
1	0	67.53
1.01	0	70.91
1.02	0	71.2
1.03	0	70.34
1.04	0	67.77
1.05	0	64.14
1.06	0	62.62
1.07	261.74	66.14
1.08	263.17	72.98
1.09	261.84	76.77
1.1	256.48	78.24
1.11	250.54	78.52
1.12	246.72	78.12
1.13	244.98	77.6
1.14	244.11	77.33
1.15	243.06	77.35
1.16	241.74	77.17
1.17	240.43	76.59
1.18	239.47	75.57
1.19	238.22	73.39
1.2	237.12	69.47
1.21	234.73	66.12
1.22	229.57	66.69
1.23	225.44	69.51
1.24	223.43	71.36
1.25	222.57	71.89
1.26	222.16	71.74
1.27	222.39	71.52
1.28	223.99	70.69
1.29	224.95	67.65
1.3	0	60.37
1.31	0	45.09
1.32	0	49.36
1.33	0	63.82
1.34	0	70.39
1.35	0	72.87
1.36	0	72.76
1.37	0	67.85
1.38	0	62.5
1.39	235.99	68.93
1.4	229.79	75.45
1.41	219.37	76.8
1.42	208.48	75.8
1.43	203.79	75.31
1.44	202.59	75.45
1.45	201.77	75.51
1.46	200.31	75.43
1.47	198.8	74.88
1.48	197.72	73.85
1.49	197.53	72.39
1.5	197.92	69.97
1.51	198.93	66.01
1.52	202.49	60.93
1.53	0	55.61
1.54	0	51.68
1.55	0	50.96
1.56	0	51.22
1.57	0	52.19
1.58	0	53.4
1.59	0	54.05
1.6	0	53.99
1.61	0	52.5
1.62	0	51.62
1.63	0	50.4
1.64	0	47.54
1.65	0	44.46
1.66	0	41.35
1.67	0	39.1
1.68	0	38.79
1.69	0	38.53
1.7	0	36.43
1.71	0	35.48
1.72	0	35.6
1.73	0	35.84
1.74	0	36.63
1.75	0	37.04
1.76	0	37.3
1.77	0	36.93
1.78	0	36.28
1.79	0	0
1.8	0	0
1.81	0	0
?	?	?
