time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	23.2
0.05	0	23.16
0.06	0	22.77
0.07	0	23.16
0.08	0	23.72
0.09	0	24.23
0.1	0	25.28
0.11	0	27
0.12	0	34.49
0.13	0	58.2
0.14	0	71.45
0.15	0	75.64
0.16	0	74.4
0.17	0	70.36
0.18	0	60.92
0.19	0	51.85
0.2	0	49.57
0.21	0	44.28
0.22	0	42.32
0.23	0	41.6
0.24	0	41.55
0.25	0	40.57
0.26	0	39.54
0.27	0	39.32
0.28	0	39.31
0.29	0	39.81
0.3	0	39.62
0.31	0	39.65
0.32	0	39.22
0.33	0	39.14
0.34	0	39.17
0.35	0	39.06
0.36	0	39.21
0.37	0	39.52
0.38	0	40.65
0.39	0	40.7
0.4	0	39.36
0.41	0	38.57
0.42	0	38.34
0.43	0	37.21
0.44	0	35.48
0.45	0	33.86
0.46	0	33.31
0.47	0	32.62
0.48	0	29.96
0.49	0	26.89
0.5	0	25.31
0.51	0	23.57
0.52	0	22.03
0.53	0	22.89
0.54	0	23.87
0.55	0	25.84
0.56	0	30.39
0.57	0	40.19
0.58	0	50.82
0.59	0	56.1
0.6	191.56	57.74
0.61	190.72	59.51
0.62	195.69	63.32
0.63	205.35	68.4
0.64	217.7	73.14
0.65	227.16	76.66
0.66	231.51	79.02
0.67	233.34	81.02
0.68	234.35	82.86
0.69	234.4	84.26
0.7	233.55	85.04
0.71	232.57	85.25
0.72	230.92	84.47
0.73	228.4	81.09
0.74	223.42	74.94
0.75	218.27	77.44
0.76	218.57	81.88
0.77	214.72	83.08
0.78	212.26	82.94
0.79	211.89	82.81
0.8	212.09	82.75
0.81	212.31	82.51
0.82	213.4	82.16
0.83	214.52	81.8
0.84	215.5	81.11
0.85	210.89	80.24
0.86	198.06	79.35
0.87	184.93	76.78
0.88	179.72	71.61
0.89	0	62.64
0.9	0	46.36
0.91	0	35.48
0.92	0	44.58
0.93	0	49.12
0.94	0	50.06
0.95	0	50.04
0.96	0	50.08
0.97	0	50.46
0.98	0	50.76
0.99	0	51.22
1	0	51.75
1.01	0	51.62
1.02	0	52.13
1.03	0	62.09
1.04	0	71.98
1.05	167.57	76.54
1.06	166.89	78.03
1.07	161.08	77.48
1.08	155.23	74.36
1.09	0	66.72
1.1	0	52.04
1.11	0	35.23
1.12	0	26.65
1.13	0	23.02
1.14	0	21.54
1.15	0	21.15
1.16	0	21.33
1.17	0	21.26
1.18	0	22.69
1.19	0	39.67
1.2	0	56.19
1.21	0	63.27
1.22	0	68.76
1.23	0	73.59
1.24	170.41	76.09
1.25	170.77	76.9
1.26	169.78	76.59
1.27	168.66	75.5
1.28	168.74	73.29
1.29	170	69.41
1.3	169.96	65.39
1.31	0	65.71
1.32	0	67.5
1.33	0	68.24
1.34	0	68.39
1.35	0	68.78
1.36	0	69.2
1.37	0	69.43
1.38	0	69.57
1.39	0	69.22
1.4	0	69.58
1.41	0	68.94
1.42	0	65.48
1.43	0	63.07
1.44	0	66.86
1.45	0	68.51
1.46	178.2	68.05
1.47	179.05	66
1.48	177.85	61.22
1.49	0	52.21
1.5	0	43.91
1.51	0	39.25
1.52	0	44.45
1.53	0	57.88
1.54	0	63.47
1.55	0	63.8
1.56	0	66.17
1.57	175.85	69.25
1.58	178.92	71.09
1.59	179.37	72.96
1.6	179.02	74.93
1.61	175.32	76
1.62	168	77.02
1.63	162.56	78.87
1.64	161.38	79.87
1.65	160.81	79.89
1.66	161.3	79.72
1.67	162.6	79.61
1.68	163.28	79.49
1.69	163.06	79.29
1.7	163.7	78.95
1.71	164.59	78.35
1.72	164.45	77.46
1.73	163.8	76.48
1.74	162.58	75.79
1.75	160.89	74.81
1.76	159.84	72.41
1.77	158.36	67.94
1.78	156.87	61.61
1.79	0	54.52
1.8	0	53.75
1.81	0	54.41
1.82	0	51.79
1.83	0	50.73
1.84	0	50.45
1.85	0	50.22
1.86	0	50.39
1.87	0	50.38
1.88	0	50.03
1.89	0	49.21
1.9	0	48.38
1.91	0	48.14
1.92	0	47.66
1.93	0	45.66
1.94	0	53.87
1.95	0	62.65
1.96	0	67.11
1.97	0	68.06
1.98	0	67.08
1.99	0	68.89
2	0	69.71
2.01	0	69.94
2.02	0	70.24
2.03	0	70.08
2.04	0	69.72
2.05	0	68.94
2.06	0	68.13
2.07	0	67.56
2.08	0	65.06
2.09	0	61.2
2.1	0	55.25
2.11	0	50.42
2.12	0	47.07
2.13	0	43.39
2.14	0	38.61
2.15	0	34.05
2.16	0	32.77
2.17	0	32.77
2.18	0	32.09
2.19	0	31.13
2.2	0	29.52
2.21	0	28.08
2.22	0	27.74
2.23	0	0
2.24	0	0
2.25	0	0
