time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	41.36
0.04	0	38.74
0.05	0	35.17
0.06	0	32.87
0.07	0	32.75
0.08	0	32.64
0.09	0	33.2
0.1	0	33.68
0.11	0	34.69
0.12	0	37.32
0.13	0	41.56
0.14	0	45.3
0.15	0	47.1
0.16	0	48.85
0.17	0	62.84
0.18	276.82	71.3
0.19	230.2	76.09
0.2	229.19	79.82
0.21	223.51	82.08
0.22	223.74	83.54
0.23	226.61	84.62
0.24	230.48	85.18
0.25	237.23	85.15
0.26	244.25	84.6
0.27	248.79	83.04
0.28	255.67	80.25
0.29	252.15	77.84
0.3	242.63	74.52
0.31	240.8	67.2
0.32	0	59.54
0.33	0	54.76
0.34	0	50.42
0.35	0	56.54
0.36	0	64.48
0.37	0	68.78
0.38	283.45	73.02
0.39	261.39	77.36
0.4	253.62	79.95
0.41	247.93	79.72
0.42	233.56	76.38
0.43	235.44	74.27
0.44	233.26	74.06
0.45	231.05	73.88
0.46	229.67	73.78
0.47	229.04	74.86
0.48	238.34	77.9
0.49	225.88	79.97
0.5	222.77	80.96
0.51	221.95	81.65
0.52	220.5	82.14
0.53	220.74	82.45
0.54	219.63	82.79
0.55	220.39	82.89
0.56	221.6	82.67
0.57	224.12	82.34
0.58	225.97	81.76
0.59	228.6	80.22
0.6	226.3	76.7
0.61	222.2	70.93
0.62	0	64.86
0.63	0	63.68
0.64	0	63.97
0.65	0	63.64
0.66	0	63.17
0.67	0	62.19
0.68	0	61.26
0.69	0	60.58
0.7	0	59.45
0.71	0	58.53
0.72	0	62.08
0.73	254.88	71.18
0.74	226.47	76.19
0.75	219.42	77.87
0.76	212.93	77.85
0.77	209.41	77.16
0.78	206.32	75.98
0.79	210.2	75.89
0.8	209.71	76.65
0.81	208.63	76.92
0.82	208.45	76.77
0.83	206.69	76.52
0.84	206.18	77.53
0.85	209.2	79.7
0.86	207.12	80.48
0.87	207.16	80.26
0.88	208.16	80.57
0.89	207.66	81.13
0.9	207.77	81.56
0.91	206.67	82.08
0.92	207.28	82.61
0.93	207.09	82.96
0.94	206.91	83.14
0.95	208.97	83.34
0.96	210.02	83.42
0.97	212.21	83.35
0.98	213.43	83.5
0.99	216.52	83.83
1	217.74	83.22
1.01	220.32	81.09
1.02	220.74	78.22
1.03	218.68	74.16
1.04	211.85	67.47
1.05	220	61.71
1.06	238.99	62.7
1.07	244.54	68.17
1.08	230.09	73.63
1.09	228.49	77.07
1.1	227.43	78.52
1.11	223.73	78.51
1.12	222.01	77.57
1.13	220.64	76.01
1.14	217.5	74.38
1.15	215.18	73.48
1.16	213.3	73.98
1.17	211.81	76.09
1.18	214.13	78.91
1.19	218.48	80.05
1.2	207.1	79.02
1.21	204.64	79.76
1.22	207.33	81.95
1.23	204.51	81.98
1.24	202.48	80.87
1.25	202.98	80.88
1.26	204.63	81.01
1.27	205.25	80.51
1.28	204.75	78
1.29	0	70.97
1.3	0	56.53
1.31	0	40.2
1.32	0	36.23
1.33	0	38.06
1.34	0	43.89
1.35	0	48.89
1.36	0	52.89
1.37	0	55.63
1.38	0	61.35
1.39	0	71.05
1.4	218.91	75.78
1.41	213.01	76.61
1.42	208.87	76
1.43	205.97	75.08
1.44	204.17	73.63
1.45	200.64	70.99
1.46	205.24	68.88
1.47	207.89	68.54
1.48	204.74	67.53
1.49	207.55	65.11
1.5	0	60.41
1.51	0	57.25
1.52	252.48	62.79
1.53	0	67.98
1.54	0	69.89
1.55	0	69.3
1.56	0	65.97
1.57	0	63.18
1.58	0	64.62
1.59	0	66.45
1.6	0	69.63
1.61	225.13	74.65
1.62	212.69	77.72
1.63	205.21	79.63
1.64	199.9	80.65
1.65	201.69	80.85
1.66	202.21	80.79
1.67	203.31	80.95
1.68	199.04	81.31
1.69	190.29	80.88
1.7	178.6	79.15
1.71	0	77.09
1.72	0	70.34
1.73	0	54.89
1.74	0	41.1
1.75	0	35.55
1.76	0	35.8
1.77	0	38.17
1.78	0	41.87
1.79	0	45.33
1.8	0	46.78
