time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	36.45
0.04	0	36.98
0.05	0	40.26
0.06	0	43.42
0.07	0	40.38
0.08	0	34.6
0.09	0	36.13
0.1	0	37.44
0.11	0	37.68
0.12	0	39.32
0.13	0	49.64
0.14	0	63.74
0.15	0	70.48
0.16	0	71.01
0.17	0	68.8
0.18	0	67.14
0.19	0	65.27
0.2	0	63.09
0.21	0	62.19
0.22	0	67.25
0.23	225.65	74.49
0.24	233.41	78.97
0.25	238.99	82.44
0.26	240.55	84.21
0.27	238.84	83.88
0.28	237.9	83.75
0.29	237.98	83.64
0.3	238.28	83.37
0.31	240.1	82.96
0.32	242.73	81.82
0.33	244.31	79.13
0.34	248.66	76.89
0.35	251.73	76.18
0.36	251.31	73.61
0.37	253.55	67.72
0.38	0	59.16
0.39	0	62.96
0.4	0	72.92
0.41	0	76.57
0.42	0	75.59
0.43	297.28	74.86
0.44	281.23	75.91
0.45	279.32	76.18
0.46	276.7	75.6
0.47	273.12	74.04
0.48	270.19	69.99
0.49	0	62.48
0.5	0	53.93
0.51	0	42.81
0.52	0	45.22
0.53	0	61.97
0.54	0	70.81
0.55	0	75.94
0.56	0	77.67
0.57	0	75.43
0.58	0	70.98
0.59	0	68.66
0.6	0	74.54
0.61	254.47	78.89
0.62	252.26	79.95
0.63	246.78	80
0.64	243.88	79.84
0.65	242.7	79.8
0.66	242.35	79.85
0.67	242.16	79.91
0.68	242.2	79.72
0.69	241.77	79.16
0.7	241.86	78.42
0.71	242.15	77.58
0.72	241.85	76.87
0.73	240.26	76.62
0.74	237.55	77.06
0.75	234.44	78.19
0.76	232.28	79.72
0.77	227.67	81.04
0.78	221.41	81.67
0.79	213.67	81.88
0.8	206.17	82.78
0.81	201.29	83.94
0.82	196.75	84.52
0.83	192.78	84.6
0.84	190.73	84.15
0.85	189.32	82.45
0.86	187.38	78.26
0.87	184.36	70.45
0.88	0	57.8
0.89	0	45.38
0.9	0	49.38
0.91	0	65.04
0.92	0	71.51
0.93	0	71.84
0.94	0	69.08
0.95	0	66.17
0.96	0	63.2
0.97	0	60.46
0.98	0	62.93
0.99	0	71.73
1	210.16	76.76
1.01	211.52	78.76
1.02	209.98	79.68
1.03	209.06	80.56
1.04	209.44	80.88
1.05	209.78	80.86
1.06	210.27	81.01
1.07	211.48	81.08
1.08	212.66	80.06
1.09	213.59	76.54
1.1	217.75	72.23
1.11	219.99	70.46
1.12	217.79	67.66
1.13	207.04	61.13
1.14	0	52.61
1.15	0	59.98
1.16	0	70.68
1.17	0	75.42
1.18	0	75.8
1.19	0	73.27
1.2	241.46	71.65
1.21	228.73	71.77
1.22	226.82	71.38
1.23	225.26	70.86
1.24	223.62	69.83
1.25	219.58	67.92
1.26	215.18	64.09
1.27	0	56.93
1.28	0	49.05
1.29	0	56.26
1.3	0	60.73
1.31	0	63.66
1.32	0	69.71
1.33	207.22	72.54
1.34	201.97	72.57
1.35	197.44	73.03
1.36	194.48	74.18
1.37	192.14	75.32
1.38	189.87	76.26
1.39	188.24	76.99
1.4	186.42	77.7
1.41	184.9	78.3
1.42	182.67	78.6
1.43	180.59	78.75
1.44	179.72	78.71
1.45	177.91	78.46
1.46	176.71	78.1
1.47	175.44	77.56
1.48	175.13	76.99
1.49	174.3	76.4
1.5	174.48	75.81
1.51	175.11	75.16
1.52	175.24	74.25
1.53	174.61	73.09
1.54	175.94	71.83
1.55	178.11	70.33
1.56	180.08	68.49
1.57	182.07	66.5
1.58	181.8	64.52
1.59	182.33	62.35
1.6	173.73	59.5
1.61	0	57.36
1.62	0	56.06
1.63	0	51.7
1.64	0	48.32
1.65	0	47.23
1.66	0	46.83
1.67	0	46.32
1.68	0	45.51
1.69	0	44.77
1.7	0	44.26
1.71	0	43.38
1.72	0	42.59
1.73	0	44.35
1.74	0	47.48
1.75	0	46.18
1.76	0	42.98
1.77	0	41.5
1.78	0	40.51
1.79	0	39.81
1.8	0	39.5
1.81	0	39.26
1.82	0	39.12
1.83	0	39.03
1.84	0	38.51
1.85	0	38.21
1.86	0	38.07
1.87	0	37.78
1.88	0	37.84
1.89	0	37.88
1.9	0	37.61
1.91	0	36.85
1.92	0	36.71
1.93	0	37
1.94	0	37.32
1.95	0	37.25
1.96	0	36.41
1.97	0	35.86
1.98	0	36.39
1.99	0	36.87
2	0	36.38
2.01	0	36.24
2.02	0	36.52
2.03	0	36.79
2.04	0	37.18
2.05	0	37.31
2.06	0	0
2.07	0	0
2.08	0	0
