time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.66
0.05	0	28.57
0.06	0	30.2
0.07	0	32.11
0.08	0	32.88
0.09	0	33.48
0.1	0	34.01
0.11	0	36.88
0.12	0	46.28
0.13	0	56.64
0.14	231.21	62.83
0.15	222.24	64.97
0.16	218.29	65.42
0.17	218.04	66.76
0.18	222.7	72.67
0.19	222.83	78.47
0.2	220.49	81.31
0.21	218.35	81.97
0.22	219.13	82.23
0.23	220.89	82.53
0.24	221.91	82.48
0.25	224.13	82.07
0.26	227.24	81.17
0.27	233.82	79.56
0.28	238.05	77.37
0.29	238.1	74.18
0.3	0	68.87
0.31	0	60.8
0.32	0	54.45
0.33	0	58.57
0.34	0	63.99
0.35	0	65.92
0.36	0	68.29
0.37	0	70.57
0.38	0	70.26
0.39	0	67.92
0.4	0	66.31
0.41	0	65.8
0.42	0	64.71
0.43	0	62.38
0.44	0	61.53
0.45	321.69	68.27
0.46	311.09	72.98
0.47	301.92	74.56
0.48	296.07	74.87
0.49	294.48	74.65
0.5	295.71	74.24
0.51	293.66	73.96
0.52	292.39	73.48
0.53	293.98	73.32
0.54	296.08	74.88
0.55	297.36	76.4
0.56	299.89	76.56
0.57	300.71	75.74
0.58	304.16	74.93
0.59	307.07	74.37
0.6	308.04	73.52
0.61	303.76	71.72
0.62	0	67.32
0.63	0	58.2
0.64	0	42.78
0.65	0	30.5
0.66	0	39.54
0.67	0	55.98
0.68	0	63.01
0.69	0	65.91
0.7	0	66.61
0.71	0	65.94
0.72	0	65.08
0.73	0	63.64
0.74	0	62.01
0.75	0	64.68
0.76	253.65	71.03
0.77	243.66	75.1
0.78	239.01	77.02
0.79	238.11	77.85
0.8	232.36	77.98
0.81	226.11	77.74
0.82	221.86	77.4
0.83	218.3	77.22
0.84	216.22	77.14
0.85	216.72	76.53
0.86	218.15	75.79
0.87	219.06	75.65
0.88	219.8	75.65
0.89	221.66	75.64
0.9	223.53	75.63
0.91	228.32	76.23
0.92	232.29	77.42
0.93	235.99	77.87
0.94	241.21	77.41
0.95	245.95	75.89
0.96	250.19	73.42
0.97	250.23	70.86
0.98	245.99	67.89
0.99	236.96	63.98
1	0	59.42
1.01	0	56.47
1.02	0	56.12
1.03	0	56.11
1.04	0	56.14
1.05	0	57.78
1.06	235.25	62.02
1.07	228.71	67.17
1.08	224.67	71.3
1.09	215.29	74.28
1.1	208.63	75.92
1.11	205.98	76.36
1.12	202.51	76.61
1.13	197.16	77.26
1.14	193.15	78.2
1.15	191.63	79.2
1.16	190.09	80.1
1.17	189.39	80.5
1.18	190.87	80.42
1.19	192.38	80.36
1.2	193.74	80.34
1.21	194.43	80.1
1.22	195.12	79.64
1.23	196.6	79.28
1.24	196.6	78.71
1.25	196.29	77.34
1.26	197.69	75.05
1.27	200.08	72.57
1.28	201.13	70.19
1.29	199.04	66.84
1.3	194.36	62.06
1.31	0	57.16
1.32	0	54.5
1.33	0	56.79
1.34	197.06	62.7
1.35	197.8	68.22
1.36	199.2	71.95
1.37	199.47	74.5
1.38	198.97	76.96
1.39	196.65	77.97
1.4	194.24	77.49
1.41	193.28	76.98
1.42	193.43	76.47
1.43	192.65	75.58
1.44	192.78	74.21
1.45	193.97	72.88
1.46	194.84	71.73
1.47	195.03	69.56
1.48	194.53	65.27
1.49	196.81	62.12
1.5	198.84	61.65
1.51	201.23	61.44
1.52	203.75	60.99
1.53	204.71	59.75
1.54	0	57.5
1.55	0	58.06
1.56	0	62.47
1.57	0	65.29
1.58	0	66.89
1.59	0	67.02
1.6	0	63.85
1.61	236.91	64.44
1.62	212.2	69.32
1.63	207.34	70.61
1.64	210.07	68.92
1.65	204.71	64.83
1.66	202.49	61.45
1.67	200.89	60.91
1.68	198.52	61.09
1.69	197.67	61.52
1.7	196.73	61.59
1.71	195.79	61.61
1.72	194.02	61.62
1.73	193.91	64.07
1.74	194.75	68.78
1.75	194.45	71.62
1.76	193.01	72.49
1.77	192.05	72.54
1.78	191.41	72.78
1.79	192.05	73.05
1.8	192.87	73.25
1.81	192.23	73.54
1.82	192.22	73.52
1.83	194.72	73
1.84	198.25	71.92
1.85	201.37	70.16
1.86	200.14	67.01
1.87	0	61.58
1.88	0	56.58
1.89	0	57.15
1.9	0	58.07
1.91	0	56.97
1.92	0	53.75
1.93	0	51.26
1.94	0	51.26
1.95	0	53.15
1.96	0	54.48
1.97	0	56.65
1.98	0	65.53
1.99	207.04	70.62
2	203.75	71.72
2.01	199.28	71.41
2.02	196.5	70.78
2.03	193.81	69.98
2.04	191.76	69.14
2.05	189.83	68.55
2.06	187.9	68.46
2.07	186.71	68.78
2.08	184.73	69.01
2.09	182.51	68.98
2.1	180.49	68.59
2.11	179.63	67.63
2.12	177.31	65.51
2.13	177.74	61
2.14	0	56.6
2.15	0	55.76
2.16	0	55.83
2.17	0	55.42
2.18	0	54.67
2.19	0	54.99
2.2	0	57.23
2.21	0	58.49
2.22	0	59.2
2.23	0	60.89
2.24	0	63.2
2.25	0	63.56
2.26	0	63.14
2.27	0	63.68
2.28	0	63.54
2.29	0	62.21
2.3	0	60.4
2.31	0	58.89
2.32	0	57.58
2.33	0	55.84
2.34	0	54.33
2.35	0	53.79
2.36	0	52.28
2.37	0	51.18
2.38	0	50.16
2.39	0	46.96
2.4	0	41.7
2.41	0	36.88
2.42	0	33.97
2.43	0	33.66
2.44	0	34.07
2.45	0	0
2.46	0	0
2.47	0	0
?	?	?
