time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.41
0.04	0	33.12
0.05	0	31.72
0.06	0	31.73
0.07	0	32.42
0.08	0	32.41
0.09	0	32.44
0.1	0	32.6
0.11	0	35.69
0.12	0	50.09
0.13	0	63.58
0.14	0	70.91
0.15	200.36	74.43
0.16	201.96	77.2
0.17	206.38	79.36
0.18	211.21	80.89
0.19	214.16	81.42
0.2	214.71	80.94
0.21	212.81	79.48
0.22	211.96	77.9
0.23	213.83	77.63
0.24	216.5	78.37
0.25	218.51	79.19
0.26	219.02	79.93
0.27	218.45	80.76
0.28	217.06	81.83
0.29	214.83	82.91
0.3	211.92	83.59
0.31	209.01	83.74
0.32	206.02	83.35
0.33	202.72	81.01
0.34	197.18	74.83
0.35	0	64.86
0.36	0	59.95
0.37	0	58.36
0.38	0	55.71
0.39	0	53.29
0.4	0	48.69
0.41	0	41.03
0.42	0	38.25
0.43	0	51.12
0.44	0	66.31
0.45	0	75.57
0.46	211.1	80.87
0.47	212.1	82.73
0.48	212.52	83.59
0.49	211.82	84.45
0.5	211.69	85.11
0.51	211.56	85.45
0.52	210.96	85.51
0.53	209.93	85.26
0.54	207.97	84.33
0.55	205.32	81.69
0.56	200.63	75.26
0.57	193.91	72.45
0.58	192.87	76.98
0.59	196	78.57
0.6	196.26	78.88
0.61	194.51	78.78
0.62	191.99	78.26
0.63	188.96	77.25
0.64	185.69	75.91
0.65	181.95	74.4
0.66	178.41	72.79
0.67	176.13	71.29
0.68	174.22	69.66
0.69	171.32	67.4
0.7	167.96	64.82
0.71	165.39	62.61
0.72	165.03	61.91
0.73	167.92	63.61
0.74	172.95	67.13
0.75	179.14	70.93
0.76	185.33	73.79
0.77	189.29	75.38
0.78	191.34	75.89
0.79	192.94	75.94
0.8	194.15	75.94
0.81	195.2	75.42
0.82	195.96	74.4
0.83	196.53	73.64
0.84	197.28	72.97
0.85	197.94	72.35
0.86	198.01	71.77
0.87	197.03	70.2
0.88	195.22	66.55
0.89	194.06	62.97
0.9	193.45	62.13
0.91	192.21	61.85
0.92	191.2	61.51
0.93	191.21	61.48
0.94	0	62.94
0.95	0	65.99
0.96	0	68.62
0.97	0	71.21
0.98	0	74.74
0.99	0	76.02
1	0	75.35
1.01	0	75.52
1.02	0	74.86
1.03	0	71.24
1.04	0	64.21
1.05	0	57.9
1.06	0	55.91
1.07	0	56.21
1.08	0	63.31
1.09	173.32	73.41
1.1	174.59	78.04
1.11	175.51	78.41
1.12	174.11	77.31
1.13	172.16	76.79
1.14	170.13	76.37
1.15	168.3	76.06
1.16	166.92	75.97
1.17	165.79	75.8
1.18	165.4	75.45
1.19	164.44	74.51
1.2	162.44	72.24
1.21	155.96	67.55
1.22	0	58.84
1.23	0	46.51
1.24	0	52.75
1.25	0	61.67
1.26	0	63.33
1.27	0	64.67
1.28	0	72.21
1.29	0	76.21
1.3	0	75.19
1.31	0	71.52
1.32	0	68.69
1.33	0	62.34
1.34	0	54.12
1.35	0	47.92
1.36	0	49.98
1.37	0	54.61
1.38	0	52.16
1.39	0	52.67
1.4	159.64	57.41
1.41	158.43	58.59
1.42	158.4	58.72
1.43	160.71	59.91
1.44	163.32	65.09
1.45	165.18	70.41
1.46	166.86	72.74
1.47	168.91	73.72
1.48	170.28	74.32
1.49	171.61	74.79
1.5	173.36	75.34
1.51	174.59	75.49
1.52	175.16	75.53
1.53	175.92	75.68
1.54	176.53	75.8
1.55	176.26	75.82
1.56	175.16	75.97
1.57	173.46	76.23
1.58	171.12	76.26
1.59	168.78	76.06
1.6	166.07	75.67
1.61	162.8	74.79
1.62	159.34	73.73
1.63	155.82	72.16
1.64	153.4	69.8
1.65	152.79	67.35
1.66	152.75	65.77
1.67	153.44	65.25
1.68	155.24	64.67
1.69	160.85	64.01
1.7	166.45	64.27
1.71	168.43	65.44
1.72	167.46	66.88
1.73	164.43	68.34
1.74	162.41	70.14
1.75	161.13	71.87
1.76	158.22	72.22
1.77	155.59	69.92
1.78	0	63.55
1.79	0	51.15
1.8	0	35.7
1.81	0	32.8
1.82	0	32.34
1.83	0	41.66
1.84	0	58.05
1.85	0	65.7
1.86	0	70.39
1.87	0	74.46
1.88	158.39	75.39
1.89	156.78	76.35
1.9	153.94	76.08
1.91	152.41	75.85
1.92	151.17	74.97
1.93	150.27	74.38
1.94	150.59	74.59
1.95	151.02	74.99
1.96	151.23	75.31
1.97	151.82	75.87
1.98	152.4	76.6
1.99	152.59	76.6
2	152.23	74.84
2.01	0	68.77
2.02	0	55.53
2.03	0	46.1
2.04	0	57.39
2.05	0	63.58
2.06	0	62.32
2.07	0	65.5
2.08	0	70.91
2.09	158.03	71.37
2.1	158.49	71.32
2.11	159.17	71.24
2.12	159.42	71.18
2.13	159.44	70.58
2.14	159.45	69.56
2.15	159.98	67.15
2.16	0	60.86
2.17	0	56.05
2.18	0	64.59
2.19	0	65.53
2.2	0	59.99
2.21	0	53.91
2.22	0	53.91
2.23	0	52.9
2.24	0	47.31
2.25	0	44.51
2.26	0	41.17
2.27	0	36.35
2.28	0	33.18
2.29	0	32.17
2.3	0	32.35
2.31	0	0
2.32	0	0
?	?	?
