time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.01
0.04	0	27
0.05	0	27.43
0.06	0	27.92
0.07	0	28.98
0.08	0	29.71
0.09	0	29.27
0.1	0	27.91
0.11	0	27
0.12	0	27.42
0.13	0	41.63
0.14	0	51.8
0.15	0	55.63
0.16	0	57.49
0.17	0	58.11
0.18	0	57.78
0.19	0	62.53
0.2	214.32	71.41
0.21	209.44	76.54
0.22	208.53	79.06
0.23	209.7	80.24
0.24	211.94	80.85
0.25	214.8	81.23
0.26	218.12	81.39
0.27	221.12	81.31
0.28	225.1	80.74
0.29	231.38	79.38
0.3	238.21	76.81
0.31	240.82	73.28
0.32	232	69.02
0.33	0	68.31
0.34	0	72.26
0.35	0	75.07
0.36	0	76.74
0.37	0	76.5
0.38	0	75.3
0.39	0	74.94
0.4	0	74.03
0.41	0	72.75
0.42	0	70.48
0.43	0	66.61
0.44	0	61.6
0.45	0	57.09
0.46	0	52.74
0.47	0	47.78
0.48	0	43.78
0.49	0	42.53
0.5	0	45.02
0.51	0	41.79
0.52	0	31.04
0.53	0	27.3
0.54	0	30.07
0.55	0	31.55
0.56	0	30.49
0.57	0	28.4
0.58	0	28.07
0.59	0	27.95
0.6	0	29.05
0.61	0	29.62
0.62	0	28.78
0.63	0	27.26
0.64	0	27.06
0.65	0	27.67
0.66	0	29.1
0.67	0	30.06
0.68	0	27.96
0.69	0	26.51
0.7	0	27.16
0.71	0	27.02
0.72	0	26.54
0.73	0	26.76
0.74	0	27.08
0.75	0	27.9
0.76	0	29.48
0.77	0	29.14
0.78	0	27.64
0.79	0	27.93
0.8	0	28.48
0.81	0	30.14
0.82	0	32.75
0.83	0	32.17
0.84	0	29.65
0.85	0	36.93
0.86	0	47.21
0.87	0	52.51
0.88	0	54.29
0.89	0	55.07
0.9	0	65.55
0.91	171.72	76.49
0.92	170.95	81.13
0.93	170.59	82.32
0.94	171.52	82.4
0.95	173.2	82.35
0.96	175.07	82.18
0.97	177.27	81.93
0.98	179.41	81.67
0.99	181.34	81.4
1	183.71	80.96
1.01	187.48	80.22
1.02	191.16	78.65
1.03	196.41	75.77
1.04	206.93	71.64
1.05	209.61	65.35
1.06	0	56.86
1.07	0	49.3
1.08	0	45.13
1.09	0	52.93
1.1	0	56.25
1.11	0	55.66
1.12	0	55.37
1.13	0	54.72
1.14	0	49.06
1.15	0	36.56
1.16	0	27.04
1.17	0	52.46
1.18	0	70.7
1.19	0	78.1
1.2	0	78.59
1.21	163.63	76.46
1.22	161.73	75.95
1.23	160.27	76.14
1.24	157.82	75.9
1.25	153.76	75.24
1.26	148.14	74.97
1.27	141.89	75.18
1.28	136.71	75.14
1.29	133.1	74.46
1.3	131.37	73.47
1.31	131.01	71.79
1.32	130.65	67.62
1.33	0	58.79
1.34	0	43.45
1.35	0	29.8
1.36	0	34.29
1.37	0	52.08
1.38	0	62.76
1.39	0	64.98
1.4	0	59.05
1.41	0	43.69
1.42	0	31.44
1.43	0	49.65
1.44	0	62.66
1.45	0	66.46
1.46	0	67.82
1.47	0	70.16
1.48	141.77	71.13
1.49	141.3	70.87
1.5	140.1	69.64
1.51	138.79	66.97
1.52	138.94	64.14
1.53	139.81	63.28
1.54	137.43	63.14
1.55	134.11	63.26
1.56	131.85	63.6
1.57	131.35	64.59
1.58	132.7	66.14
1.59	134.89	67.55
1.6	136.25	68.44
1.61	137.36	68.99
1.62	138.17	69
1.63	138.81	68.07
1.64	139.22	65.75
1.65	138.06	61.16
1.66	0	52.91
1.67	0	40.35
1.68	0	30.54
1.69	0	29.6
1.7	0	31.58
1.71	0	43.3
1.72	0	54.63
1.73	0	58.32
1.74	0	58.33
1.75	0	55.52
1.76	0	53.17
1.77	170.57	58.38
1.78	161.28	62.69
1.79	153.75	64.07
1.8	147.65	63.98
1.81	143.91	63.4
1.82	138.27	62.74
1.83	129.32	61.9
1.84	121.22	60.93
1.85	113.85	59.99
1.86	108.74	59.14
1.87	99.02	57.87
1.88	0	55.24
1.89	0	54.6
1.9	0	52.66
1.91	0	42.72
1.92	0	28.84
1.93	0	27.47
1.94	0	29.85
1.95	0	44.69
1.96	0	56.94
1.97	0	60.05
1.98	0	58.01
1.99	0	55.01
2	0	51.43
2.01	0	48.3
2.02	0	46
2.03	0	42.4
2.04	0	37.58
2.05	0	35.89
2.06	0	35.46
2.07	0	33.73
2.08	0	30.02
2.09	0	27.14
2.1	0	27.09
2.11	0	0
2.12	0	0
2.13	0	0
