time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.68
0.04	0	27.91
0.05	0	28.14
0.06	0	27.63
0.07	0	26.27
0.08	0	26.63
0.09	0	27.68
0.1	0	30.19
0.11	0	38.71
0.12	0	54.25
0.13	221.17	64.84
0.14	212	69.96
0.15	208.95	72.08
0.16	209.49	73.39
0.17	211.09	74.36
0.18	213.01	74.81
0.19	214.47	74.83
0.2	215.02	74.18
0.21	214.41	72.69
0.22	212.61	70.98
0.23	211.12	69.61
0.24	211.25	69.16
0.25	213.81	69.7
0.26	217.71	70.61
0.27	222.68	71.56
0.28	227.47	72.46
0.29	231.28	73.28
0.3	236.19	74.07
0.31	241.25	74.93
0.32	245.64	75.8
0.33	250.19	76.55
0.34	254.23	77.53
0.35	256.1	78.86
0.36	256.74	79.73
0.37	254.95	79.78
0.38	251.07	79.11
0.39	246.7	78.31
0.4	241.55	77.4
0.41	235.85	76.05
0.42	229.78	73.58
0.43	223.71	69.47
0.44	215.77	66.78
0.45	209.01	66.26
0.46	205.42	66.17
0.47	198.63	66.59
0.48	193.98	67.13
0.49	191.54	67.75
0.5	187.96	68.23
0.51	185.34	68.7
0.52	183.61	71.2
0.53	187.23	76.31
0.54	187	80.3
0.55	185.21	82.5
0.56	185.11	84.36
0.57	185.62	85.5
0.58	185.93	85.52
0.59	186.67	85.22
0.6	187.74	85.06
0.61	189.26	84.81
0.62	191.23	84.36
0.63	193.04	83.76
0.64	195.45	83.09
0.65	197.93	82.71
0.66	199.88	82.61
0.67	201.68	81.3
0.68	204.47	77.23
0.69	207.47	72.38
0.7	212.38	69.54
0.71	216.7	67.57
0.72	219.63	66.55
0.73	224.29	67.1
0.74	229.91	69.11
0.75	234.56	71.89
0.76	237.99	74.66
0.77	240.33	75.41
0.78	241.39	72.1
0.79	0	63.8
0.8	0	51.72
0.81	0	46.39
0.82	0	46.91
0.83	0	47.67
0.84	0	48.63
0.85	0	50.42
0.86	0	52.07
0.87	0	59.01
0.88	260.02	72.68
0.89	246.77	79.97
0.9	239.84	82.78
0.91	236.73	83.16
0.92	234.8	82.27
0.93	231.06	80.85
0.94	228.19	79.13
0.95	226.38	77.02
0.96	0	74.48
0.97	0	70.54
0.98	0	63.73
0.99	0	57.77
1	234.65	58.1
1.01	235.63	59.61
1.02	236.23	61.03
1.03	235.44	61.79
1.04	232.65	61.07
1.05	0	59.66
1.06	0	66.66
1.07	0	71.49
1.08	227.03	73.82
1.09	227.67	76.96
1.1	228.24	78.97
1.11	227.91	79.9
1.12	226.64	80.21
1.13	225.11	80.25
1.14	223.98	80.21
1.15	223.67	80.14
1.16	224.28	80.13
1.17	225.46	80.25
1.18	226.96	80.62
1.19	228.57	81.16
1.2	230.06	81.86
1.21	231.68	82.64
1.22	233.09	83.32
1.23	234.34	83.54
1.24	235.8	83.28
1.25	237.4	82.94
1.26	239.32	82.7
1.27	241.52	82.57
1.28	243.93	82.47
1.29	246.53	82.28
1.3	249.86	81.99
1.31	253.68	81.3
1.32	258.63	79.48
1.33	266.51	75.69
1.34	270.47	70.28
1.35	248.02	63.59
1.36	0	55.2
1.37	0	47.31
1.38	0	43.42
1.39	0	42.01
1.4	0	41.1
1.41	0	40.29
1.42	0	39.78
1.43	0	38.03
1.44	0	37.44
1.45	0	36.28
1.46	0	34.49
1.47	0	0
1.48	0	0
1.49	0	0
