time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.89
0.04	0	32.61
0.05	0	30.68
0.06	0	29.23
0.07	0	28.84
0.08	0	28.65
0.09	0	27.43
0.1	0	26.37
0.11	0	30.72
0.12	0	38.29
0.13	0	43.57
0.14	0	49.57
0.15	210.43	61.02
0.16	203.56	70.25
0.17	197.1	74.75
0.18	196.69	75.15
0.19	190.38	71.27
0.2	180.59	64.07
0.21	173.82	58.79
0.22	0	57.26
0.23	181.4	60.96
0.24	185.58	65.33
0.25	195.4	69.02
0.26	202.8	71.66
0.27	205.51	73.2
0.28	206.23	73.32
0.29	205.15	70.79
0.3	0	63.61
0.31	0	50.34
0.32	0	49.54
0.33	0	60.79
0.34	0	66.37
0.35	230.8	73.22
0.36	221.37	78.74
0.37	212.88	80.72
0.38	212.83	82.57
0.39	211.73	83.5
0.4	211.33	83.75
0.41	212.64	83.92
0.42	214.27	83.09
0.43	214.74	80.84
0.44	211.26	75.92
0.45	210.82	71.78
0.46	215.63	73.46
0.47	219.63	75.44
0.48	220.8	75.84
0.49	219.37	75.31
0.5	217.27	74.64
0.51	214.78	73.94
0.52	211.99	72.92
0.53	209.37	70.99
0.54	206.3	68.77
0.55	203.42	68.76
0.56	201.93	72.31
0.57	201.37	75.98
0.58	201.02	78.31
0.59	200.37	79.7
0.6	199.49	79.98
0.61	198.5	79.21
0.62	197.21	76.88
0.63	193.53	72.23
0.64	186.66	65.07
0.65	0	57.39
0.66	0	52.62
0.67	0	49.37
0.68	0	44.41
0.69	0	36.83
0.7	0	29.16
0.71	0	27.39
0.72	0	26.91
0.73	0	27.28
0.74	0	41.71
0.75	0	55.76
0.76	0	66.27
0.77	177.79	72.59
0.78	178.55	75.44
0.79	181.7	77.13
0.8	185.83	78.52
0.81	188.6	79.24
0.82	189.48	79.35
0.83	189.85	78.94
0.84	191.75	78.02
0.85	195.15	76.78
0.86	198.03	75.47
0.87	200.37	74.27
0.88	202.59	73.24
0.89	203.43	71.12
0.9	203.12	66.33
0.91	201.96	61.17
0.92	0	57.17
0.93	0	50.33
0.94	0	44.28
0.95	0	56.31
0.96	0	65.53
0.97	0	66.15
0.98	0	65.11
0.99	256.82	72.78
1	254.63	77.34
1.01	252.75	77.98
1.02	254.45	76.76
1.03	256.17	73.74
1.04	0	66.42
1.05	0	52.96
1.06	0	39.11
1.07	0	31.15
1.08	0	27.11
1.09	0	31.45
1.1	0	49.42
1.11	0	56.88
1.12	0	56.5
1.13	0	54.84
1.14	0	56.81
1.15	0	58.35
1.16	0	59.63
1.17	0	61.08
1.18	0	62.7
1.19	0	64.63
1.2	0	65.78
1.21	0	64.11
1.22	0	60.41
1.23	0	55.98
1.24	0	49.54
1.25	0	41.7
1.26	0	33.99
1.27	0	32.35
1.28	0	36.67
1.29	0	36.07
1.3	0	30.75
1.31	0	27.04
1.32	0	26.19
1.33	0	25.59
1.34	0	25.5
1.35	0	0
1.36	0	0
?	?	?
