time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.69
0.04	0	29.84
0.05	0	29.35
0.06	0	27.79
0.07	0	27.37
0.08	0	27.84
0.09	0	28.42
0.1	0	36.08
0.11	0	41.47
0.12	0	43.03
0.13	0	45.51
0.14	0	47.65
0.15	0	48.84
0.16	0	50.01
0.17	0	61.44
0.18	306.09	71.59
0.19	299.18	75.72
0.2	289.27	76.87
0.21	282.02	77.35
0.22	277.62	77.23
0.23	272.92	74.94
0.24	0	68.31
0.25	0	54.98
0.26	0	36.53
0.27	0	36.95
0.28	0	56.66
0.29	0	69.12
0.3	0	73.72
0.31	0	72.32
0.32	0	69.63
0.33	296.86	76.81
0.34	290.18	82.52
0.35	281.72	85.39
0.36	274.85	87.12
0.37	269.16	87.62
0.38	265.55	86.99
0.39	263.7	85.92
0.4	263.04	84.92
0.41	263.55	83.62
0.42	264.93	81.47
0.43	265.63	78.43
0.44	263.12	74.99
0.45	259.08	71.85
0.46	259.59	67.8
0.47	0	59.72
0.48	0	44.76
0.49	0	32.85
0.5	0	51.49
0.51	0	64.05
0.52	0	67.14
0.53	288.66	71.15
0.54	279.18	76.21
0.55	268.37	74.8
0.56	250.36	67.46
0.57	236.8	62.36
0.58	230.81	61.59
0.59	226.35	60.77
0.6	0	67.24
0.61	234.82	76.73
0.62	233.13	80.85
0.63	231.27	81.87
0.64	229.75	81.93
0.65	227.78	81.78
0.66	225.73	82.02
0.67	224.4	82.27
0.68	223.35	82.17
0.69	222.73	81.97
0.7	222.56	81.62
0.71	222.37	80.97
0.72	221.88	80.06
0.73	221.05	78.58
0.74	218.48	76.44
0.75	212.96	72.5
0.76	0	64.44
0.77	0	53.98
0.78	0	51.28
0.79	0	51.73
0.8	0	45.39
0.81	0	40.08
0.82	0	42.16
0.83	0	43.55
0.84	0	48.21
0.85	0	61.5
0.86	0	68.91
0.87	0	72.04
0.88	222.03	73.99
0.89	221.17	75.11
0.9	218.92	76.01
0.91	216.68	76.6
0.92	214.97	75.65
0.93	214.32	71.73
0.94	218.15	67.55
0.95	222.46	66.93
0.96	225.94	67.31
0.97	229.69	70.63
0.98	232.22	74.85
0.99	234.49	76.61
1	237.05	76.96
1.01	239.41	77.05
1.02	241.68	77.02
1.03	243.83	77.07
1.04	243.6	77.04
1.05	241.35	75.98
1.06	238.26	72.9
1.07	232.8	66.89
1.08	0	58.42
1.09	0	55.2
1.1	0	55.63
1.11	0	55.59
1.12	0	56.67
1.13	0	58.03
1.14	0	57.41
1.15	0	55.52
1.16	0	61.08
1.17	255.48	70.68
1.18	246.69	74.77
1.19	237.56	75.13
1.2	233.57	74.61
1.21	231.52	73.95
1.22	229.71	71.54
1.23	227.96	67.35
1.24	228.27	65.28
1.25	228.81	64.77
1.26	229.31	63.38
1.27	0	59.08
1.28	0	52.07
1.29	0	45.13
1.3	0	39.59
1.31	0	52.34
1.32	0	63.72
1.33	0	66.69
1.34	267.45	68.06
1.35	258.49	72.97
1.36	248.65	75.14
1.37	244.3	74.3
1.38	241.17	71.18
1.39	237.73	65.78
1.4	0	57.02
1.41	0	46.61
1.42	0	51.01
1.43	0	60.18
1.44	0	65.86
1.45	0	70.48
1.46	0	72.57
1.47	0	72.79
1.48	0	72.41
1.49	0	71.4
1.5	0	71.12
1.51	0	69.71
1.52	0	68.33
1.53	0	65.78
1.54	0	57.11
1.55	0	52.92
1.56	0	64.14
1.57	0	69.17
1.58	0	69.69
1.59	243.39	74.49
1.6	238.19	78.03
1.61	232.15	78.83
1.62	229.21	79.11
1.63	226.87	79.23
1.64	224.56	79.13
1.65	223.55	79.12
1.66	223.01	78.87
1.67	221.9	78.34
1.68	221.12	77.63
1.69	221.36	76.97
1.7	221.65	76.38
1.71	221.6	75.91
1.72	220.95	75.12
1.73	218.84	72.5
1.74	216.4	69.09
1.75	214.32	68.95
1.76	212.62	69.77
1.77	212.19	70.9
1.78	212.35	73.52
1.79	211.59	76.14
1.8	210.21	76.37
1.81	209.21	75.56
1.82	208.92	75.01
1.83	208.62	74.72
1.84	207.99	74.36
1.85	207	73.74
1.86	206.43	72.95
1.87	206.37	72.47
1.88	206.38	72.12
1.89	206.32	71.48
1.9	206.11	69.96
1.91	205.13	66.65
1.92	205.02	63.51
1.93	205.56	62.58
1.94	205.69	61.67
1.95	207.27	59.78
1.96	0	58.24
1.97	0	63.23
1.98	0	67.92
1.99	0	69.63
2	0	70.79
2.01	0	72.37
2.02	0	73.14
2.03	0	73.23
2.04	0	73.93
2.05	0	73.88
2.06	0	70.77
2.07	0	62.98
2.08	0	49.31
2.09	0	30.45
2.1	0	32.32
2.11	0	53.67
2.12	0	66.96
2.13	0	71.81
2.14	0	71.02
2.15	0	66.86
2.16	244.6	63.44
2.17	244.13	70.51
2.18	238.48	77
2.19	233.96	79.95
2.2	233.02	80.7
2.21	231.35	80.43
2.22	228.63	79.72
2.23	224.82	78.74
2.24	219.07	77.5
2.25	214.36	75.74
2.26	211.82	73.61
2.27	210.45	71.66
2.28	210.5	70.32
2.29	211.37	69.24
2.3	213.26	67.91
2.31	213.83	66.23
2.32	210.96	64.37
2.33	205.04	62.12
2.34	198.98	59.32
2.35	0	56.16
2.36	0	52.06
2.37	0	48.42
2.38	0	47.73
2.39	0	48.18
2.4	0	47.32
2.41	0	46.96
2.42	0	46.8
2.43	0	0
2.44	0	0
2.45	0	0
?	?	?
