time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.04
0.05	0	35.63
0.06	0	35.63
0.07	0	37.38
0.08	0	39.35
0.09	0	40.95
0.1	0	42.47
0.11	0	45.27
0.12	0	55.28
0.13	236.12	67.51
0.14	238.93	74.4
0.15	232.23	77.91
0.16	231.05	80.22
0.17	232.27	82.08
0.18	234.33	83.61
0.19	236.97	84.69
0.2	240.15	85.24
0.21	243.41	85.39
0.22	246.3	85.21
0.23	248.47	84.47
0.24	247.08	82.17
0.25	237	76.71
0.26	233.82	68.82
0.27	243.98	63.02
0.28	0	61.5
0.29	0	62.11
0.3	0	63.4
0.31	0	68.62
0.32	282.94	75.99
0.33	273.81	80.41
0.34	271.27	82.47
0.35	270.38	83.32
0.36	268.68	83.48
0.37	266.78	82.94
0.38	265	81.93
0.39	263.71	80.73
0.4	262.78	79.44
0.41	262.71	78.08
0.42	262.15	76.47
0.43	259.95	74.49
0.44	257.22	72.2
0.45	258.85	70.31
0.46	260.3	69.89
0.47	264	69.29
0.48	261.14	68.44
0.49	258.1	69.29
0.5	264.66	71.97
0.51	269.95	74.74
0.52	263.23	77.78
0.53	258.2	81.42
0.54	254.52	83.86
0.55	249.17	84.85
0.56	245.91	84.98
0.57	244.49	84.85
0.58	244.86	84.58
0.59	245.18	84.18
0.6	244.94	83.43
0.61	245.31	82.12
0.62	244.57	79.6
0.63	0	74.26
0.64	0	63.63
0.65	0	45.84
0.66	0	35.86
0.67	0	35.31
0.68	0	40.17
0.69	0	53.03
0.7	0	60.87
0.71	0	66.9
0.72	262.23	73.02
0.73	254.23	75.34
0.74	251.34	75.84
0.75	250.31	76.11
0.76	249.23	76.42
0.77	248.27	76.92
0.78	248.39	77.57
0.79	248.9	78.14
0.8	249.45	78.59
0.81	250.4	78.96
0.82	251.52	79.48
0.83	252.83	80.08
0.84	252.76	80.53
0.85	251.81	80.55
0.86	249.76	80.1
0.87	247.58	79.32
0.88	245.52	78.42
0.89	244.25	77.53
0.9	242.32	76.78
0.91	240.82	76.22
0.92	240.52	75.69
0.93	238.32	74.81
0.94	237.22	74.1
0.95	235.93	73.8
0.96	234.89	73.52
0.97	233.79	73.21
0.98	232.06	72.96
0.99	230.2	72.81
1	228.38	72.97
1.01	226.85	73.61
1.02	225.84	74.13
1.03	225.02	74.14
1.04	223.65	73.3
1.05	221.52	70.67
1.06	223.01	66.04
1.07	222.21	63.36
1.08	221.11	62.65
1.09	220.9	62.32
1.1	220.1	62.24
1.11	221.08	62.76
1.12	221.19	63.38
1.13	220.6	63.57
1.14	220.08	63.86
1.15	220.07	66.4
1.16	222.9	71.14
1.17	220.09	73.4
1.18	219.47	73.99
1.19	218.22	74.22
1.2	217.88	74.24
1.21	218.42	74.28
1.22	218.45	74.48
1.23	218.78	74.54
1.24	219.17	74.53
1.25	218.64	74.7
1.26	217.9	74.96
1.27	217.68	75.05
1.28	215.28	74.5
1.29	215.42	73.63
1.3	216.31	73.15
1.31	215.71	72.94
1.32	215.29	72.7
1.33	214.01	72.65
1.34	211.75	72.81
1.35	211.3	73.45
1.36	211.95	75.19
1.37	209.57	77.32
1.38	207.19	77.75
1.39	204.35	77.04
1.4	201.79	76.21
1.41	198.62	75.45
1.42	195.96	74.96
1.43	194.35	74.6
1.44	193.18	73.9
1.45	191.13	73.01
1.46	189.71	72.73
1.47	190.45	72.77
1.48	189.13	72.61
1.49	189.29	72.12
1.5	189.48	71.81
1.51	189.88	71.61
1.52	190.55	71.1
1.53	191.09	70.58
1.54	192.48	70.3
1.55	0	70.9
1.56	0	70.98
1.57	0	69.61
1.58	209.41	67.89
1.59	201.4	64.11
1.6	0	58.56
1.61	0	56.28
1.62	0	57.37
1.63	0	56.94
1.64	0	55.73
1.65	0	54.48
1.66	0	53.12
1.67	0	52.46
1.68	0	53.02
1.69	0	54.38
1.7	0	55.43
1.71	0	56.45
1.72	0	57.08
1.73	0	57.23
1.74	0	56.52
1.75	0	55.18
1.76	0	53.34
1.77	0	51.38
1.78	0	49.31
1.79	0	46.03
1.8	0	42.23
1.81	0	39.82
1.82	0	39.13
1.83	0	37.71
1.84	0	36.19
1.85	0	36.63
1.86	0	37.11
1.87	0	0
1.88	0	0
1.89	0	0
