time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.21
0.05	0	36.39
0.06	0	35.92
0.07	0	34.03
0.08	0	33.55
0.09	0	34.26
0.1	0	34.81
0.11	0	35.85
0.12	0	45.32
0.13	0	58.39
0.14	0	71.31
0.15	208.03	79.18
0.16	206.12	83.19
0.17	204.31	85.44
0.18	202.81	86.38
0.19	202.72	86.24
0.2	203.03	85.35
0.21	203.87	84.1
0.22	204.88	83.04
0.23	206.51	82.47
0.24	208.53	82.3
0.25	212.25	82.18
0.26	214.3	81.14
0.27	212.67	78.14
0.28	209.13	72.44
0.29	0	68.11
0.3	0	68.8
0.31	0	69.25
0.32	0	68.88
0.33	0	68.07
0.34	0	66.89
0.35	0	66.12
0.36	0	64.74
0.37	0	59.74
0.38	0	49.76
0.39	0	39.06
0.4	0	33.72
0.41	0	31.7
0.42	0	39.65
0.43	0	53.71
0.44	0	66.67
0.45	0	75.18
0.46	191.91	79.16
0.47	186.71	80.43
0.48	181.32	80.56
0.49	177.24	80.48
0.5	174.31	80.37
0.51	172.15	80.34
0.52	170.15	80.36
0.53	169.08	80.4
0.54	168.34	80.37
0.55	168.24	80.12
0.56	168.88	79.9
0.57	170.18	79.72
0.58	170.99	79.37
0.59	171.18	78.47
0.6	170.49	76.36
0.61	167.95	72.3
0.62	165.81	66.51
0.63	0	63.58
0.64	0	65.18
0.65	0	66.65
0.66	0	66.76
0.67	0	64.44
0.68	0	59.03
0.69	0	50.79
0.7	0	47.64
0.71	0	54.57
0.72	0	57.09
0.73	0	57.63
0.74	0	58.56
0.75	176.89	63.97
0.76	177.46	70.03
0.77	177.84	72.89
0.78	176.84	74.39
0.79	176	75.41
0.8	176.25	75.94
0.81	177.12	76.01
0.82	178.38	75.79
0.83	179.68	75.56
0.84	181.26	75.15
0.85	182.74	73.85
0.86	184.68	71.49
0.87	187.29	68.93
0.88	189.02	66.66
0.89	187.52	63.91
0.9	0	60.97
0.91	0	62.01
0.92	0	65.15
0.93	0	66.8
0.94	0	67.29
0.95	0	67.52
0.96	0	67.65
0.97	0	66.94
0.98	0	66.78
0.99	0	66.21
1	0	64.8
1.01	0	62.13
1.02	0	59
1.03	0	63.23
1.04	209.83	70.83
1.05	210.29	74.16
1.06	208.21	75.56
1.07	206.05	76.06
1.08	204.13	75.87
1.09	202.91	75.25
1.1	202.63	74.47
1.11	202.88	73.63
1.12	202.47	72.93
1.13	202.14	72.57
1.14	201.03	72.11
1.15	198.48	71.3
1.16	195.06	70.37
1.17	192.04	69.72
1.18	188.14	69.32
1.19	181.9	68.79
1.2	172.17	68.31
1.21	166.17	67.41
1.22	159.21	64.86
1.23	156.35	60.23
1.24	0	54.39
1.25	0	50.72
1.26	0	49.85
1.27	0	45.9
1.28	0	44.13
1.29	0	42.93
1.3	0	42.16
1.31	0	52.32
1.32	0	57.82
1.33	0	58.6
1.34	0	59.82
1.35	0	61.48
1.36	0	61.89
1.37	0	62.28
1.38	0	62.08
1.39	0	61.86
1.4	0	61.16
1.41	0	60.05
1.42	0	58.13
1.43	0	55.2
1.44	0	52.38
1.45	0	49.37
1.46	0	46.82
1.47	0	44.22
1.48	0	41.77
1.49	0	39.8
1.5	0	36.58
1.51	0	33.1
1.52	0	32.35
1.53	0	33.64
1.54	0	34.16
1.55	0	34.2
1.56	0	33.61
1.57	0	32.83
1.58	0	32.88
1.59	0	0
1.6	0	0
1.61	0	0
