time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	34.7
0.04	0	34.66
0.05	0	34.44
0.06	0	32.73
0.07	0	30.94
0.08	0	28.96
0.09	0	28.17
0.1	0	28.89
0.11	0	32.1
0.12	0	39.68
0.13	0	46.2
0.14	0	51.42
0.15	0	54.8
0.16	0	56.71
0.17	0	58.88
0.18	0	63.26
0.19	261.09	73.18
0.2	245.35	79.65
0.21	239.29	82.82
0.22	239.59	84.65
0.23	239.03	85.17
0.24	238.86	82.95
0.25	0	76.33
0.26	0	67.9
0.27	241.52	72.11
0.28	244.6	79.01
0.29	248.42	82.8
0.3	250.59	84.55
0.31	250.57	85.2
0.32	250.42	85.05
0.33	249.32	84.05
0.34	247.36	82.12
0.35	244.7	79.32
0.36	241.2	76.37
0.37	236.72	73.92
0.38	233.93	72.2
0.39	232.77	71.78
0.4	234.05	72.66
0.41	237.52	73.8
0.42	237.81	74.48
0.43	236.93	74.79
0.44	236.23	74.94
0.45	235.32	75.04
0.46	232.71	74.74
0.47	230.07	73.91
0.48	227.95	72.82
0.49	224.25	70.72
0.5	0	65.77
0.51	0	56.43
0.52	0	48.93
0.53	0	45.32
0.54	0	48.71
0.55	0	61
0.56	0	66.68
0.57	0	72.28
0.58	217.48	77.31
0.59	213.87	78.22
0.6	205.36	74.78
0.61	189.82	67.7
0.62	0	63.42
0.63	0	65.71
0.64	0	66.34
0.65	0	64.61
0.66	0	63.66
0.67	0	64.35
0.68	0	65.38
0.69	0	65.09
0.7	0	68.29
0.71	0	77.87
0.72	221.09	82.07
0.73	218.21	82.58
0.74	215.11	81.99
0.75	213.85	81.5
0.76	212.16	81.12
0.77	210.64	80.7
0.78	209.21	80.31
0.79	208.28	79.94
0.8	207.52	79.56
0.81	206.02	79.19
0.82	205.43	78.64
0.83	203.93	77.93
0.84	201.99	77.31
0.85	200.88	76.86
0.86	198.71	76.4
0.87	195.77	75.56
0.88	192.57	73.65
0.89	190.49	69.28
0.9	190.44	65.22
0.91	188.72	65.15
0.92	188.27	68.03
0.93	185.64	70.94
0.94	181.43	72.17
0.95	180.91	72.26
0.96	179.52	71.53
0.97	172.72	70.36
0.98	161.07	69.23
0.99	157.24	67.54
1	0	64.62
1.01	0	61.73
1.02	0	55.1
1.03	0	39.71
1.04	0	30.24
1.05	0	29.28
1.06	0	29.73
1.07	0	30.28
1.08	0	30.82
1.09	0	31.17
1.1	0	32.87
1.11	0	35.2
1.12	0	0
1.13	0	0
1.14	0	0
?	?	?
