time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.02
0.05	0	31.56
0.06	0	28.85
0.07	0	26.89
0.08	0	27.23
0.09	0	39.04
0.1	0	50.16
0.11	0	55.69
0.12	157.03	59.93
0.13	157.99	63.13
0.14	159	65.81
0.15	158.9	68.68
0.16	162.39	70.91
0.17	171.9	72.72
0.18	180.97	74.9
0.19	183.42	77.29
0.2	182.84	78.9
0.21	183.98	79.66
0.22	186.37	80.01
0.23	188.14	80.38
0.24	188.92	80.92
0.25	189.93	81.33
0.26	190.75	80.76
0.27	190.46	77.36
0.28	0	68.18
0.29	0	62.07
0.3	226.32	72.09
0.31	222.86	79.75
0.32	217.78	83.08
0.33	214.96	83.94
0.34	212.88	83.81
0.35	211.02	83.61
0.36	209.23	83.46
0.37	206.85	83.11
0.38	204.2	82.56
0.39	201.69	81.9
0.4	199.43	80.93
0.41	197.61	79.02
0.42	197.1	75.22
0.43	198.33	72.07
0.44	199.08	71.68
0.45	199	71.72
0.46	199.3	72.19
0.47	198.64	74.71
0.48	197.81	77.91
0.49	198.1	79.94
0.5	198.45	81.25
0.51	198.59	82.11
0.52	198.84	82.67
0.53	199.12	82.95
0.54	199.26	82.9
0.55	199.49	82.56
0.56	200.26	81.8
0.57	201.48	80.8
0.58	202.46	80.19
0.59	202.79	80.14
0.6	202.73	80.37
0.61	201.97	80.35
0.62	199.32	78.77
0.63	191.81	74.06
0.64	181.39	66.99
0.65	173.1	63.87
0.66	170.74	68.65
0.67	170.4	76.42
0.68	167.88	80.75
0.69	162.15	81.73
0.7	155.25	80.73
0.71	149.18	78.7
0.72	145.29	76.02
0.73	147.28	74.63
0.74	153.81	74.47
0.75	159.11	72.42
0.76	0	68.02
0.77	0	66.68
0.78	0	69.51
0.79	0	71.71
0.8	0	73.26
0.81	0	74.19
0.82	0	74.56
0.83	0	74.77
0.84	0	74.96
0.85	0	73.71
0.86	0	69.23
0.87	0	59.8
0.88	0	44.44
0.89	0	32.25
0.9	0	45.56
0.91	0	55.79
0.92	0	62.33
0.93	0	70.35
0.94	0	74
0.95	0	75.81
0.96	0	77.58
0.97	0	78.25
0.98	0	78.46
0.99	0	75.51
1	0	72.22
1.01	0	71.05
1.02	0	73.81
1.03	0	73.78
1.04	0	74.22
1.05	0	70.82
1.06	0	64.77
1.07	0	65.65
1.08	0	65.05
1.09	0	67.66
1.1	0	66.97
1.11	0	65.3
1.12	0	62.48
1.13	0	62.4
1.14	0	65.16
1.15	0	62.26
1.16	0	57.36
1.17	0	59.4
1.18	0	58.66
1.19	0	56.49
1.2	0	53.96
1.21	0	50.1
1.22	0	45.58
1.23	0	41.45
1.24	0	39.64
1.25	0	39.94
1.26	0	39.52
1.27	0	38.98
1.28	0	38.02
1.29	0	0
1.3	0	0
1.31	0	0
?	?	?
