time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.86
0.04	0	29.69
0.05	0	30.04
0.06	0	29.26
0.07	0	28.87
0.08	0	29.49
0.09	0	32.88
0.1	0	35.83
0.11	0	44.13
0.12	0	54.78
0.13	192.97	61.79
0.14	195.25	67.33
0.15	197.78	71.86
0.16	198.55	75.14
0.17	199.75	77.91
0.18	200.82	80.29
0.19	202.69	82.19
0.2	204.88	83.48
0.21	206.75	84.47
0.22	208.29	85.06
0.23	209.35	85.2
0.24	208.6	83.83
0.25	206.59	78.97
0.26	214.66	75.74
0.27	217.76	80.58
0.28	217.45	82.74
0.29	215.79	81.86
0.3	213.51	77.15
0.31	0	66.59
0.32	0	49.7
0.33	0	40.22
0.34	0	41.1
0.35	0	59.66
0.36	0	73.55
0.37	200.35	80.63
0.38	196.46	83.01
0.39	190.02	83.5
0.4	186	84.17
0.41	183.63	84.81
0.42	182.33	85.02
0.43	181.61	84.86
0.44	180.97	84.54
0.45	180.17	84.17
0.46	179.43	83.76
0.47	178.71	83.13
0.48	177.67	81.54
0.49	176.19	77.68
0.5	170.92	71.84
0.51	176.72	74.19
0.52	177.89	78.54
0.53	176.77	79.25
0.54	176.19	78.68
0.55	176.81	77.59
0.56	177.67	74.78
0.57	178.89	68.29
0.58	0	55.88
0.59	0	36.34
0.6	0	26.81
0.61	0	27
0.62	0	44.88
0.63	0	61.16
0.64	0	68.95
0.65	0	71.35
0.66	0	70.66
0.67	0	67.63
0.68	0	63.04
0.69	248.32	67.07
0.7	240.5	71.03
0.71	237.78	71.62
0.72	236.86	71.01
0.73	236.54	70.47
0.74	236.76	70.07
0.75	236.97	69.87
0.76	236.54	69.62
0.77	235.42	69.09
0.78	233.53	68.24
0.79	230.43	66.77
0.8	222.93	64
0.81	213.82	60.43
0.82	206.67	58.63
0.83	202.72	60.85
0.84	200.7	65.53
0.85	196.13	69.05
0.86	188.17	70.75
0.87	178.58	71.34
0.88	170.26	71.62
0.89	164.22	71.91
0.9	159.31	72.05
0.91	155.59	71.99
0.92	150.79	71.81
0.93	146.16	71.62
0.94	142.5	71.37
0.95	139.97	70.99
0.96	137.46	70.33
0.97	135.2	69.23
0.98	132.86	67.19
0.99	131.36	64.59
1	132.05	64.06
1.01	132.2	64.13
1.02	132.64	64.02
1.03	133.07	63.93
1.04	133.28	63.83
1.05	133.2	63.59
1.06	132.56	63.08
1.07	131.73	62.12
1.08	129.84	59.75
1.09	0	54.41
1.1	0	53.86
1.11	0	61.78
1.12	0	70.36
1.13	128.93	75.43
1.14	134.26	76.82
1.15	134.74	76.44
1.16	133.88	75.12
1.17	133.11	73.94
1.18	132.74	73.31
1.19	131.63	72.6
1.2	130.71	71.89
1.21	129.23	71.52
1.22	127.45	70.84
1.23	127.71	70.48
1.24	0	70.42
1.25	0	68.89
1.26	0	67.68
1.27	0	64.49
1.28	0	61.5
1.29	0	61.3
1.3	125.03	61.13
1.31	120.07	60.96
1.32	124.38	60.61
1.33	125.14	59.45
1.34	132.94	57.65
1.35	0	55.54
1.36	0	51.81
1.37	0	47.36
1.38	0	43.47
1.39	0	40.54
1.4	0	37.75
1.41	0	34.07
1.42	0	31.57
1.43	0	31.34
1.44	0	32.81
1.45	0	33.55
1.46	0	31.14
1.47	0	28.64
1.48	0	26.78
1.49	0	25.69
1.5	0	0
1.51	0	0
1.52	0	0
