time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.61
0.05	0	34.29
0.06	0	34.15
0.07	0	35.26
0.08	0	37.5
0.09	0	38.82
0.1	0	39.68
0.11	0	44.01
0.12	0	51.41
0.13	0	64.06
0.14	249.83	72.28
0.15	224.9	74.51
0.16	214.06	73.39
0.17	182.56	73.81
0.18	0	74.56
0.19	0	74.48
0.2	0	75.22
0.21	0	76.04
0.22	0	76.55
0.23	0	76.39
0.24	0	75.56
0.25	0	74.88
0.26	0	74.11
0.27	0	72.9
0.28	0	73.51
0.29	252.49	78.69
0.3	247.25	81.61
0.31	244.08	81.46
0.32	232.43	78.66
0.33	0	74.79
0.34	0	74.3
0.35	0	75.27
0.36	0	75.64
0.37	0	77.73
0.38	0	80.37
0.39	0	81.21
0.4	0	79.34
0.41	0	75.02
0.42	0	67.61
0.43	0	60.87
0.44	0	58.04
0.45	0	58.98
0.46	0	66.3
0.47	304	76.89
0.48	287.26	83.7
0.49	278.5	85.9
0.5	274.32	85.52
0.51	269.57	84.11
0.52	265.64	82.4
0.53	260.06	81.24
0.54	256.66	81.33
0.55	252.74	81.48
0.56	248.39	81.28
0.57	243.86	80.83
0.58	239.57	80.28
0.59	235.66	79.74
0.6	231.79	79.18
0.61	228.36	78.61
0.62	226.52	78.53
0.63	225.89	79.81
0.64	226.63	81.46
0.65	226.89	82.49
0.66	227.48	83.48
0.67	227.64	84.01
0.68	227.83	83.81
0.69	229.48	83.8
0.7	230.34	83.93
0.71	230.24	83.67
0.72	229.4	82.89
0.73	226.05	81.51
0.74	219.34	79.64
0.75	209.61	76.91
0.76	0	72.6
0.77	0	66.34
0.78	0	55.36
0.79	0	46.89
0.8	0	55.92
0.81	0	65.68
0.82	0	73.49
0.83	0	77.6
0.84	0	79.35
0.85	0	79.94
0.86	0	79.39
0.87	0	77.64
0.88	0	75.48
0.89	0	73.68
0.9	0	71.89
0.91	0	70.24
0.92	0	71.08
0.93	0	66.93
0.94	0	62.31
0.95	0	66.3
0.96	0	74.89
0.97	207.98	81.48
0.98	207.15	84.23
0.99	200.73	85.66
1	203.14	86.07
1.01	206	85.75
1.02	207.07	85.06
1.03	205.75	83.96
1.04	204.09	82.21
1.05	201.57	79.91
1.06	197.5	76.94
1.07	192.71	73.87
1.08	190.83	72.5
1.09	195.51	71.56
1.1	199.1	71.23
1.11	199.3	72.51
1.12	197.16	74.43
1.13	200.52	75.74
1.14	201.58	75.38
1.15	201.56	74.42
1.16	202.14	74.88
1.17	202.63	75.58
1.18	202.08	75.88
1.19	202.02	75.96
1.2	204.12	76.98
1.21	201.41	78.98
1.22	200.91	80.01
1.23	200.63	79.92
1.24	199.62	79.25
1.25	197.93	78.02
1.26	195.73	76.33
1.27	194.71	74.89
1.28	194.91	74.29
1.29	194.52	74
1.3	193.58	73.26
1.31	190.25	71.21
1.32	191.21	66.81
1.33	0	59.19
1.34	0	51.36
1.35	0	49.67
1.36	0	49.3
1.37	0	55.22
1.38	0	61.53
1.39	0	65.17
1.4	0	66.29
1.41	0	67.05
1.42	0	67.66
1.43	0	66.4
1.44	0	71.84
1.45	0	79.58
1.46	221.35	82.54
1.47	220.71	83.24
1.48	221.38	83.1
1.49	222.17	82.74
1.5	223.23	82.1
1.51	223.64	80.62
1.52	220.74	77.47
1.53	221.57	72.87
1.54	0	73
1.55	0	75.2
1.56	0	76.74
1.57	285.04	79.7
1.58	269.25	82.06
1.59	264.71	83.13
1.6	265.77	82.19
1.61	0	79.21
1.62	0	76.31
1.63	0	70.84
1.64	0	61.1
1.65	0	63.25
1.66	252.88	72.57
1.67	237.18	76.36
1.68	229.16	77.36
1.69	230.42	78.75
1.7	230.07	80.47
1.71	228.63	81.47
1.72	226.88	81.67
1.73	225.38	81.66
1.74	223.7	81.7
1.75	222.38	81.64
1.76	220.84	81.16
1.77	218.08	79.59
1.78	216.39	77.02
1.79	215.33	75.88
1.8	213.99	76.1
1.81	212.66	76.08
1.82	211.2	75.95
