time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.54
0.05	0	40.66
0.06	0	44.01
0.07	0	42.88
0.08	0	38.49
0.09	0	36.38
0.1	0	37.28
0.11	0	35.89
0.12	0	40.51
0.13	0	53.57
0.14	0	63.73
0.15	0	68.99
0.16	0	74.04
0.17	0	79.34
0.18	227.88	83.19
0.19	228.71	84.89
0.2	231.24	85.56
0.21	234.59	85.79
0.22	238.58	85.9
0.23	243.31	85.9
0.24	246.22	85.53
0.25	246.48	84.63
0.26	244.01	83.04
0.27	237.1	80.45
0.28	227.3	76.68
0.29	219.34	73.04
0.3	216.84	71.95
0.31	220.66	74.45
0.32	226.35	77.83
0.33	230.12	80.35
0.34	232.55	81.66
0.35	232.54	80.55
0.36	222.05	75.18
0.37	205.14	63.81
0.38	0	48.57
0.39	0	36.09
0.4	0	42.54
0.41	0	61.11
0.42	0	71.95
0.43	0	76.28
0.44	0	76.85
0.45	0	76.42
0.46	0	74.35
0.47	0	70.18
0.48	0	68.27
0.49	0	73.39
0.5	241.99	77.96
0.51	239.25	80.32
0.52	233.86	81.76
0.53	228.73	82.21
0.54	224.16	81.7
0.55	219.19	80.46
0.56	214.11	78.33
0.57	208.87	74.12
0.58	204.45	66.14
0.59	0	51.81
0.6	0	51.74
0.61	0	63.72
0.62	0	66.99
0.63	0	61.53
0.64	0	58.75
0.65	0	69.24
0.66	0	76.03
0.67	186.16	78.61
0.68	181.83	79.13
0.69	177.3	78.8
0.7	173.17	77.85
0.71	169.68	76.22
0.72	166.2	73.78
0.73	163	70.74
0.74	161.91	67.81
0.75	162.16	64.34
0.76	164	60.73
0.77	169.28	59.11
0.78	175.4	61.51
0.79	179.42	68.44
0.8	184.47	75.87
0.81	191.58	81.22
0.82	196.93	84.18
0.83	200.29	85.2
0.84	202.61	85.17
0.85	205	84.87
0.86	207.11	84.53
0.87	209.12	84.31
0.88	211.01	84.27
0.89	212.03	83.87
0.9	210.76	81.53
0.91	203.43	74.82
0.92	192.7	69.89
0.93	0	70.53
0.94	0	74.42
0.95	215.13	77.55
0.96	212.1	77.24
0.97	207.66	75.75
0.98	204.73	74.09
0.99	200.39	71.83
1	195.01	68.72
1.01	190.08	65.91
1.02	185.94	64.33
1.03	181.2	63.32
1.04	176.01	62.36
1.05	171.22	61.41
1.06	165.49	60.08
1.07	161.51	57.2
1.08	0	52.78
1.09	0	49.6
1.1	0	47.5
1.11	0	45.76
1.12	0	54.33
1.13	0	66.18
1.14	0	71.49
1.15	0	72.3
1.16	0	70.77
1.17	0	68.78
1.18	0	68.16
1.19	0	65.92
1.2	0	63.82
1.21	0	72.33
1.22	175.46	78.6
1.23	165.91	80.53
1.24	153.57	80.47
1.25	149.37	79.51
1.26	149.57	77.55
1.27	149.38	73.07
1.28	0	63.66
1.29	0	46.56
1.3	0	30.96
1.31	0	33.02
1.32	0	35.04
1.33	0	35
1.34	0	35.03
1.35	0	41.33
1.36	0	55.79
1.37	0	62.66
1.38	0	62.64
1.39	0	60.52
1.4	0	59.32
1.41	0	56.28
1.42	0	54.54
1.43	0	57.3
1.44	204.56	64.27
1.45	194.92	70.16
1.46	163.75	73.35
1.47	163.83	76.45
1.48	163.49	78.84
1.49	163.06	79.66
1.5	162.76	79.76
1.51	163.33	79.67
1.52	164.4	79.55
1.53	165.29	79.18
1.54	165.23	78.42
1.55	165.3	77.55
1.56	165.43	77
1.57	164.79	76.65
1.58	164.1	76.38
1.59	163.47	76.22
1.6	162.44	75.94
1.61	160.57	75.1
1.62	156.94	72.21
1.63	153.87	64.57
1.64	0	54.95
1.65	0	61.24
1.66	0	64
1.67	0	59.69
1.68	0	60.85
1.69	0	67.91
1.7	0	69
1.71	0	67.21
1.72	0	66.62
1.73	0	67.02
1.74	0	66.49
1.75	0	64.91
1.76	0	62.79
1.77	0	59.7
1.78	0	56.23
1.79	0	53.47
1.8	0	52.59
1.81	0	49.93
1.82	0	43.99
1.83	0	37.49
1.84	0	33.63
1.85	0	32.78
1.86	0	31.8
1.87	0	31.06
1.88	0	31.45
1.89	0	32.54
1.9	0	32.46
1.91	0	0
1.92	0	0
1.93	0	0
