time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.07
0.05	0	31.08
0.06	0	28.54
0.07	0	26.74
0.08	0	26.82
0.09	0	29.05
0.1	0	34.3
0.11	0	38.66
0.12	0	41.45
0.13	0	44.13
0.14	0	47.22
0.15	0	48.88
0.16	0	49.65
0.17	0	57.71
0.18	232.28	66.67
0.19	214.32	71.27
0.2	190.59	73.27
0.21	185.29	73.16
0.22	184.89	71.4
0.23	183.36	68.43
0.24	0	65.9
0.25	0	66.1
0.26	0	68.26
0.27	0	69.45
0.28	0	69.52
0.29	0	69.08
0.3	0	68.27
0.31	0	67.64
0.32	0	68.5
0.33	0	70
0.34	0	68.07
0.35	0	62.67
0.36	0	58.65
0.37	0	67.11
0.38	0	75.24
0.39	0	78.71
0.4	178.55	79.97
0.41	175.84	80.2
0.42	176.69	80.44
0.43	177.65	80.92
0.44	177.76	81.2
0.45	178.09	81.26
0.46	178.91	81.38
0.47	179.51	81.47
0.48	180.16	81.49
0.49	181.2	81.37
0.5	183.81	80.74
0.51	187.31	79.29
0.52	190.57	77.32
0.53	193	75.36
0.54	194.16	72.42
0.55	193.72	67.56
0.56	193.54	65.37
0.57	0	69.14
0.58	0	70.85
0.59	0	70.69
0.6	0	69.73
0.61	0	68.13
0.62	0	66.61
0.63	0	63.5
0.64	0	62.78
0.65	0	63.7
0.66	0	63.48
0.67	0	71.5
0.68	0	77.38
0.69	191	79.46
0.7	186.68	79.14
0.71	185.32	78.17
0.72	184.43	76.94
0.73	183.95	72.79
0.74	0	63.18
0.75	0	46.38
0.76	0	31.23
0.77	0	29.47
0.78	0	31.29
0.79	0	40.68
0.8	0	54.88
0.81	0	59.64
0.82	0	60.9
0.83	0	64.8
0.84	0	65.63
0.85	0	66.37
0.86	0	71.22
0.87	0	72.35
0.88	174.98	71.1
0.89	174.28	68.47
0.9	175.87	65.19
0.91	0	66.68
0.92	0	68.04
0.93	0	67.04
0.94	0	66.87
0.95	0	66.54
0.96	0	67.09
0.97	0	67.94
0.98	0	69.84
0.99	0	71.6
1	0	69.63
1.01	0	64.03
1.02	0	65.04
1.03	0	72.35
1.04	181.67	74.59
1.05	178.32	74.77
1.06	173.02	74.42
1.07	176.31	73.71
1.08	174.89	72.57
1.09	173.94	69.45
1.1	178.33	63.2
1.11	0	52.68
1.12	0	37.49
1.13	0	27.11
1.14	0	32.75
1.15	0	46.17
1.16	0	57.53
1.17	0	64.59
1.18	0	68.13
1.19	0	68.75
1.2	0	65.83
1.21	0	60.2
1.22	0	63.63
1.23	0	71.47
1.24	204.83	74.54
1.25	195.32	74.2
1.26	185.44	72.61
1.27	178.08	71.15
1.28	172.53	70.78
1.29	168.1	72.02
1.3	162.67	73.73
1.31	156.94	75.1
1.32	151.37	76.34
1.33	147.71	77.3
1.34	143.8	77.17
1.35	138.93	76.2
1.36	133	75.37
1.37	129.05	74.94
1.38	126.28	74.01
1.39	122.24	72.14
1.4	0	70.95
1.41	0	70.97
1.42	135.11	71.17
1.43	138.12	68.49
1.44	139.03	64.54
1.45	0	64.82
1.46	0	67.46
1.47	0	69.99
1.48	0	71.89
1.49	0	73.01
1.5	0	72.28
1.51	0	71.99
1.52	0	71.02
1.53	0	68.9
1.54	0	65.63
1.55	0	63.3
1.56	0	61.57
1.57	0	58.05
1.58	0	53.76
1.59	0	55.98
1.6	0	60.19
1.61	136.21	63.51
1.62	140.41	67.04
1.63	140.83	69.7
1.64	143.03	71.21
1.65	144.35	72.16
1.66	142.66	72.38
1.67	142.93	72.1
1.68	143.93	71.27
1.69	144.01	69
1.7	144.28	64.91
1.71	147.53	60.75
1.72	0	56.95
1.73	0	51.02
1.74	0	52.62
1.75	0	60.43
1.76	0	65.85
1.77	0	69.44
1.78	0	71.91
1.79	0	71.95
1.8	0	68.38
1.81	0	62.4
1.82	0	57.18
1.83	0	62.24
1.84	0	69.28
1.85	159.89	71.07
1.86	156.3	69.17
1.87	153.24	65.19
1.88	0	58.29
1.89	0	45.23
1.9	0	30.47
1.91	0	32.65
1.92	0	52.73
1.93	0	61.81
1.94	0	62.5
1.95	0	58.38
1.96	0	62.64
1.97	0	68.95
1.98	168.29	69.83
1.99	162.76	67.43
2	161.07	63.14
2.01	0	61.41
2.02	0	62.05
2.03	0	60.57
2.04	0	62.08
2.05	0	66.39
2.06	0	66.98
2.07	0	64.76
2.08	0	61.02
2.09	0	55.62
2.1	0	50.36
2.11	0	57.02
2.12	0	63.75
2.13	143.53	65.65
2.14	137.15	65.8
2.15	0	65.18
2.16	0	64.6
2.17	0	64.35
2.18	0	65.45
2.19	0	67.47
2.2	130.33	68.59
2.21	129.91	68.63
2.22	126.11	68.58
2.23	120.73	68.33
2.24	110.03	66.71
2.25	115.78	65.43
2.26	119.42	65.41
2.27	104.97	63.8
2.28	0	65.1
2.29	0	66.98
2.3	0	63.51
2.31	0	63.24
2.32	107.44	64.87
2.33	0	63.65
2.34	0	56.82
2.35	0	44.84
2.36	0	34.09
2.37	0	31.57
2.38	0	46.69
2.39	0	56.24
2.4	0	57.47
2.41	0	50.68
2.42	0	41.81
2.43	0	41.45
2.44	0	40.88
2.45	0	40.87
2.46	0	41.72
2.47	0	41.64
2.48	0	39.58
2.49	0	38.82
2.5	0	39.18
2.51	0	0
2.52	0	0
2.53	0	0
