time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	24.19
0.05	0	23.94
0.06	0	23.24
0.07	0	23.12
0.08	0	23.53
0.09	0	24.32
0.1	0	26.68
0.11	0	35.73
0.12	0	48.41
0.13	0	55.92
0.14	0	58.42
0.15	205.31	58.71
0.16	206.48	61.21
0.17	212.23	68.36
0.18	215.85	74.19
0.19	216.8	77.95
0.2	218.59	79.76
0.21	220.78	80.54
0.22	223.33	81.27
0.23	225.68	82.02
0.24	227.69	82.82
0.25	229.76	83.57
0.26	231.79	83.49
0.27	233.48	81.78
0.28	234.59	79.65
0.29	235.56	78.79
0.3	237.74	77.93
0.31	241.74	74.28
0.32	0	64.75
0.33	0	47.64
0.34	0	43.54
0.35	0	44.76
0.36	0	44.55
0.37	0	50.4
0.38	0	57.42
0.39	0	60.86
0.4	0	61.81
0.41	0	61.06
0.42	0	59.21
0.43	0	58.28
0.44	253.59	62.57
0.45	253.74	70.53
0.46	251	76.33
0.47	243.59	80.03
0.48	236.22	81.72
0.49	231.26	81.26
0.5	227.46	78.88
0.51	224.37	74.25
0.52	221.52	66.99
0.53	219.07	63.86
0.54	217.51	64.08
0.55	216.62	64.11
0.56	214.52	63.32
0.57	210.93	60.72
0.58	0	55.03
0.59	0	46.69
0.6	0	44.7
0.61	0	46.8
0.62	0	48.63
0.63	0	56.64
0.64	0	61.83
0.65	0	62.43
0.66	0	61.47
0.67	0	58.8
0.68	0	56.08
0.69	0	60.22
0.7	255.5	69.15
0.71	250.72	74.85
0.72	243.64	77.74
0.73	239.1	79.51
0.74	235.09	80.21
0.75	231.04	80
0.76	229.13	79.94
0.77	228.98	80.15
0.78	229.49	80.21
0.79	231.24	80.2
0.8	235.76	80.15
0.81	239.97	79.26
0.82	239.09	76.51
0.83	230.72	71.19
0.84	0	64.93
0.85	0	65.66
0.86	0	69.67
0.87	0	71.54
0.88	0	72.33
0.89	0	71.77
0.9	0	71.38
0.91	0	71.11
0.92	0	71.28
0.93	0	73.37
0.94	0	73.19
0.95	0	68.8
0.96	0	65.66
0.97	0	70.72
0.98	204.75	73.51
0.99	201.82	74.59
1	195.98	75.11
1.01	190.89	75.06
1.02	187.64	74.89
1.03	185.51	74.46
1.04	184.17	73.69
1.05	183	72.48
1.06	182.03	70.31
1.07	180.91	65.98
1.08	180.67	59.77
1.09	180.35	56.8
1.1	179.45	56.33
1.11	179.08	56.05
1.12	179.29	55.78
1.13	179.42	55.48
1.14	179.2	55.11
1.15	0	54.7
1.16	0	54.19
1.17	0	53.51
1.18	0	52.67
1.19	0	51.8
1.2	0	50.43
1.21	0	50.18
1.22	0	49.35
1.23	0	45.43
1.24	0	42.34
1.25	0	42.36
1.26	0	37.26
1.27	0	28.99
1.28	0	25.51
1.29	0	24.92
1.3	0	24.22
1.31	0	24.21
1.32	0	30.6
1.33	0	37.38
1.34	0	37.37
1.35	0	31.01
1.36	0	30.62
1.37	0	41.03
1.38	0	44.86
1.39	0	40.88
1.4	0	30.65
1.41	0	23.69
1.42	0	22.73
1.43	0	22.81
1.44	0	22.8
1.45	0	23.23
1.46	0	23.24
1.47	0	22.67
1.48	0	25.06
1.49	0	39.58
1.5	0	50.84
1.51	0	55.06
1.52	0	55.73
1.53	0	56.53
1.54	189.83	57.25
1.55	190.16	57.88
1.56	190.65	62.04
1.57	190.24	69.27
1.58	189.71	73.98
1.59	189.09	76.47
1.6	188.16	77.93
1.61	187.07	78.9
1.62	185.87	79.36
1.63	184.34	79.58
1.64	182.78	79.51
1.65	182.29	78.96
1.66	182.55	78.05
1.67	181.85	77.26
1.68	180.41	75.63
1.69	178.15	71.85
1.7	173.73	65.69
1.71	0	57.95
1.72	0	50.05
1.73	0	45.58
1.74	0	49.32
1.75	0	48.66
1.76	0	43.94
1.77	0	52.51
1.78	182.32	64.91
1.79	185.26	73.15
1.8	188.33	77.93
1.81	189.09	80.13
1.82	190.04	80.95
1.83	191.82	81.38
1.84	193.97	81.46
1.85	197.09	80.75
1.86	199.84	79.3
1.87	202.31	77.82
1.88	205.5	76.93
1.89	208.44	76.03
1.9	211.55	73.03
1.91	0	65.52
1.92	0	50.88
1.93	0	35.51
1.94	0	25.34
1.95	0	22.83
1.96	0	32.07
1.97	0	47.95
1.98	0	54.94
1.99	0	57.93
2	0	62.34
2.01	0	65.67
2.02	0	66.14
2.03	0	66.7
2.04	0	67.33
2.05	0	65.14
2.06	0	60.99
2.07	263.5	67.39
2.08	261.35	73.29
2.09	256.46	75.71
2.1	252.07	76.99
2.11	250.11	77.9
2.12	249.77	78.66
2.13	249.88	79.31
2.14	250.63	79.9
2.15	252.17	80.51
2.16	253.8	80.94
2.17	255.68	80.93
2.18	257.49	80.56
2.19	259.23	79.96
2.2	261.34	78.6
2.21	261.98	76.18
2.22	262.42	73.69
2.23	264.34	71.45
2.24	266.92	69.36
2.25	269.16	67.24
2.26	269.76	65.04
2.27	267.44	63.46
2.28	263.52	62.68
2.29	260.15	61.94
2.3	257.12	60.37
2.31	0	57.1
2.32	0	52.32
2.33	0	47.46
2.34	0	43.11
2.35	0	38.88
2.36	0	35.56
2.37	0	33.36
2.38	0	32.05
2.39	0	31.51
2.4	0	30.56
2.41	0	0
2.42	0	0
2.43	0	0
?	?	?
