time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	37.28
0.04	0	37.24
0.05	0	36.76
0.06	0	38.84
0.07	0	42.86
0.08	0	46.2
0.09	0	48.36
0.1	0	49.61
0.11	0	50.53
0.12	0	51.18
0.13	0	52.76
0.14	0	60.19
0.15	216.37	70.48
0.16	213.7	75.12
0.17	190.39	75.46
0.18	188.41	73.76
0.19	189.41	71.86
0.2	190.32	71.39
0.21	189.94	71.36
0.22	189.8	71.35
0.23	189.17	71.23
0.24	188.9	71.36
0.25	190.84	72.73
0.26	189.4	75.13
0.27	193.93	77.28
0.28	193.95	78.44
0.29	196.38	78.99
0.3	196.92	79.63
0.31	196.07	80.17
0.32	195.5	80.38
0.33	197.5	80.36
0.34	203.03	79.86
0.35	209.95	78.35
0.36	215.38	76.74
0.37	214.46	75.68
0.38	217.27	73.81
0.39	0	73.21
0.4	0	76.06
0.41	0	78.01
0.42	0	78.49
0.43	0	78.77
0.44	0	77.66
0.45	0	73.82
0.46	0	68.99
0.47	0	68.42
0.48	255.78	74.93
0.49	235.8	78.58
0.5	223.08	78.46
0.51	221.35	76.51
0.52	215.19	74.03
0.53	216.98	73.37
0.54	216.03	73.58
0.55	215.92	73.44
0.56	213.65	72.91
0.57	212.61	71.83
0.58	207.39	71.42
0.59	206.85	73.44
0.6	205.51	74.59
0.61	210.11	75.13
0.62	204.11	74.8
0.63	201.01	73.53
0.64	192.27	72.06
0.65	190.33	71.52
0.66	0	72.08
0.67	0	73.21
0.68	0	74.88
0.69	0	75.07
0.7	0	73.56
0.71	0	71.46
0.72	0	70.99
0.73	0	71.3
0.74	180.75	73.57
0.75	185.4	77.14
0.76	184.04	79.4
0.77	185.43	80.67
0.78	186.74	81.27
0.79	187.8	81.89
0.8	185.23	82.98
0.81	185.51	83.87
0.82	186.69	84.05
0.83	187.19	83.45
0.84	191.66	81.57
0.85	193.31	77.16
0.86	185.17	68.88
0.87	0	57.97
0.88	0	57.61
0.89	0	64.09
0.9	0	67.97
0.91	0	72.13
0.92	0	75.13
0.93	0	75.63
0.94	0	75.88
0.95	0	76.76
0.96	0	76.09
0.97	0	73.05
0.98	0	68.45
0.99	0	69.28
1	232.64	76.34
1.01	196.02	79.6
1.02	192.36	80.12
1.03	186.48	79.82
1.04	184.17	78.99
1.05	182.06	77.25
1.06	181.1	73.81
1.07	180.81	69.76
1.08	183.61	69.25
1.09	181.06	70.68
1.1	180.51	71.91
1.11	181.59	72.44
1.12	179.79	72.38
1.13	180.92	72.05
1.14	178.03	71.57
1.15	175.64	71.13
1.16	175.46	70.87
1.17	174.77	70.88
1.18	174.75	71.27
1.19	177.54	72.08
1.2	180.07	72.93
1.21	181.51	73.21
1.22	182.74	72.51
1.23	179.74	70.54
1.24	165.27	69.02
1.25	0	70.2
1.26	0	71.24
1.27	0	70.72
1.28	0	68.53
1.29	0	66.29
1.3	193.6	68.24
1.31	177.4	71.34
1.32	169.98	73.7
1.33	165.31	74.89
1.34	164.53	74.95
1.35	161.58	74.42
1.36	165.37	73.61
1.37	155.95	72.4
1.38	157.66	71.6
1.39	0	71.42
1.4	0	71.74
1.41	190.85	72.64
1.42	178.7	72.83
1.43	159.56	72.09
1.44	164.41	70.74
1.45	176.51	69.18
1.46	172.77	67.47
1.47	182.02	66.36
1.48	189.94	66.03
1.49	189.29	65.56
1.5	184.73	64.09
1.51	177.88	61.49
1.52	0	57.85
1.53	0	53.52
1.54	0	49.2
1.55	0	46.83
1.56	0	46.54
1.57	0	46.79
1.58	0	0
1.59	0	0
1.6	0	0
