time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.1
0.05	0	29.02
0.06	0	27.86
0.07	0	27.95
0.08	0	27.87
0.09	0	26.94
0.1	0	27.92
0.11	0	30.4
0.12	0	42.19
0.13	0	55.51
0.14	229.07	62.71
0.15	229.53	66.25
0.16	230.25	68.61
0.17	230.65	70.7
0.18	230.88	71.92
0.19	230.8	71.81
0.2	228.88	71.09
0.21	222.81	69.81
0.22	212.57	68.1
0.23	0	68.59
0.24	0	71.19
0.25	0	72.39
0.26	0	72.12
0.27	0	71.24
0.28	0	71.15
0.29	0	72.34
0.3	0	74.05
0.31	0	73.56
0.32	0	71.75
0.33	263.14	77.78
0.34	255.82	82.01
0.35	245.59	83.32
0.36	241.17	85.2
0.37	237.94	86.19
0.38	234.03	85.76
0.39	231.29	85.18
0.4	229.82	84.89
0.41	228.79	84.72
0.42	227.98	84.65
0.43	228.01	84.67
0.44	228.43	84.69
0.45	228.88	84.73
0.46	228.55	84.23
0.47	227.49	81.97
0.48	224.75	76.52
0.49	217.49	67.31
0.5	211.53	59.74
0.51	211.16	61.24
0.52	216.57	68.14
0.53	219.72	73.86
0.54	218.46	76.99
0.55	216.3	78.67
0.56	214.06	79.28
0.57	211.44	78.65
0.58	209.27	75.77
0.59	208	69.42
0.6	209.19	64.28
0.61	209.69	63.86
0.62	210.32	66.54
0.63	209.67	73.3
0.64	209.66	78.47
0.65	209.25	80.74
0.66	208.55	80.93
0.67	208.35	80.53
0.68	208.86	80.27
0.69	210.42	80.22
0.7	212.18	80.33
0.71	214.25	80.55
0.72	216.88	80.9
0.73	219.43	81.27
0.74	222.01	81.61
0.75	223.81	81.62
0.76	225.53	80.82
0.77	228.02	79.11
0.78	230.29	77.4
0.79	231.72	76.38
0.8	233.57	75.64
0.81	239.34	75.49
0.82	245.52	76.08
0.83	248.3	76.48
0.84	250.8	76.56
0.85	252.8	76.16
0.86	254.75	75.03
0.87	256.38	73.65
0.88	257.37	72.4
0.89	257.9	71.1
0.9	257.34	69.99
0.91	254.45	68.64
0.92	243.73	66.69
0.93	0	66.3
0.94	0	67.45
0.95	0	68.44
0.96	0	69.29
0.97	0	69.99
0.98	0	69.31
0.99	0	65.34
1	0	57.45
1.01	0	46.61
1.02	0	44.43
1.03	0	56.39
1.04	0	61.46
1.05	0	67.28
1.06	0	73.59
1.07	247.31	74.92
1.08	245.19	72.15
1.09	241.47	65.8
1.1	0	57.37
1.11	0	55.44
1.12	0	53.83
1.13	0	58.07
1.14	218.67	66.07
1.15	229.66	73.24
1.16	232.29	78.63
1.17	229.75	80.87
1.18	224.26	80.36
1.19	223.03	80.15
1.2	223.1	81.13
1.21	222.83	81.88
1.22	221.91	81.91
1.23	220.23	81.08
1.24	218.03	79.3
1.25	214.31	76.24
1.26	208.34	70.61
1.27	0	60.38
1.28	0	56.54
1.29	203.01	65.56
1.3	201.96	72.24
1.31	200.19	74.98
1.32	197.79	75.16
1.33	195.81	74.72
1.34	194.43	74.35
1.35	193.31	73.97
1.36	192.08	73.46
1.37	190.28	72.39
1.38	187.35	69.24
1.39	0	61.66
1.4	0	49.1
1.41	0	41.79
1.42	0	43.69
1.43	0	55.7
1.44	0	64.48
1.45	227.74	71.01
1.46	205.83	74.32
1.47	192.78	76.19
1.48	190.73	77.31
1.49	190.37	77.31
1.5	190.43	76.88
1.51	190.29	76.3
1.52	190.31	75.55
1.53	190.05	74.58
1.54	189.81	73.45
1.55	189.8	72.46
1.56	189.98	71.76
1.57	190.25	71.35
1.58	190.21	71.07
1.59	189.17	70.53
1.6	187.86	69.01
1.61	188.54	65.26
1.62	0	60.33
1.63	0	61.26
1.64	0	64.33
1.65	0	66.34
1.66	0	69.08
1.67	0	71.08
1.68	0	71.99
1.69	0	73.08
1.7	0	72.31
1.71	0	67.44
1.72	0	62.32
1.73	206.5	63.83
1.74	206.19	65.48
1.75	204.73	66.48
1.76	202.88	67.43
1.77	201.18	68.54
1.78	199.22	69.83
1.79	197.29	71.15
1.8	195.46	72.45
1.81	193.4	73.59
1.82	192.04	74.33
1.83	191.41	74.51
1.84	190.71	74.16
1.85	190.12	73.61
1.86	189.51	73.03
1.87	188.46	72.4
1.88	187.54	71.87
1.89	186.47	71.41
1.9	185.5	70.93
1.91	184.74	70.52
1.92	183.77	70.09
1.93	183.06	69.64
1.94	182.29	69.14
1.95	181.31	68.38
1.96	180.13	66.99
1.97	178.71	64.7
1.98	175.61	61.03
1.99	0	58.72
2	0	62.37
2.01	0	65.87
2.02	0	67.76
2.03	0	69.13
2.04	0	69.42
2.05	0	69.72
2.06	0	69.72
2.07	0	69.74
2.08	0	70.15
2.09	0	70.3
2.1	0	67.24
2.11	0	60.54
2.12	0	51.44
2.13	0	41.83
2.14	0	35.29
2.15	0	34.02
2.16	0	33.6
2.17	0	33.86
2.18	0	33.86
2.19	0	33.14
2.2	0	32.28
2.21	0	31.8
2.22	0	31.88
2.23	0	0
2.24	0	0
2.25	0	0
