time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	21.37
0.04	0	21.67
0.05	0	22.34
0.06	0	26.2
0.07	0	33.75
0.08	0	39.07
0.09	0	41.22
0.1	0	41.13
0.11	0	39.49
0.12	0	36.88
0.13	0	34.02
0.14	0	31.74
0.15	0	29.91
0.16	0	28.44
0.17	0	32.12
0.18	0	46.72
0.19	0	59.38
0.2	249.79	68.95
0.21	221.88	73.66
0.22	211.78	75.58
0.23	208.08	76.58
0.24	211.4	76.87
0.25	208.97	77.21
0.26	204.6	77.68
0.27	202.39	76.57
0.28	0	73.43
0.29	0	72.61
0.3	0	72.93
0.31	0	69.66
0.32	0	62.24
0.33	0	64.4
0.34	0	70.1
0.35	0	73.39
0.36	0	75.45
0.37	0	78.47
0.38	236.07	81.65
0.39	235.27	83.33
0.4	235.13	83.86
0.41	236.02	84.08
0.42	240.45	84.55
0.43	245.91	85.31
0.44	249.06	85.88
0.45	255.48	86.19
0.46	263.54	86.28
0.47	269.79	85.77
0.48	270.97	84.04
0.49	267.71	79.62
0.5	0	70.08
0.51	0	54.05
0.52	0	51.08
0.53	0	53.18
0.54	0	53.71
0.55	0	52.87
0.56	0	50.64
0.57	0	56.39
0.58	320.19	65.16
0.59	312.22	69.53
0.6	306.06	71.35
0.61	300.26	71.81
0.62	293.02	71.57
0.63	287.17	70.78
0.64	283.79	69.47
0.65	281.08	67.54
0.66	276.53	64.84
0.67	272.11	62.81
0.68	269.25	61.73
0.69	0	58.94
0.7	0	53.1
0.71	0	48.42
0.72	0	45.51
0.73	0	45.25
0.74	0	49.93
0.75	0	54.89
0.76	0	56.85
0.77	0	55.85
0.78	0	53.38
0.79	0	51.55
0.8	0	50.85
0.81	0	56.34
0.82	251.93	61.52
0.83	248.94	64.06
0.84	245.89	65.47
0.85	242.7	66.24
0.86	238.27	66.5
0.87	234.76	66.38
0.88	231.44	65.75
0.89	228.88	64.49
0.9	226.66	62.46
0.91	0	58.92
0.92	0	52.52
0.93	0	42.36
0.94	0	29.34
0.95	0	21.07
0.96	0	22.25
0.97	0	23.04
0.98	0	32.5
0.99	0	50.93
1	0	59.99
1.01	0	63.43
1.02	0	64.34
1.03	0	64.07
1.04	0	62.19
1.05	0	58.97
1.06	0	58.24
1.07	303.1	65.08
1.08	299.2	70.65
1.09	306.78	72.72
1.1	314.23	73.21
1.11	318.01	73.34
1.12	320.59	73.18
1.13	323.3	72.42
1.14	321.29	70.58
1.15	317.77	66.05
1.16	0	57.24
1.17	0	49.15
1.18	0	44.29
1.19	0	39.04
1.2	0	32.46
1.21	0	28.02
1.22	0	26.49
1.23	0	23.18
1.24	0	21.37
1.25	0	28.4
1.26	0	47.95
1.27	0	62.44
1.28	215.55	70.48
1.29	215.74	74.27
1.3	212.05	75.04
1.31	203.64	73.56
1.32	198.59	72.04
1.33	193.64	72.14
1.34	189.2	73.15
1.35	187.26	73.93
1.36	183.94	73.79
1.37	184.01	71.91
1.38	185.51	67.3
1.39	0	58.95
1.4	0	45.41
1.41	0	34.43
1.42	0	30.55
1.43	0	26.6
1.44	0	31.86
1.45	0	37.71
1.46	0	44.02
1.47	0	49.92
1.48	0	53.5
1.49	0	54.55
1.5	0	54.45
1.51	0	59.72
1.52	0	67.5
1.53	213.7	71.79
1.54	209.15	74.49
1.55	202.41	76.02
1.56	195.68	76.42
1.57	192.7	76.24
1.58	192.68	76.11
1.59	192.53	76.1
1.6	194.12	75.26
1.61	193.67	73.52
1.62	192.11	70.69
1.63	188.18	65.65
1.64	0	57.67
1.65	0	48.92
1.66	0	44.31
1.67	0	44.11
1.68	0	46.61
1.69	0	51.54
1.7	0	57.7
1.71	191.38	62.63
1.72	193.96	65.56
1.73	195.22	66.4
1.74	195.12	65.12
1.75	0	60.85
1.76	0	52.92
1.77	0	45.52
1.78	0	42.97
1.79	0	41.66
1.8	0	40.24
1.81	0	37.1
1.82	0	33.38
1.83	0	40.94
1.84	0	54.46
1.85	217.24	64.66
1.86	218.71	70.74
1.87	222.97	73.71
1.88	226.41	74.74
1.89	229.21	75.11
1.9	230.39	75.45
1.91	231.04	75.64
1.92	231.47	75.5
1.93	232.9	75.27
1.94	234.12	75.08
1.95	234.59	74.82
1.96	234.47	74.49
1.97	232.79	74.07
1.98	229.16	73.68
1.99	224.54	73.33
2	220.06	73.27
2.01	213.98	73.55
2.02	206.14	73.86
2.03	201.3	74.23
2.04	187.53	74.31
2.05	0	73.48
2.06	156.26	71.86
2.07	151.49	70.49
2.08	0	70.24
2.09	0	69.86
2.1	0	70.06
2.11	0	68.13
2.12	0	66.03
2.13	0	65.15
2.14	0	61.35
2.15	0	56.24
2.16	0	53.56
2.17	0	54.42
2.18	0	48.84
2.19	0	40.01
2.2	0	45.25
2.21	0	49.07
2.22	0	49.31
2.23	0	49.03
2.24	0	47.73
2.25	0	46.03
2.26	0	44.76
2.27	0	43.73
2.28	0	42.8
2.29	0	43.51
2.3	0	44.52
2.31	0	41.29
2.32	0	36.93
2.33	0	35.32
2.34	0	32.4
2.35	0	30.16
2.36	0	28.9
2.37	0	27.78
2.38	0	26.79
2.39	0	25.63
2.4	0	24.73
2.41	0	0
2.42	0	0
2.43	0	0
