time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.94
0.05	0	31.11
0.06	0	31.03
0.07	0	31.88
0.08	0	33.37
0.09	0	32.99
0.1	0	31.85
0.11	0	36.38
0.12	0	51.89
0.13	0	62.6
0.14	0	68.25
0.15	0	75.74
0.16	217.04	81.41
0.17	219.42	83.7
0.18	218.8	84.45
0.19	217.74	84.79
0.2	217.55	85.27
0.21	218.13	85.74
0.22	219.64	86.02
0.23	222.63	85.24
0.24	225.98	82.74
0.25	226.64	79.51
0.26	226.22	76.99
0.27	225.54	75.22
0.28	223.88	73.99
0.29	222.51	73.24
0.3	221.94	72.99
0.31	221.88	73.3
0.32	222.29	74.17
0.33	222.82	75.24
0.34	223.15	76.21
0.35	223.29	76.97
0.36	222.93	77.33
0.37	221.98	77.42
0.38	221.2	77.45
0.39	220.83	77.49
0.4	220.8	77.5
0.41	220.03	77.1
0.42	217.99	75.83
0.43	214.66	73.39
0.44	209.83	69.71
0.45	0	68.79
0.46	0	71.29
0.47	0	72.69
0.48	0	73.64
0.49	0	73.56
0.5	0	71.62
0.51	0	68.61
0.52	0	61.93
0.53	0	48.33
0.54	0	38.33
0.55	0	40.88
0.56	0	42.67
0.57	0	41.74
0.58	0	39.61
0.59	0	41.99
0.6	0	54.85
0.61	0	64.3
0.62	0	67.5
0.63	0	66.62
0.64	0	62.99
0.65	0	60.85
0.66	241.82	68.85
0.67	238.31	75.62
0.68	231.49	77.99
0.69	227.92	78.16
0.7	225.47	77.39
0.71	223.1	76.2
0.72	221.9	74.92
0.73	221	73.44
0.74	220.35	71.01
0.75	221.48	68.26
0.76	225.25	67.56
0.77	228.55	67.79
0.78	230	67.69
0.79	231.19	67.25
0.8	231.93	66.13
0.81	231.79	63.42
0.82	0	57.88
0.83	0	48.83
0.84	0	38.52
0.85	0	32.61
0.86	0	31.82
0.87	0	32.34
0.88	0	32.29
0.89	0	31.15
0.9	0	31.08
0.91	0	31.59
0.92	0	31.68
0.93	0	35.73
0.94	0	42.06
0.95	0	41.72
0.96	0	34.98
0.97	0	31.22
0.98	0	46.58
0.99	0	58.67
1	0	62.71
1.01	0	63
1.02	0	62.74
1.03	0	60.91
1.04	0	56.65
1.05	0	56.33
1.06	254.54	65.62
1.07	235.91	71.62
1.08	218.58	73.01
1.09	212.66	72.84
1.1	211.14	72.52
1.11	210.08	72.66
1.12	209.28	73.26
1.13	209.23	73.88
1.14	209.22	74.83
1.15	208.78	75.83
1.16	208.73	76.52
1.17	208.56	77.29
1.18	207.99	78.07
1.19	207.09	78.63
1.2	206.26	79.12
1.21	205.79	79.56
1.22	205.89	79.75
1.23	206.27	79.72
1.24	206.33	79.55
1.25	206.25	79.27
1.26	206.11	78.93
1.27	205.8	78.3
1.28	204.24	76.69
1.29	201.06	73.01
1.3	199.19	66.84
1.31	0	62.28
1.32	0	60.66
1.33	0	59.68
1.34	0	59.04
1.35	0	53.57
1.36	0	42.75
1.37	0	33.75
1.38	0	36.27
1.39	0	61.01
1.4	0	72.58
1.41	0	76.23
1.42	0	79.26
1.43	0	81.73
1.44	191.02	82.77
1.45	193.38	83.99
1.46	193.58	84.71
1.47	192.36	84.73
1.48	191.09	83.8
1.49	189.55	81.15
1.5	186.86	75.91
1.51	185.2	67.54
1.52	0	55.43
1.53	0	38.79
1.54	0	31.75
1.55	0	31.68
1.56	0	32.05
1.57	0	32.1
1.58	0	32.18
1.59	0	34.69
1.6	0	48.17
1.61	0	61.26
1.62	0	66.85
1.63	0	66
1.64	0	59.87
1.65	0	58.51
1.66	0	60.73
1.67	0	60.28
1.68	0	59.26
1.69	0	58.64
1.7	0	59.2
1.71	235.58	65.08
1.72	219.35	71.43
1.73	212.31	73.71
1.74	209.88	73.58
1.75	207.01	72.77
1.76	204.53	72.3
1.77	203.12	71.98
1.78	202.04	71.61
1.79	200.69	71.15
1.8	199.38	70.95
1.81	198.21	70.88
1.82	197.4	70.64
1.83	196.84	70.41
1.84	196.35	70.02
1.85	196.25	69.7
1.86	195.79	69.37
1.87	195.27	68.55
1.88	195.16	68.02
1.89	194.78	67.84
1.9	194.33	67.65
1.91	193.91	67.44
1.92	193.43	67.15
1.93	192.48	66.68
1.94	191.63	65.95
1.95	190.94	64.73
1.96	190.6	62.12
1.97	0	56.32
1.98	0	59.66
1.99	0	65.51
2	0	66.51
2.01	0	67.23
2.02	0	66.99
2.03	0	65.92
2.04	0	64.56
2.05	0	68.71
2.06	0	75.96
2.07	193.66	80.17
2.08	192.22	82.28
2.09	190.57	83.18
2.1	188.01	83.53
2.11	186.47	83.74
2.12	185.7	83.66
2.13	184.81	83.45
2.14	183.88	83.51
2.15	182.23	83.63
2.16	180.83	83.61
2.17	180.49	83.42
2.18	180.01	82.78
2.19	179.71	81.69
2.2	180.33	80.53
2.21	180.71	79
2.22	180.27	75.16
2.23	0	65.86
2.24	0	57.2
2.25	0	62.3
2.26	0	66.8
2.27	184.17	72.53
2.28	181.69	77.45
2.29	180.03	79.67
2.3	180.95	80.15
2.31	182.63	79.93
2.32	184.68	79.12
2.33	185.21	77.16
2.34	184.81	74.22
2.35	186.02	70.84
2.36	188.7	66.69
2.37	0	63.13
2.38	0	60.2
2.39	0	57.62
2.4	0	54.87
2.41	0	51.63
2.42	0	49.18
2.43	0	47.79
2.44	0	46.84
2.45	0	45.51
2.46	0	43.9
2.47	0	43.54
2.48	0	42.45
2.49	0	40.64
2.5	0	40.61
2.51	0	0
2.52	0	0
2.53	0	0
