time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	38.27
0.05	0	38.01
0.06	0	36.61
0.07	0	36.2
0.08	0	35.16
0.09	0	33.58
0.1	0	33.09
0.11	0	36.15
0.12	0	52.26
0.13	0	64.01
0.14	0	68.18
0.15	0	68.83
0.16	228.59	70.9
0.17	241.3	73.41
0.18	228.83	73.58
0.19	247.91	76.24
0.2	237.45	81.52
0.21	228.66	84.87
0.22	226.18	86.12
0.23	226.96	85.79
0.24	229	84.6
0.25	230.64	83.12
0.26	232.34	81.47
0.27	231.31	79.47
0.28	231.14	77.36
0.29	231.63	76.24
0.3	231.01	76.42
0.31	230.71	77.36
0.32	228.54	78.26
0.33	222.53	78.51
0.34	216.41	78.41
0.35	209.32	78.01
0.36	203.09	77.03
0.37	197.85	74.66
0.38	0	68.82
0.39	0	57.08
0.4	0	43.89
0.41	0	36.33
0.42	0	43.06
0.43	0	53.83
0.44	0	59.27
0.45	0	64.92
0.46	0	70.47
0.47	0	74.77
0.48	0	77.56
0.49	0	75.51
0.5	0	66.55
0.51	0	56.01
0.52	0	61.01
0.53	245.96	67.76
0.54	213.77	69.88
0.55	203.76	69.88
0.56	200.35	69.61
0.57	197.08	69.48
0.58	197.6	70.47
0.59	194.89	72.22
0.6	194.62	72.97
0.61	191.98	72.81
0.62	190.26	72.36
0.63	191.78	71.98
0.64	191.1	71.84
0.65	190.75	71.95
0.66	189.86	71.85
0.67	188.73	71.59
0.68	187.63	71.26
0.69	187.02	71.12
0.7	187.42	71.55
0.71	187.79	72.39
0.72	187.87	73.29
0.73	188.12	73.99
0.74	188.1	74.28
0.75	187.11	74.07
0.76	186.72	73.86
0.77	187.05	73.96
0.78	186.92	74.13
0.79	185.6	74.05
0.8	184.1	73.74
0.81	182.35	72.44
0.82	174.1	68.48
0.83	0	60.7
0.84	0	54.86
0.85	0	55.44
0.86	0	56.65
0.87	0	56.83
0.88	0	60.75
0.89	224.87	67.34
0.9	197.08	71.33
0.91	187.64	72.99
0.92	181.43	73.15
0.93	177.36	72.49
0.94	175.65	71.49
0.95	179.09	70.31
0.96	181.68	69.32
0.97	178.09	68.52
0.98	183.26	67.43
0.99	179.37	66.25
1	177.7	64.61
1.01	180.67	62.62
1.02	186.9	59.93
1.03	0	55.25
1.04	0	47.45
1.05	0	38.29
1.06	0	33.72
1.07	0	34.24
1.08	0	34.63
1.09	0	33.93
1.1	0	33.31
1.11	0	32.74
1.12	0	43.65
1.13	0	63.06
1.14	0	72.05
1.15	0	72.36
1.16	0	67.99
1.17	211.12	69.54
1.18	198.6	71.03
1.19	193.23	70.45
1.2	192.18	69.33
1.21	193.96	69.84
1.22	198.37	72.61
1.23	203.72	76.36
1.24	210	79.26
1.25	211.56	80.64
1.26	212.21	81.4
1.27	210.13	82.1
1.28	209.67	82.51
1.29	208.92	82.4
1.3	207.7	81.98
1.31	206.99	81.56
1.32	206.24	81.2
1.33	205.74	80.94
1.34	203.46	80.52
1.35	202.27	79.79
1.36	200.9	79.01
1.37	198.76	78.27
1.38	197.16	77.92
1.39	196	78.24
1.4	196.02	79.17
1.41	191.61	79.92
1.42	189.72	79.92
1.43	187.01	79.28
1.44	184.71	78.09
1.45	183.97	76.55
1.46	184.31	75.54
1.47	183.89	74.85
1.48	181.13	73.09
1.49	180.17	71.08
1.5	182.49	70.83
1.51	180.54	69.05
1.52	180.77	66.23
1.53	175.18	63.53
1.54	162.2	62.09
1.55	164.12	61.27
1.56	162.59	60.66
1.57	188.56	60.92
1.58	210.1	63.91
1.59	206.6	68.51
1.6	210.99	71.85
1.61	212.41	73.43
1.62	209.98	74
1.63	209.71	74.05
1.64	207.93	73.68
1.65	206.02	72.82
1.66	203.46	71.34
1.67	197.83	69.52
1.68	197.32	68.34
1.69	195.88	67.86
1.7	193.79	67.73
1.71	194.45	68.48
1.72	191.89	70.38
1.73	189.96	71.81
1.74	188.07	72
1.75	185.97	71.32
1.76	182.32	69.45
1.77	181.03	66.93
1.78	182.02	66.25
