time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.82
0.05	0	29.43
0.06	0	27.8
0.07	0	27.34
0.08	0	27.85
0.09	0	28.19
0.1	0	26.96
0.11	0	26.43
0.12	0	41.1
0.13	0	57.13
0.14	0	65.53
0.15	0	72.34
0.16	228.13	77.42
0.17	230.15	79.93
0.18	234.26	81.38
0.19	236.03	82.26
0.2	237.69	82.05
0.21	239.5	80.46
0.22	237.86	75.63
0.23	228.09	66.13
0.24	0	56.94
0.25	0	53.44
0.26	0	53.22
0.27	0	53.32
0.28	0	50.45
0.29	0	45.8
0.3	0	39.43
0.31	0	30.8
0.32	0	32.87
0.33	0	54
0.34	0	67.5
0.35	0	72.24
0.36	0	69.7
0.37	0	65.06
0.38	0	65.15
0.39	0	65.84
0.4	0	64.64
0.41	0	61.99
0.42	305.18	62.1
0.43	301.74	68.64
0.44	298.11	74.74
0.45	296.58	78.94
0.46	295.01	81.12
0.47	292.92	81.75
0.48	291.18	81.69
0.49	291.5	81.63
0.5	293.14	81.63
0.51	295.07	81.69
0.52	297.66	81.74
0.53	300.9	81.52
0.54	305.16	80.73
0.55	309.12	79.41
0.56	309.11	77.12
0.57	301.51	73.39
0.58	0	69.2
0.59	0	69.81
0.6	0	71.88
0.61	0	71.22
0.62	0	69.99
0.63	0	69.63
0.64	0	69.16
0.65	0	67.98
0.66	0	65.35
0.67	0	61.71
0.68	0	57.13
0.69	0	49.81
0.7	0	39.1
0.71	0	31.21
0.72	0	29.68
0.73	0	29.35
0.74	0	33.89
0.75	0	53.45
0.76	0	65.48
0.77	0	70.02
0.78	201.45	70.78
0.79	198.67	73.05
0.8	196.57	75.39
0.81	195.95	75.96
0.82	193.35	75.47
0.83	188.69	74.44
0.84	183.17	73.16
0.85	178.81	71.83
0.86	175.66	70.74
0.87	172.68	70.09
0.88	170.82	70.05
0.89	170.2	70.52
0.9	169.41	70.89
0.91	168.3	70.69
0.92	167.63	70.18
0.93	167.62	69.47
0.94	168.78	68.83
0.95	171.04	68.73
0.96	173.96	68.83
0.97	178.11	68.77
0.98	183.22	68.48
0.99	188.5	67.63
1	194.26	65.88
1.01	197.67	63.09
1.02	0	60.3
1.03	0	61.6
1.04	0	64.94
1.05	0	66.31
1.06	0	66.48
1.07	0	66.14
1.08	0	65.53
1.09	0	65.05
1.1	0	65.15
1.11	0	65.45
1.12	0	65.84
1.13	0	66.45
1.14	0	64.94
1.15	0	60.74
1.16	210.01	60.81
1.17	205.76	64.53
1.18	201.03	65.62
1.19	198.7	65.25
1.2	197.46	65.11
1.21	196.62	65.32
1.22	194.9	65.41
1.23	193.69	65.1
1.24	192.98	64.34
1.25	192.09	62.91
1.26	0	62.75
1.27	0	64.12
1.28	0	63.73
1.29	0	63.37
1.3	0	63.04
1.31	0	61.41
1.32	0	59.39
1.33	0	56.5
1.34	0	53.06
1.35	0	50.66
1.36	0	49.63
1.37	0	49.75
1.38	0	50.92
1.39	0	53.21
1.4	0	55.35
1.41	0	55.23
1.42	0	62.46
1.43	180.19	70.52
1.44	179.26	73.38
1.45	173.53	73.12
1.46	168.01	72.04
1.47	165.89	71.34
1.48	164.61	70.85
1.49	163.55	70.59
1.5	162.36	70.48
1.51	161.62	70.48
1.52	161.56	70.4
1.53	162.47	70.5
1.54	163.18	70.85
1.55	163.22	70.91
1.56	164.04	70.88
1.57	165.8	70.8
1.58	168.28	70.66
1.59	170.6	70.71
1.6	173.07	70.73
1.61	175.27	70.58
1.62	176.93	69.5
1.63	178.07	66.95
1.64	0	61.58
1.65	0	55.06
1.66	0	54.55
1.67	0	56.5
1.68	0	57.97
1.69	0	56.37
1.7	0	50.8
1.71	0	41.62
1.72	0	34.43
1.73	0	34.59
1.74	0	36.43
1.75	0	32.41
1.76	0	27.47
1.77	0	26.43
1.78	0	26.06
1.79	0	27.26
1.8	0	29.47
1.81	0	29.85
1.82	0	28.15
1.83	0	26.24
1.84	0	0
1.85	0	0
1.86	0	0
?	?	?
