time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	31.14
0.04	0	31.02
0.05	0	31.11
0.06	0	31.45
0.07	0	31.87
0.08	0	31.89
0.09	0	31.11
0.1	0	31.47
0.11	0	33.32
0.12	0	34.49
0.13	0	37.99
0.14	0	42.44
0.15	0	46.53
0.16	0	49.74
0.17	0	51.51
0.18	0	51.71
0.19	0	50.96
0.2	0	51.15
0.21	247.77	60.73
0.22	244.54	68.5
0.23	237.38	71.81
0.24	235.42	73.09
0.25	235.86	73.55
0.26	235.3	73.7
0.27	234.23	74.05
0.28	231.69	74.68
0.29	229.89	75.53
0.3	231.72	76.78
0.31	235.18	78.2
0.32	238.03	78.88
0.33	240.01	78.5
0.34	239.54	77.84
0.35	236.51	78.04
0.36	232.63	79.75
0.37	229.48	82.19
0.38	226.69	84.04
0.39	224.68	84.75
0.4	223.77	84.77
0.41	223.1	84.43
0.42	222.61	82.65
0.43	222.91	78.32
0.44	216.43	71.75
0.45	209.63	63.46
0.46	0	57.65
0.47	0	56.07
0.48	0	53.18
0.49	0	49.11
0.5	0	43.34
0.51	0	35.45
0.52	0	31.22
0.53	0	30.73
0.54	0	29.76
0.55	0	39.91
0.56	0	57
0.57	0	65.36
0.58	0	66.34
0.59	0	62.84
0.6	0	59.18
0.61	0	55.33
0.62	0	60.18
0.63	251.19	71.84
0.64	241.87	76.95
0.65	232.69	78.86
0.66	229.06	80.45
0.67	227.09	81.06
0.68	225.97	81.04
0.69	225.83	81.09
0.7	225.58	80.88
0.71	225.15	80.62
0.72	225.3	80.36
0.73	226.46	79.8
0.74	228.5	78.75
0.75	229.82	77.06
0.76	232.09	74.62
0.77	237.68	72.63
0.78	242.11	71.35
0.79	245.58	70.27
0.8	248.85	69.14
0.81	252.79	68.16
0.82	255.04	67.35
0.83	254.51	66.68
0.84	0	65.9
0.85	0	67.48
0.86	0	69.46
0.87	0	69.31
0.88	0	66.93
0.89	0	61.83
0.9	0	51.77
0.91	0	37.19
0.92	0	39.19
0.93	0	55.53
0.94	0	64.08
0.95	0	66.93
0.96	0	65.41
0.97	260.25	66.52
0.98	249.83	74.95
0.99	241.2	79.33
1	237.69	80.47
1.01	235.76	79.35
1.02	228.52	76.05
1.03	224.57	71.41
1.04	224.4	68.29
1.05	224.59	67.65
1.06	224.44	67.41
1.07	224.28	66.98
1.08	223.03	65.82
1.09	219.57	62.9
1.1	0	57.43
1.11	0	57.08
1.12	0	62.99
1.13	0	65.28
1.14	0	64.78
1.15	0	62.49
1.16	0	60.45
1.17	244.43	69.54
1.18	233.21	75.43
1.19	221.87	76.34
1.2	215.93	74.93
1.21	212.28	72.35
1.22	208.91	69.34
1.23	207.25	67.43
1.24	208.18	67.26
1.25	211.1	69.26
1.26	213.17	72.4
1.27	214.05	75.04
1.28	214.16	76.35
1.29	213.26	75.55
1.3	211.2	71.03
1.31	0	60.58
1.32	0	47.81
1.33	0	40.84
1.34	0	33.62
1.35	0	41.51
1.36	0	55.85
1.37	0	61.89
1.38	0	67.79
1.39	207.3	76.4
1.4	209.47	80.77
1.41	208.82	82.55
1.42	205.16	82.82
1.43	203.07	83.29
1.44	202.61	83.91
1.45	202.67	84.18
1.46	203.14	84.13
1.47	204.01	83.91
1.48	205.11	83.92
1.49	206.23	83.89
1.5	207.57	83.58
1.51	209.55	83.06
1.52	212.31	82.56
1.53	215.73	82.17
1.54	218.5	81.73
1.55	220.67	80.52
1.56	223.57	77.72
1.57	226.52	73.18
1.58	225.13	66.58
1.59	0	55.58
1.6	0	38
1.61	0	27.04
1.62	0	29.05
1.63	0	41.62
1.64	0	55.77
1.65	0	61.26
1.66	0	59.03
1.67	0	50.75
1.68	0	58.49
1.69	225.11	69.6
1.7	218.14	75.31
1.71	212.5	77.71
1.72	210.69	78.65
1.73	209.54	78.66
1.74	207.79	78.13
1.75	206.6	77.89
1.76	205	77.76
1.77	203.06	77.72
1.78	201.28	77.65
1.79	199.58	77.19
1.8	197.74	76.2
1.81	196.19	74.35
