time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.09
0.04	0	26.5
0.05	0	28.99
0.06	0	33.99
0.07	0	37.12
0.08	0	36.87
0.09	0	36.01
0.1	0	35.94
0.11	0	36.35
0.12	0	36.83
0.13	0	39.14
0.14	0	43.04
0.15	0	45.99
0.16	0	47.42
0.17	0	48.51
0.18	0	51.3
0.19	0	52.73
0.2	0	52.05
0.21	0	50.69
0.22	0	49.32
0.23	0	48.3
0.24	0	47.27
0.25	0	46.78
0.26	0	52.71
0.27	0	64.88
0.28	228.46	74.82
0.29	228.31	80.03
0.3	227.46	81.48
0.31	226.49	81.23
0.32	226.92	81.58
0.33	228.31	82.69
0.34	229.33	83.68
0.35	229.4	84.12
0.36	228.42	84.21
0.37	227.36	84.34
0.38	227.05	84.46
0.39	227.31	84.24
0.4	228.26	83.62
0.41	229.5	82.93
0.42	229.6	82.42
0.43	229.7	80.48
0.44	230.43	75.81
0.45	227.98	70.25
0.46	220	66.09
0.47	0	62
0.48	0	54.78
0.49	0	52.59
0.5	0	54.41
0.51	0	54.93
0.52	0	54.29
0.53	0	51.14
0.54	0	44.04
0.55	0	36.83
0.56	0	32.88
0.57	0	51.27
0.58	0	63.7
0.59	0	67.69
0.6	0	72.38
0.61	228.18	77.2
0.62	220.36	77.9
0.63	219.11	78.29
0.64	218.89	80.04
0.65	217.93	81.21
0.66	216.38	80.92
0.67	215.08	79.82
0.68	214.21	78.44
0.69	213.85	76.8
0.7	213.69	75.45
0.71	213.62	75.12
0.72	213.42	75.35
0.73	212.59	75.74
0.74	211.57	76.15
0.75	210.53	76.59
0.76	209.7	77.03
0.77	208.86	77.21
0.78	208.18	76.93
0.79	207.75	76.56
0.8	206.64	76.12
0.81	204.71	75.34
0.82	202.71	74.1
0.83	201.15	71.42
0.84	200.6	66.27
0.85	200.79	61.71
0.86	200.45	60.5
0.87	199.35	59.95
0.88	195.04	59.33
0.89	189.5	60.47
0.9	186.79	61.95
0.91	185.73	62.05
0.92	185.54	62
0.93	187.97	62.55
0.94	192.25	63.53
0.95	194.79	65.19
0.96	195.16	66.81
0.97	194.61	67.8
0.98	194.69	68.39
0.99	194.36	67.69
1	192.42	64.8
1.01	0	59.38
1.02	0	51.31
1.03	0	44.2
1.04	0	40.82
1.05	0	36.81
1.06	0	39.56
1.07	0	56.64
1.08	0	65.59
1.09	0	67.46
1.1	196.77	72.06
1.11	198.46	78.24
1.12	198.97	79.9
1.13	197.61	80.26
1.14	197	81.1
1.15	195.96	81.44
1.16	195.11	81.87
1.17	195.19	82.03
1.18	195.61	81.79
1.19	195.65	81.34
1.2	195.45	81.03
1.21	195.37	80.9
1.22	195.31	80.82
1.23	195.19	80.61
1.24	195.16	80.37
1.25	194.78	80.26
1.26	193.74	79.09
1.27	193.12	74.89
1.28	192.39	67.51
1.29	192.98	71.32
1.3	194.82	75.52
1.31	195.34	76.49
1.32	195.35	77.31
1.33	195.16	78.39
1.34	194.7	79.07
1.35	194.63	79.3
1.36	194.64	79.28
1.37	194.11	78.75
1.38	193.25	77.38
1.39	192.23	74.12
1.4	0	67.38
1.41	0	55.29
1.42	0	37.59
1.43	0	29.62
1.44	0	27.9
1.45	0	27.92
1.46	0	33.76
1.47	0	42.28
1.48	0	45.7
1.49	0	42.86
1.5	0	44.28
1.51	0	46.44
1.52	0	52.53
1.53	0	63.05
1.54	0	68.02
1.55	0	69.01
1.56	0	67.86
1.57	0	65.54
1.58	0	62.38
1.59	0	64.04
1.6	192.41	69.15
1.61	190.79	70.47
1.62	186.07	69.21
1.63	182.59	66.07
1.64	0	60.15
1.65	0	53.92
1.66	0	50.2
1.67	0	46.31
1.68	0	42.63
1.69	0	40.27
1.7	0	37.87
1.71	0	34.24
1.72	0	35.86
1.73	0	48.86
1.74	0	55.52
1.75	0	60.08
1.76	0	65.33
1.77	182.31	68.72
1.78	182.8	69.86
1.79	183.87	70.42
1.8	185.14	71.34
1.81	186.8	72.52
1.82	188.91	74
1.83	191.02	76.28
1.84	191.94	78.28
1.85	191.31	78.52
1.86	190.49	78.2
1.87	189.98	78.38
1.88	189.54	78.8
1.89	189.33	79.33
1.9	189.05	79.83
1.91	188.63	80.18
1.92	188.21	80.33
1.93	187.57	80.22
1.94	186.5	79.92
1.95	184.9	79.57
1.96	183.19	79.31
1.97	181.42	79.04
1.98	179.46	78.63
1.99	177.57	78.21
2	175.6	77.62
2.01	173.2	76.94
2.02	171.02	76.48
2.03	169.38	76.06
2.04	167.38	75.56
2.05	165.12	75
2.06	163.11	74.39
2.07	161.41	73.71
2.08	160.37	72.85
2.09	159.5	71.76
2.1	158.77	70.29
2.11	158.74	67.88
2.12	159.81	64.46
2.13	160.89	62.33
2.14	160.99	62.24
2.15	161.33	62.57
2.16	162.02	62.4
2.17	163.15	61.85
2.18	164.53	60.91
2.19	0	58.67
2.2	0	54.83
2.21	0	52.06
2.22	0	53.12
2.23	0	50.78
2.24	0	47.05
2.25	0	46.99
2.26	0	47.88
2.27	0	47.65
2.28	0	47.01
2.29	0	45.81
2.3	0	44.17
2.31	0	43.47
2.32	0	43.31
2.33	0	42.45
2.34	0	41.1
2.35	0	40.02
2.36	0	38.84
2.37	0	37.83
2.38	0	0
2.39	0	0
2.4	0	0
