time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.62
0.04	0	31.54
0.05	0	30.1
0.06	0	30.27
0.07	0	32.11
0.08	0	33.79
0.09	0	32.84
0.1	0	31.13
0.11	0	30.93
0.12	0	38.39
0.13	0	57.28
0.14	185.89	71.19
0.15	187.49	77.96
0.16	190.77	80.75
0.17	193.36	82.03
0.18	194.08	82.37
0.19	192.42	81.38
0.2	187.93	78.57
0.21	179.13	73.46
0.22	166.77	67.3
0.23	163.91	65.52
0.24	171.14	68.86
0.25	176.64	72.77
0.26	179.7	75.78
0.27	180.71	77.03
0.28	179.65	76.08
0.29	175.12	72.68
0.3	0	68.98
0.31	0	70.11
0.32	0	72.35
0.33	0	73.03
0.34	0	72.15
0.35	0	70.47
0.36	182.44	67.83
0.37	185.72	67.69
0.38	192.22	70.04
0.39	196.11	71.71
0.4	197.48	72.73
0.41	198.77	76.21
0.42	198.15	80.35
0.43	196.56	81.97
0.44	196.02	82.32
0.45	196.03	82.26
0.46	196.54	82.11
0.47	197.92	82
0.48	200.13	81.85
0.49	201.8	81.96
0.5	202.26	81.28
0.51	201.6	78.24
0.52	194.44	71.28
0.53	0	61.85
0.54	0	55.43
0.55	0	52.58
0.56	0	61.04
0.57	203.7	71.88
0.58	202.29	78.5
0.59	200.98	80.94
0.6	200.98	81.38
0.61	199.49	80.17
0.62	194.56	75.88
0.63	191.58	73.88
0.64	193.2	77.6
0.65	194.38	79.6
0.66	193.57	79.98
0.67	192.19	79.8
0.68	190.53	79.23
0.69	188.73	77.94
0.7	185.13	75.07
0.71	0	70.25
0.72	0	70.48
0.73	0	72.51
0.74	0	73.43
0.75	0	75.45
0.76	0	77.51
0.77	0	77.01
0.78	0	74.51
0.79	0	71.58
0.8	0	71.06
0.81	0	69.15
0.82	0	65.52
0.83	0	62.63
0.84	0	60.39
0.85	0	59.65
0.86	0	59.85
0.87	0	60.62
0.88	0	72.18
0.89	0	80.09
0.9	172.32	81.02
0.91	170.32	78.69
0.92	167.31	77.3
0.93	165.76	76.47
0.94	164.78	76.03
0.95	164.4	76.14
0.96	163.86	76.11
0.97	162.56	75.62
0.98	160.95	75.05
0.99	159.19	74.16
1	158.09	73.47
1.01	157.51	72.8
1.02	157.13	72
1.03	156.77	70.56
1.04	156.54	67.27
1.05	0	68.87
1.06	0	72.59
1.07	0	68.5
1.08	0	55.46
1.09	0	46.58
1.1	0	41.79
1.11	0	39.8
1.12	0	40.09
1.13	0	36.29
1.14	0	38.45
1.15	0	55.9
1.16	0	64.4
1.17	0	65.59
1.18	0	62.58
1.19	0	59.82
1.2	0	58.18
1.21	0	56.55
1.22	0	56.17
1.23	0	56.86
1.24	0	57.39
1.25	0	55.48
1.26	0	51.64
1.27	0	47.1
1.28	0	44.46
1.29	0	43.46
1.3	0	43.39
1.31	0	42.25
1.32	0	40.55
1.33	0	40.37
1.34	0	41.05
1.35	0	0
1.36	0	0
?	?	?
