time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.64
0.04	0	25.07
0.05	0	22.4
0.06	0	22.82
0.07	0	22.27
0.08	0	21.72
0.09	0	21.97
0.1	0	22.36
0.11	0	24.3
0.12	0	30.73
0.13	0	38.79
0.14	0	44.57
0.15	0	47.58
0.16	0	49.49
0.17	0	54.71
0.18	0	69.54
0.19	204.16	78.63
0.2	204.09	82.27
0.21	205.29	83.52
0.22	206.99	84.08
0.23	208.58	84.43
0.24	209.68	84.83
0.25	210.68	85.24
0.26	211.49	85.44
0.27	211.51	85.44
0.28	211.09	84.83
0.29	210.62	83.07
0.3	209.83	80.12
0.31	207.63	75.21
0.32	0	65.83
0.33	0	54.61
0.34	0	52.95
0.35	0	53.18
0.36	0	52.99
0.37	0	52.14
0.38	0	50.54
0.39	0	51.63
0.4	210.36	56.85
0.41	210.09	60.14
0.42	209.42	64.62
0.43	209.93	70.52
0.44	211.05	74.29
0.45	211.94	75.51
0.46	213.52	75.2
0.47	215.08	74.56
0.48	216.02	74.02
0.49	216.68	73.74
0.5	217.93	73.48
0.51	220.34	72.94
0.52	223.17	72.01
0.53	225.2	70.58
0.54	225.06	67.72
0.55	0	61.58
0.56	0	50.42
0.57	0	33.29
0.58	0	26.7
0.59	0	41.94
0.6	0	50.77
0.61	0	51.58
0.62	0	47.09
0.63	0	43.5
0.64	0	39.52
0.65	0	39.14
0.66	0	47.33
0.67	0	55.37
0.68	0	58.18
0.69	0	57.82
0.7	0	59.74
0.71	0	58.85
0.72	0	50.36
0.73	0	34.72
0.74	0	22.77
0.75	0	21.51
0.76	0	40.21
0.77	0	53.43
0.78	0	58.57
0.79	0	63.88
0.8	0	68.78
0.81	0	69.54
0.82	0	70.59
0.83	0	72.77
0.84	0	73.55
0.85	171.49	73.53
0.86	170.41	72.93
0.87	165.28	71.85
0.88	159.26	69.15
0.89	158.68	64.77
0.9	163.46	60.45
0.91	0	56.63
0.92	0	52.27
0.93	0	49.06
0.94	0	48.25
0.95	0	48.55
0.96	0	49.8
0.97	0	54.14
0.98	220.05	61.94
0.99	210.65	68.08
1	202.37	71.02
1.01	202.1	72.22
1.02	203.79	73
1.03	204.55	73.56
1.04	204.86	73.77
1.05	204.66	73.86
1.06	203.68	73.86
1.07	202.29	73.33
1.08	201	72.12
1.09	200.5	70.98
1.1	200.36	70.54
1.11	200.06	70.25
1.12	199.35	69.74
1.13	199.48	69.37
1.14	200.39	70.42
1.15	200.7	72.05
1.16	201.16	72.75
1.17	201.72	72.44
1.18	201.41	71.56
1.19	200	70.64
1.2	198.28	68.83
1.21	196.96	64.15
1.22	0	55.67
1.23	0	50.33
1.24	0	49.78
1.25	0	53.03
1.26	0	55.4
1.27	0	55.38
1.28	0	56.25
1.29	0	57.31
1.3	0	57.39
1.31	0	55.89
1.32	0	52.28
1.33	0	43.4
1.34	0	28.87
1.35	0	37.69
1.36	0	51.56
1.37	0	56.72
1.38	0	56.38
1.39	0	53.64
1.4	0	53.24
1.41	0	55.58
1.42	0	65.09
1.43	0	71.78
1.44	193.94	74.75
1.45	192.98	76.42
1.46	190.74	77.48
1.47	189.47	78.16
1.48	188.15	78.57
1.49	186.17	78.7
1.5	184.9	78.33
1.51	184.8	77.5
1.52	185.27	76.27
1.53	187.32	73.93
1.54	192.44	70.02
1.55	0	63.58
1.56	0	56.59
1.57	0	56.17
1.58	0	57.89
1.59	0	58.39
1.6	0	58.09
1.61	0	57.29
1.62	0	56.48
1.63	0	54.56
1.64	0	51.24
1.65	0	49.23
1.66	0	54.57
1.67	0	57.4
1.68	0	56.14
1.69	0	59.85
1.7	0	62.09
1.71	0	64
1.72	0	65.43
1.73	0	65.09
1.74	0	65.14
1.75	0	65.87
1.76	0	65.9
1.77	0	66.43
1.78	0	67.74
1.79	0	65.04
1.8	0	62.37
1.81	0	63.86
1.82	0	61.55
1.83	0	59.63
1.84	0	61
1.85	0	63.15
1.86	0	60.59
1.87	0	56.54
1.88	0	58.45
1.89	0	56.36
1.9	0	48.2
1.91	0	43.3
1.92	0	40.04
1.93	0	42.37
1.94	0	44.22
1.95	0	42.52
1.96	0	44.49
1.97	0	53.99
1.98	0	56.97
1.99	0	53.9
2	0	53.55
2.01	0	55.06
2.02	0	56.26
2.03	0	56.39
2.04	0	55.86
2.05	0	54.85
2.06	0	54.46
2.07	0	54.56
2.08	0	54.48
2.09	0	54.31
2.1	0	54.25
2.11	0	53.83
2.12	0	52.47
2.13	0	51.24
2.14	0	49.84
2.15	0	48.43
2.16	0	47.1
2.17	0	46.35
2.18	0	46
2.19	0	46.45
2.2	0	48.51
2.21	0	49.28
2.22	0	46.8
2.23	0	45.31
2.24	0	43.49
2.25	0	41.69
2.26	0	41.49
2.27	0	41.77
2.28	0	42.19
2.29	0	42.04
2.3	0	40.73
2.31	0	39.24
2.32	0	38.88
2.33	0	38.85
2.34	0	38.7
2.35	0	0
2.36	0	0
?	?	?
