time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.3
0.04	0	29.35
0.05	0	30
0.06	0	29.8
0.07	0	28.78
0.08	0	28.83
0.09	0	29.35
0.1	0	29.78
0.11	0	30.36
0.12	0	31.11
0.13	0	44.25
0.14	0	56.12
0.15	0	59.4
0.16	0	57.82
0.17	0	56.46
0.18	0	60.19
0.19	0	65.84
0.2	0	71.12
0.21	186.47	75.22
0.22	187.68	76.52
0.23	188.78	76.45
0.24	188.57	75.91
0.25	187.52	75.14
0.26	186.72	74.23
0.27	186.74	73.41
0.28	187.88	73.43
0.29	190.59	74.56
0.3	194.22	76.08
0.31	198.65	77.94
0.32	202.1	79.74
0.33	204.09	80.82
0.34	206.82	81.73
0.35	210.9	82.56
0.36	214.53	83.3
0.37	217.5	84.05
0.38	219.78	84.54
0.39	221.56	84.21
0.4	222.78	82.7
0.41	224.49	80.93
0.42	226.12	80.03
0.43	228.08	79.72
0.44	229.15	79.53
0.45	229.26	80.23
0.46	229.53	83.23
0.47	228.4	84.91
0.48	224.99	84.93
0.49	221.62	84.61
0.5	218.86	84.18
0.51	216.82	83.55
0.52	215.75	82.88
0.53	215.64	82.18
0.54	215.87	81.24
0.55	215.82	79.58
0.56	214.39	76.75
0.57	213.3	72.66
0.58	0	69.61
0.59	0	71.57
0.6	0	73.14
0.61	0	72.91
0.62	0	73.1
0.63	0	73.03
0.64	0	69.73
0.65	0	65.64
0.66	0	61.81
0.67	0	57.97
0.68	0	55.17
0.69	0	52.31
0.7	0	49.61
0.71	0	51.88
0.72	0	62.61
0.73	0	71.38
0.74	191.1	74.64
0.75	187.88	75.28
0.76	185.24	75.53
0.77	183.11	75.93
0.78	181.23	76.37
0.79	179.37	76.46
0.8	177.44	76.18
0.81	175.53	75.67
0.82	174.22	74.97
0.83	172.96	73.95
0.84	171.25	72.62
0.85	169.43	71.11
0.86	167.81	69.4
0.87	165.7	67.36
0.88	163.38	64.78
0.89	161.46	61.89
0.9	162.37	60.04
0.91	166.3	61.02
0.92	171.16	64.87
0.93	176.27	69.91
0.94	181.43	74.46
0.95	184.94	78.23
0.96	186.29	81.09
0.97	186.33	82.69
0.98	186.82	83.55
0.99	187.7	84.01
1	189.06	83.87
1.01	191.22	83.22
1.02	194.1	82.74
1.03	197.1	81.86
1.04	199.88	79.83
1.05	201.94	77.81
1.06	202.22	75.86
1.07	199.73	72.72
1.08	195.64	68.48
1.09	0	66.05
1.1	0	66.04
1.11	0	63.5
1.12	0	62.98
1.13	0	66.26
1.14	0	69.28
1.15	0	70.48
1.16	0	70.5
1.17	0	69.48
1.18	0	67.14
1.19	0	66.26
1.2	0	65.26
1.21	0	62.55
1.22	0	65.93
1.23	215.65	69.58
1.24	207.69	70
1.25	201.61	69.5
1.26	198.67	67.8
1.27	194.91	65.19
1.28	191.28	63.79
1.29	189.5	63.56
1.3	188.85	63.58
1.31	188.99	63.77
1.32	188.81	63.52
1.33	188.95	62.5
1.34	188.86	60.9
1.35	0	57.64
1.36	0	51.58
1.37	0	44.08
1.38	0	40.8
1.39	0	52.73
1.4	0	66.05
1.41	0	69.94
1.42	0	68.6
1.43	0	67.48
1.44	0	66.29
1.45	0	63.19
1.46	0	60.76
1.47	0	59.23
1.48	0	58.63
1.49	0	63.17
1.5	217.28	71.63
1.51	209.75	75.29
1.52	200.72	76.05
1.53	196.11	76.41
1.54	193.81	76.49
1.55	192.02	76.22
1.56	190.01	75.57
1.57	186.31	74.55
1.58	182.99	73.98
1.59	180.05	73.94
1.6	177.66	74.26
1.61	175.76	74.83
1.62	174.14	75.21
1.63	173.22	74.9
1.64	172.7	73.4
1.65	171.81	69.28
1.66	0	61.08
1.67	0	55.12
1.68	0	55.8
1.69	0	56.59
1.7	0	57.33
1.71	0	57.18
1.72	188.72	58.61
1.73	187.93	61.66
1.74	186.1	63.65
1.75	173.9	64.02
1.76	164	64.05
1.77	156.79	64.22
1.78	153.42	64.71
1.79	152.38	65.51
1.8	152.11	66.25
1.81	152.92	66.99
1.82	151.42	67.51
1.83	148.94	67.88
1.84	148.64	68.1
1.85	148.31	68.07
1.86	146.92	67.63
1.87	146.26	66.58
1.88	145.52	65.16
1.89	143.91	63.09
1.9	143.91	59.71
1.91	0	55.5
1.92	0	52.98
1.93	0	52.21
1.94	0	51.79
1.95	0	51.37
1.96	0	50.9
1.97	0	50.75
1.98	0	50.89
1.99	0	50.45
2	0	49.17
2.01	0	0
2.02	0	0
2.03	0	0
?	?	?
