time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.86
0.05	0	28.76
0.06	0	29.41
0.07	0	29.54
0.08	0	28.47
0.09	0	27.52
0.1	0	28.14
0.11	0	32.99
0.12	0	40.13
0.13	0	46.01
0.14	0	50.22
0.15	0	53.77
0.16	0	57.06
0.17	0	62.22
0.18	271.31	71.9
0.19	266.19	78.6
0.2	257.54	82.16
0.21	253.37	83.6
0.22	253.86	83.3
0.23	256.94	81.61
0.24	263.47	79.78
0.25	263.19	78.59
0.26	263.78	77.92
0.27	272.57	76.97
0.28	279.95	75.7
0.29	285.68	74.82
0.3	292.88	74.65
0.31	304.83	75.3
0.32	317.73	75.58
0.33	324.86	73.17
0.34	0	67.58
0.35	0	64.67
0.36	0	64.8
0.37	0	63.27
0.38	0	63.07
0.39	0	63.72
0.4	0	63.6
0.41	0	63.63
0.42	0	64.17
0.43	0	65.95
0.44	0	67.67
0.45	0	64.8
0.46	0	55.23
0.47	0	40.63
0.48	0	33.93
0.49	0	34.69
0.5	0	34.1
0.51	0	34.92
0.52	0	35.29
0.53	0	37.71
0.54	0	44.89
0.55	0	64.34
0.56	0	76.81
0.57	219	82.83
0.58	216.74	85.23
0.59	214.57	85.69
0.6	213.02	85.65
0.61	212.3	85.85
0.62	211.33	86.1
0.63	210.55	86.08
0.64	209.7	85.82
0.65	209.61	85.53
0.66	210.14	85.49
0.67	211.44	85.67
0.68	214.11	85.75
0.69	216.21	85.22
0.7	217.57	83.86
0.71	218.57	81.78
0.72	219.58	79.23
0.73	219.52	76.32
0.74	220.26	72.11
0.75	0	64.59
0.76	0	55.84
0.77	0	52.6
0.78	0	48.51
0.79	0	46.61
0.8	0	56.25
0.81	0	61.37
0.82	0	60.71
0.83	0	57.72
0.84	0	58.4
0.85	0	60.18
0.86	0	61.17
0.87	0	61.27
0.88	0	60.92
0.89	0	61.09
0.9	0	61.55
0.91	0	61.64
0.92	0	60.88
0.93	0	61.15
0.94	0	61.19
0.95	0	60.57
0.96	0	59.93
0.97	0	58.94
0.98	0	58.23
0.99	0	67.32
1	229.11	74.95
1.01	222.36	77.62
1.02	213.9	77.91
1.03	209.56	77.47
1.04	206.97	77.2
1.05	205.39	77.09
1.06	204.16	77.1
1.07	203.01	77.14
1.08	201.27	77.09
1.09	199.86	76.77
1.1	198.57	76.24
1.11	196.43	75.51
1.12	194.32	74.64
1.13	191.89	73.63
1.14	188.83	72.3
1.15	183.83	70.15
1.16	0	65.29
1.17	0	55.65
1.18	0	46.57
1.19	0	44.17
1.2	0	48.5
1.21	0	55.76
1.22	182.07	63.84
1.23	169.35	69.93
1.24	154.29	72.21
1.25	150.47	71.56
1.26	150.48	70.84
1.27	0	70.15
1.28	0	68.98
1.29	0	67.68
1.3	0	65.62
1.31	0	62.92
1.32	0	61.83
1.33	0	62.91
1.34	0	64.77
1.35	0	65.15
1.36	0	64.31
1.37	0	64.46
1.38	0	65.07
1.39	0	66.52
1.4	0	69.04
1.41	0	71.1
1.42	0	72.96
1.43	160.85	75.32
1.44	153.79	76.85
1.45	155.12	77.6
1.46	153.47	77.46
1.47	0	76.27
1.48	0	73.71
1.49	0	70.48
1.5	0	67.87
1.51	0	66.21
1.52	0	62.16
1.53	0	55.06
1.54	0	50.28
1.55	0	48.48
1.56	0	44.23
1.57	0	42.94
1.58	0	42.82
1.59	0	42.71
1.6	0	42.63
1.61	0	42.31
1.62	0	41.49
1.63	0	40.24
1.64	0	40.45
1.65	0	0
1.66	0	0
1.67	0	0
?	?	?
