time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.78
0.04	0	29.21
0.05	0	29.31
0.06	0	29.69
0.07	0	29.75
0.08	0	29.24
0.09	0	27.93
0.1	0	28.07
0.11	0	31.78
0.12	0	37.8
0.13	0	42.34
0.14	0	46.33
0.15	0	50.53
0.16	0	56.8
0.17	0	62.94
0.18	0	67.28
0.19	0	69.94
0.2	0	71.26
0.21	0	71.56
0.22	0	70.91
0.23	0	68.56
0.24	0	65.46
0.25	0	68.54
0.26	314.28	79.1
0.27	298.8	84.95
0.28	286.32	86.43
0.29	283.39	86.16
0.3	280.87	86.29
0.31	279.46	86.34
0.32	280.33	86.12
0.33	281.39	85.84
0.34	281.99	85.59
0.35	282.93	85.32
0.36	280.65	83.72
0.37	0	78.15
0.38	0	71.96
0.39	293.37	75.31
0.4	291.2	77.62
0.41	293.56	77.76
0.42	296.96	78.19
0.43	297.38	77.89
0.44	296.95	76.53
0.45	295.26	74.31
0.46	292.54	71.72
0.47	292.5	70.65
0.48	291.86	70.46
0.49	291.23	70.24
0.5	290.92	70.46
0.51	291.8	71.8
0.52	292.73	73.05
0.53	292.64	73.6
0.54	292.38	73.81
0.55	292.68	73.83
0.56	293.33	74.38
0.57	294.32	75.45
0.58	294.32	75.96
0.59	294.64	76.11
0.6	294.37	76.17
0.61	294.38	76.3
0.62	293.87	76.25
0.63	294.48	76.02
0.64	294.67	75.83
0.65	295.2	75.66
0.66	295.12	75.42
0.67	294.43	75.03
0.68	293.8	74.53
0.69	292.53	74.03
0.7	290.92	73.6
0.71	290.57	73.13
0.72	291.69	72.52
0.73	291.94	71.64
0.74	291.35	70.2
0.75	288.51	67.92
0.76	274.15	65.11
0.77	0	63.54
0.78	0	62.62
0.79	0	59.64
0.8	0	55.46
0.81	0	50.78
0.82	0	39.58
0.83	0	30.28
0.84	0	29.05
0.85	0	29
0.86	0	28.87
0.87	0	28.18
0.88	0	31.17
0.89	0	46.58
0.9	0	54.58
0.91	0	58.94
0.92	252.41	63.09
0.93	251.74	65.59
0.94	250.35	67.65
0.95	253.55	72.28
0.96	254.57	77.21
0.97	250.17	79.36
0.98	247.16	79.59
0.99	246.31	79.59
1	247.65	79.91
1.01	248.21	80.32
1.02	247.7	80.66
1.03	247.19	80.96
1.04	246.05	81.17
1.05	244.04	80.93
1.06	243.38	79.93
1.07	243.27	78.09
1.08	240.74	75.44
1.09	234.82	71.78
1.1	229.78	67.79
1.11	225.74	64.75
1.12	223.42	62.97
1.13	223.36	62.6
1.14	225.43	63.57
1.15	229.82	65.67
1.16	236.27	68.16
1.17	242.42	70.09
1.18	245.93	71.24
1.19	247.14	71.91
1.2	247.28	72.18
1.21	246.86	72.12
1.22	247.17	71.87
1.23	246.84	71.65
1.24	246.74	71.41
1.25	244.18	70.83
1.26	237.85	68.74
1.27	0	64.05
1.28	0	58.74
1.29	0	55.36
1.3	0	52.94
1.31	0	51.51
1.32	0	51.8
1.33	0	53.36
1.34	0	55.51
1.35	0	58.23
1.36	0	59.05
1.37	0	58.42
1.38	0	59.21
1.39	0	68.85
1.4	238.83	77.24
1.41	233.21	80.73
1.42	228.24	81.44
1.43	225.17	81.06
1.44	221.49	80.16
1.45	219.87	78.71
1.46	218.21	76.07
1.47	212.17	70.86
1.48	0	62.75
1.49	0	55.79
1.5	0	47.29
1.51	0	45.27
1.52	0	51.44
1.53	0	56.37
1.54	0	59.5
1.55	0	58.79
1.56	0	57.92
1.57	0	58.46
1.58	0	59.08
1.59	0	57.55
1.6	0	58.12
1.61	234.99	65.78
1.62	227.38	70.29
1.63	223.4	71.77
1.64	222.02	72.05
1.65	220.4	71.96
1.66	218.27	71.31
1.67	215.11	69.65
1.68	211.05	67.02
1.69	203.88	63.45
1.7	0	59.79
1.71	0	59.24
1.72	0	59.88
1.73	0	60.07
1.74	0	60.09
1.75	0	58.79
1.76	0	57.28
1.77	0	62
1.78	0	68.91
1.79	0	72.16
1.8	0	73.85
1.81	0	74.82
1.82	213.64	75.44
1.83	213.52	75.84
1.84	214.03	75.73
1.85	215.26	75.23
1.86	215.93	74.63
1.87	215.38	73.06
1.88	210.25	69.15
1.89	0	62.18
1.9	0	54.08
1.91	0	48.42
1.92	0	43.56
1.93	0	44.23
1.94	0	56.7
1.95	0	60.95
1.96	0	60.52
1.97	0	69.2
1.98	213.23	74.7
1.99	212.13	76.56
2	210.96	76.82
2.01	210.34	76.22
2.02	209.29	75.58
2.03	207.67	75.07
2.04	205.67	74.64
2.05	204.17	74.23
2.06	202.36	73.77
2.07	201.31	73.15
2.08	200.68	72.54
2.09	199.23	72.1
2.1	196.67	71.78
2.11	192.42	71.36
2.12	192.43	70.98
2.13	193.34	70.53
2.14	192.97	70.09
2.15	193.82	69.58
2.16	194.05	69.27
2.17	193.27	69.24
2.18	192.22	69.07
2.19	190.69	68.41
2.2	189.76	67.47
2.21	189.44	66.92
2.22	189.56	66.5
2.23	187.98	65.72
2.24	186	64.16
2.25	182.39	60.9
2.26	0	56.44
2.27	0	54.46
2.28	0	54.3
2.29	0	54.7
2.3	0	54.8
2.31	0	53.56
2.32	0	53
2.33	0	52.57
2.34	0	51.02
2.35	0	48.52
2.36	0	45.58
2.37	0	42.9
2.38	0	40.55
2.39	0	38.74
2.4	0	36.58
2.41	0	34.17
2.42	0	33.87
2.43	0	35.03
2.44	0	35.06
2.45	0	33.38
2.46	0	32.76
2.47	0	0
2.48	0	0
2.49	0	0
?	?	?
