time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.49
0.05	0	34.19
0.06	0	34.26
0.07	0	34.56
0.08	0	34.35
0.09	0	34.26
0.1	0	34.66
0.11	0	35.47
0.12	0	38.3
0.13	0	49.63
0.14	0	58.11
0.15	0	63.13
0.16	0	67.6
0.17	0	71.29
0.18	0	75.29
0.19	0	78.65
0.2	0	80.11
0.21	0	79.77
0.22	0	77.95
0.23	0	73.89
0.24	0	71.05
0.25	268.1	75.91
0.26	265.74	80.48
0.27	262.91	82.15
0.28	260.71	82.44
0.29	259.26	82.18
0.3	256.74	81.67
0.31	254.55	81.12
0.32	254.11	80.35
0.33	254.23	79.68
0.34	254.48	79.16
0.35	254.43	78.6
0.36	253.8	77.97
0.37	254.44	77.4
0.38	256.4	77.12
0.39	258.82	76.83
0.4	260.61	76.29
0.41	261.54	75.16
0.42	261.51	72.58
0.43	260.63	69.97
0.44	260.75	69.15
0.45	260.64	68.59
0.46	258.9	67.67
0.47	255.46	66.14
0.48	252.7	63.77
0.49	0	65.15
0.5	0	70.61
0.51	0	73.06
0.52	0	73.23
0.53	0	72.83
0.54	0	71.74
0.55	0	68.84
0.56	228.1	64.39
0.57	230.37	64.95
0.58	229.87	67.26
0.59	226.42	67.87
0.6	222.53	67.56
0.61	219.64	66.88
0.62	218.22	66.37
0.63	217.91	66.92
0.64	217.07	66.94
0.65	214.48	65.12
0.66	210.41	62.18
0.67	0	57.47
0.68	0	51.05
0.69	0	50.23
0.7	0	53.33
0.71	0	56.1
0.72	240.4	64.7
0.73	235.22	76.66
0.74	229.33	82.74
0.75	225.33	84.72
0.76	221.82	84.88
0.77	218.93	84.4
0.78	216.63	83.78
0.79	214.83	83.19
0.8	213.56	82.72
0.81	212.76	82.48
0.82	212.58	82.46
0.83	212.99	82.55
0.84	213.41	82.54
0.85	214.72	82.57
0.86	216.83	82.93
0.87	218.94	83.16
0.88	221.03	82.81
0.89	222.9	81.62
0.9	222.85	78.67
0.91	218.85	73.22
0.92	214.33	66.07
0.93	0	62.4
0.94	0	64.09
0.95	0	66.46
0.96	0	68.78
0.97	0	70.97
0.98	0	71.14
0.99	0	69.93
1	0	66.7
1.01	0	63.29
1.02	0	60.31
1.03	229	65.18
1.04	224.98	71.89
1.05	221.75	74.57
1.06	220.91	75.69
1.07	221.29	76.83
1.08	222.09	77.94
1.09	221.97	78.14
1.1	220.28	76.96
1.11	215.78	74.14
1.12	209.23	69.12
1.13	198.14	61.6
1.14	0	54.13
1.15	0	48.98
1.16	0	45.23
1.17	0	49.54
1.18	0	57.21
1.19	0	61.13
1.2	0	62.59
1.21	231.15	69.04
1.22	227.16	75.28
1.23	225.19	77.97
1.24	224.28	78.17
1.25	220.7	76.68
1.26	213.53	73.59
1.27	0	69.74
1.28	0	69.21
1.29	0	71.58
1.3	0	73.57
1.31	0	76.14
1.32	0	78.17
1.33	0	76.84
1.34	0	71.78
1.35	0	64.56
1.36	0	54.8
1.37	0	41.79
1.38	0	37.28
1.39	0	45.2
1.4	0	55.73
1.41	0	61.56
1.42	0	62.61
1.43	0	66.24
1.44	220.06	75.16
1.45	222.21	79.74
1.46	224.58	81.53
1.47	225.45	82.05
1.48	225.8	81.85
1.49	226.22	81.5
1.5	226.42	81.21
1.51	226.61	81.16
1.52	227.47	81.35
1.53	229.69	81.59
1.54	231.36	81.43
1.55	231.53	80.66
1.56	230.3	79.39
1.57	227.59	77.49
1.58	221.32	74
1.59	0	68.7
1.6	0	65.87
1.61	0	67.31
1.62	0	69.11
1.63	0	69.32
1.64	0	69.7
1.65	0	70.88
1.66	0	70.2
1.67	0	67.7
1.68	0	63.06
1.69	0	54.48
1.7	0	44.44
1.71	0	55.05
1.72	239.04	65.34
1.73	238.82	69.98
1.74	239.43	72.16
1.75	239.13	73.23
1.76	237.71	73.5
1.77	235.92	72.11
1.78	233.01	67.71
1.79	0	60.96
1.8	0	56.12
1.81	0	53.54
1.82	0	55.5
1.83	0	63.01
1.84	0	68.44
