time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	22.2
0.05	0	24.51
0.06	0	33.88
0.07	0	39.95
0.08	0	41.38
0.09	0	38.05
0.1	0	33.45
0.11	0	26.88
0.12	0	27.43
0.13	0	47.86
0.14	0	60.76
0.15	0	64.64
0.16	0	63.59
0.17	225.49	67.61
0.18	228.91	73.56
0.19	236.16	77.59
0.2	239.28	80.18
0.21	239.28	81.57
0.22	237.57	81.16
0.23	234.48	77.12
0.24	0	67.18
0.25	0	65.27
0.26	217.38	72.79
0.27	222.49	78.57
0.28	223.87	80.95
0.29	222.73	81.37
0.3	220.91	81.29
0.31	218.32	80.9
0.32	215.17	79.91
0.33	211.87	77.64
0.34	206.94	72.16
0.35	0	61.54
0.36	0	49.37
0.37	0	54.61
0.38	0	65.11
0.39	0	70.89
0.4	211.31	77.91
0.41	211.64	83.12
0.42	209.7	84.79
0.43	205.82	84.57
0.44	202.49	84.44
0.45	200.2	84.17
0.46	199.57	83.63
0.47	201.44	83.45
0.48	203.4	83.37
0.49	204.93	83.25
0.5	206.43	83.15
0.51	208.69	82.98
0.52	210.86	82.71
0.53	212.53	82.12
0.54	214.1	81.2
0.55	215.26	79.92
0.56	217.02	78.46
0.57	219.28	77.02
0.58	222.86	76.54
0.59	227.19	77.72
0.6	231.9	79.53
0.61	235.7	80.53
0.62	239.49	80.52
0.63	241.62	79.83
0.64	242.41	78.93
0.65	245.3	78.6
0.66	248.06	78.74
0.67	248.42	78.58
0.68	247.09	78.03
0.69	246.34	77.55
0.7	246.63	77.3
0.71	246.08	76.87
0.72	244.75	76.18
0.73	244.39	75.48
0.74	243.37	74.6
0.75	242.42	73.3
0.76	241.9	71.38
0.77	240.32	68.63
0.78	239.43	66.34
0.79	239.59	64.79
0.8	237.29	62.09
0.81	0	58.92
0.82	0	58.93
0.83	0	60.25
0.84	0	62.13
0.85	0	63.84
0.86	0	64
0.87	0	64.3
0.88	0	64.12
0.89	0	62.39
0.9	0	60.01
0.91	0	61.44
0.92	236.24	72.25
0.93	230.63	79.11
0.94	225.82	81.5
0.95	220.53	81.3
0.96	215.73	80.23
0.97	212.21	79.19
0.98	209.9	78.19
0.99	207.97	77.15
1	207.13	76.09
1.01	205.81	74.12
1.02	203.91	70.13
1.03	206.9	65.95
1.04	206.73	64.06
1.05	203.15	62.47
1.06	196.38	59.38
1.07	0	56.05
1.08	0	58.04
1.09	0	60.01
1.1	0	61.06
1.11	0	61.32
1.12	0	61.26
1.13	0	61.1
1.14	0	60.23
1.15	0	56.11
1.16	0	51.04
1.17	0	53.13
1.18	0	59.3
1.19	203.73	62.2
1.2	205.72	63.41
1.21	210.17	66.12
1.22	210.64	71.03
1.23	210.05	75.17
1.24	209.64	77.66
1.25	208.45	78.86
1.26	205.99	79.18
1.27	203.67	79.04
1.28	201.04	78.07
1.29	197.85	74.79
1.3	196.21	69.5
1.31	199.06	67.09
1.32	197.45	66.86
1.33	195.25	66.67
1.34	193.81	67.85
1.35	191.08	71.94
1.36	187.94	74.27
1.37	185.74	74.42
1.38	184.07	74.23
1.39	182.9	74.06
1.4	181.59	73.15
1.41	180.07	69.21
1.42	172.98	62.29
1.43	175.39	60.86
1.44	178.48	66.59
1.45	176.79	71.26
1.46	174.04	72.65
1.47	172.29	72.16
1.48	171.09	71.32
1.49	169.77	70.69
1.5	169.18	70.3
1.51	169.65	70.67
1.52	169.95	71.36
1.53	170.14	71.57
1.54	169.18	69.8
1.55	175.02	66.08
1.56	181.28	64.57
1.57	182.15	64.37
1.58	180.7	63.42
1.59	176.65	60.68
1.6	0	55.06
1.61	0	46.65
1.62	0	47.95
1.63	0	59.59
1.64	0	70.7
1.65	191.02	76.58
1.66	188.91	77.47
1.67	187.29	76.8
1.68	186.31	76.75
1.69	185.4	76.77
1.7	186.01	76.65
1.71	186.61	76.59
1.72	186.13	75.7
1.73	184.75	72.27
1.74	186.09	67.65
1.75	187.51	66.75
1.76	186.12	69.14
1.77	181.29	72.08
1.78	178.99	73.3
1.79	177.23	73.34
1.8	175.57	72.17
1.81	173.43	69.3
1.82	169.33	64.97
1.83	0	60.6
1.84	0	57.44
1.85	0	57.13
1.86	0	57.35
1.87	0	57.75
1.88	0	57.97
1.89	0	57.57
1.9	0	56.33
1.91	0	54.82
1.92	0	60.26
1.93	0	66.69
1.94	0	66.47
1.95	0	62
1.96	0	60.31
1.97	0	61.36
1.98	0	57.81
1.99	0	50.42
2	0	46.61
2.01	0	44.18
2.02	0	40.52
2.03	0	35.07
2.04	0	28.8
2.05	0	34.75
2.06	0	40.09
2.07	0	38.61
2.08	0	42.62
2.09	0	50.24
2.1	0	53.7
2.11	0	55.74
2.12	0	56.09
2.13	0	56.17
2.14	0	56.52
2.15	0	56.2
2.16	0	55.74
2.17	0	54.67
2.18	0	53.3
2.19	0	51.93
2.2	0	50.44
2.21	0	47.53
2.22	0	42.63
2.23	0	37.31
2.24	0	31.42
2.25	0	27.4
2.26	0	26.33
2.27	0	25.21
2.28	0	24.14
2.29	0	23.98
2.3	0	23.98
2.31	0	25.66
2.32	0	25.54
2.33	0	26.59
2.34	0	28.63
2.35	0	25.95
2.36	0	22.93
2.37	0	22.37
2.38	0	22.35
2.39	0	23.43
2.4	0	25.08
2.41	0	27.19
2.42	0	26.39
2.43	0	24.3
2.44	0	0
2.45	0	0
2.46	0	0
2.47	0	0
