time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.38
0.04	0	28.69
0.05	0	27.75
0.06	0	27.53
0.07	0	26.73
0.08	0	26.12
0.09	0	25.91
0.1	0	25.36
0.11	0	27.09
0.12	0	32.74
0.13	0	38.17
0.14	0	40.75
0.15	0	42.51
0.16	0	44.68
0.17	0	46.77
0.18	0	47.78
0.19	0	48.1
0.2	0	47.91
0.21	0	46.78
0.22	0	45.13
0.23	0	42.45
0.24	0	38.17
0.25	0	34.37
0.26	0	31.76
0.27	0	29.27
0.28	0	26.6
0.29	0	24.53
0.3	0	25.81
0.31	0	27.1
0.32	0	27.26
0.33	0	26.49
0.34	0	25.5
0.35	0	24.73
0.36	0	24.31
0.37	0	25.22
0.38	0	25.78
0.39	0	26.22
0.4	0	25.76
0.41	0	24.71
0.42	0	24.19
0.43	0	24.85
0.44	0	26.14
0.45	0	26.38
0.46	0	26.2
0.47	0	25.79
0.48	0	25.93
0.49	0	26.7
0.5	0	27.54
0.51	0	27.96
0.52	0	27.46
0.53	0	26.85
0.54	0	26.74
0.55	0	26.84
0.56	0	26.69
0.57	0	26.56
0.58	0	26.64
0.59	0	25.88
0.6	0	24.26
0.61	0	29.93
0.62	0	37.62
0.63	0	42.51
0.64	0	46.03
0.65	0	48.95
0.66	0	52.22
0.67	0	55.71
0.68	0	57.4
0.69	0	60.02
0.7	269.68	67.69
0.71	270.33	73.25
0.72	270.04	75.04
0.73	266.5	74.82
0.74	261.77	73.85
0.75	259.47	73.01
0.76	257.98	72.52
0.77	257.83	72.12
0.78	257.57	71.83
0.79	257.68	71.69
0.8	258.28	71.62
0.81	258.78	71.47
0.82	258.73	71.1
0.83	258	70.24
0.84	252.9	68.53
0.85	244.63	65.69
0.86	240.02	61.38
0.87	0	55.54
0.88	0	50.51
0.89	0	49.62
0.9	0	51.98
0.91	0	54.63
0.92	0	52.65
0.93	0	44.62
0.94	0	31.39
0.95	0	24.45
0.96	0	34.88
0.97	0	54.16
0.98	0	63.53
0.99	0	67.62
1	232.75	73.91
1.01	225.62	78.9
1.02	218.98	81.23
1.03	214.33	81.35
1.04	212.64	81.46
1.05	209.75	81.39
1.06	207.31	80.69
1.07	204.25	79.7
1.08	198.01	77.59
1.09	0	74.17
1.1	0	73.13
1.11	0	71.89
1.12	0	65.99
1.13	0	54.95
1.14	0	37.12
1.15	0	29.67
1.16	0	27.98
1.17	0	32.23
1.18	0	53.52
1.19	0	63.39
1.2	0	65.85
1.21	0	64.37
1.22	0	61.3
1.23	0	60.81
1.24	225.59	67.46
1.25	218.95	72.23
1.26	213.66	73.94
1.27	210.19	73.97
1.28	206.98	73
1.29	205.32	70.1
1.3	0	63
1.31	0	49.29
1.32	0	35.36
1.33	0	27.78
1.34	0	23.99
1.35	0	23.27
1.36	0	26.2
1.37	0	27.71
1.38	0	27.01
1.39	0	26.26
1.4	0	26.64
1.41	0	27.16
1.42	0	41.99
1.43	0	61.03
1.44	0	74.46
1.45	208.72	81.1
1.46	205.19	82.96
1.47	201.03	83.77
1.48	198.5	84.42
1.49	196.97	84.35
1.5	195.78	83.9
1.51	195.77	83.25
1.52	196.21	82.72
1.53	196.07	82.27
1.54	196.68	82.09
1.55	197.67	82.31
1.56	198.42	82.36
1.57	198.6	82.31
1.58	198.42	82.06
1.59	198.16	81.69
1.6	197.56	81.16
1.61	196.76	80.22
1.62	195.49	78.93
1.63	193.9	77.25
1.64	191.95	75.17
1.65	190.88	73.27
1.66	192.12	72.17
1.67	194.87	71.98
1.68	198.7	72.3
1.69	201.16	71.74
1.7	202.18	68.97
1.71	199.04	64.12
1.72	0	59.26
1.73	0	56.45
1.74	0	55.69
1.75	0	55.01
1.76	0	53.88
1.77	0	52.32
1.78	0	50.83
1.79	0	50.1
1.8	0	50.98
1.81	0	53.31
1.82	0	55.76
1.83	0	57.61
1.84	0	59.36
1.85	0	60.86
1.86	0	61.59
1.87	0	62.22
1.88	0	61.62
1.89	0	59.29
1.9	0	57.93
1.91	0	59.79
1.92	0	60.08
1.93	0	59.04
1.94	0	57.52
1.95	0	57.93
1.96	211.82	63.59
1.97	207.71	67.56
1.98	204.71	69.34
1.99	203.24	70.36
2	202.08	71.17
2.01	200.58	71.85
2.02	199.32	73.54
2.03	200.39	77.25
2.04	194.61	79.51
2.05	189.99	80.29
2.06	189.25	80.73
2.07	188.51	80.89
2.08	187.76	80.92
2.09	187.06	80.68
2.1	185.9	80.09
2.11	185.24	79.37
2.12	185.03	78.54
2.13	184.49	77.49
2.14	183.06	76.17
2.15	181.16	74.59
2.16	180.07	72.83
2.17	180.52	71.06
2.18	180.1	69.55
2.19	182.3	68.16
2.2	186.75	66.59
2.21	193.13	64.54
2.22	200.7	62.78
2.23	209.1	61.85
2.24	219.03	61.2
2.25	0	59.52
2.26	0	56
2.27	0	49.23
2.28	0	39.51
2.29	0	37.37
2.3	0	38.88
2.31	0	39.32
2.32	0	39.08
2.33	0	38.39
2.34	0	37.42
2.35	0	35.71
2.36	0	0
2.37	0	0
2.38	0	0
?	?	?
