time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.92
0.04	0	29.87
0.05	0	31.61
0.06	0	34.8
0.07	0	37.06
0.08	0	37.91
0.09	0	39.03
0.1	0	39.99
0.11	0	40.87
0.12	0	44.49
0.13	0	47.28
0.14	0	47.46
0.15	0	51.87
0.16	0	65.72
0.17	250.67	74.4
0.18	248.65	78.28
0.19	247.74	80.15
0.2	248.42	81.37
0.21	248.91	82.46
0.22	249.85	83.65
0.23	251.19	84.8
0.24	253.09	85.63
0.25	255.18	86.17
0.26	255.77	85.94
0.27	254.14	84.15
0.28	0	80.96
0.29	0	76.51
0.3	0	70.37
0.31	0	62.24
0.32	0	53.36
0.33	0	58.37
0.34	0	62.02
0.35	0	65.51
0.36	0	70.39
0.37	0	74.75
0.38	0	77.58
0.39	0	78.09
0.4	0	77.19
0.41	0	76.96
0.42	0	76.9
0.43	0	75.64
0.44	0	74.34
0.45	0	72.5
0.46	0	68.59
0.47	266.33	66.24
0.48	262.18	73.16
0.49	253.43	78.03
0.5	246.4	79.66
0.51	241.85	80.9
0.52	238.01	82.47
0.53	234.7	83.83
0.54	231.53	84.6
0.55	228.56	84.58
0.56	225.86	83.26
0.57	222.81	79.93
0.58	216.85	73.98
0.59	211.29	66.59
0.6	0	59.85
0.61	0	54.55
0.62	0	51.86
0.63	0	53.36
0.64	223.49	62.2
0.65	222.12	71.49
0.66	221.24	76.92
0.67	222.6	78.83
0.68	223.78	78.59
0.69	224.16	77.6
0.7	224.83	76.45
0.71	225.77	75.46
0.72	226.62	74.69
0.73	227.62	73.99
0.74	229.17	73.54
0.75	231.04	73.09
0.76	232.43	72.66
0.77	233.34	72.38
0.78	234.32	72.04
0.79	235.78	71.67
0.8	236.65	71.3
0.81	235.99	70.44
0.82	234.48	68.72
0.83	0	67.9
0.84	0	69.39
0.85	0	70.31
0.86	0	71.44
0.87	0	72.04
0.88	0	71.05
0.89	241.06	69.88
0.9	234.78	71.95
0.91	227.13	74.69
0.92	221.75	75.13
0.93	216.72	73.66
0.94	211.98	70.96
0.95	207.89	66.7
0.96	0	60.84
0.97	0	54.12
0.98	0	49.31
0.99	0	47.25
1	0	45.21
1.01	0	44.55
1.02	0	45.11
1.03	0	45.57
1.04	0	46.83
1.05	0	48.44
1.06	0	49.48
1.07	0	49.64
1.08	0	49.58
1.09	0	54.01
1.1	231.89	67.65
1.11	224.71	75.46
1.12	215.86	79.45
1.13	212.82	81.29
1.14	212.16	81.71
1.15	210.81	81.32
1.16	209.2	80.61
1.17	208.45	79.99
1.18	208.26	79.49
1.19	207.7	78.96
1.2	205.92	78.18
1.21	203.71	76.97
1.22	200.56	75.44
1.23	195.52	73.03
1.24	191.66	68.11
1.25	0	59.51
1.26	0	45.88
1.27	0	31.48
1.28	0	28.05
1.29	0	31.44
1.3	0	49.08
1.31	0	59.5
1.32	0	65.16
1.33	0	69.99
1.34	0	72.37
1.35	0	75.15
1.36	0	76.74
1.37	0	75.55
1.38	0	73.59
1.39	0	73.25
1.4	0	71.98
1.41	0	69.24
1.42	0	65.34
1.43	0	59.4
1.44	0	51.31
1.45	0	38.35
1.46	0	28.68
1.47	0	29.65
1.48	0	32.52
1.49	0	41.18
1.5	0	50.79
1.51	0	54.38
1.52	0	53.84
1.53	0	53.12
1.54	0	52.99
1.55	0	52.77
1.56	0	58.86
1.57	203	68.68
1.58	202.41	73.96
1.59	202.23	75.48
1.6	201.96	75.11
1.61	200.75	74.45
1.62	199.43	74.06
1.63	197.31	73.76
1.64	194.62	73.04
1.65	192.19	72.03
1.66	189.83	70.98
1.67	186.43	70.03
1.68	183.13	69.37
1.69	177.85	68.65
1.7	173.56	67.53
1.71	172.37	66.23
1.72	172.71	65.27
1.73	166.95	64.31
1.74	163.41	62.81
1.75	158.72	61.04
1.76	155.03	59.26
1.77	0	59.14
1.78	0	58.57
1.79	0	58.09
1.8	0	57.65
1.81	0	57.09
1.82	0	56.35
1.83	0	56.5
1.84	0	57.16
1.85	0	57.04
1.86	0	56.51
1.87	0	55.52
1.88	0	53.76
1.89	0	51.54
1.9	0	50.38
1.91	0	49.96
1.92	0	48.29
1.93	0	46.8
1.94	0	47.03
1.95	0	46.55
1.96	0	44.34
1.97	0	43.67
1.98	0	44.09
1.99	0	44.12
2	0	44.1
2.01	0	42.3
2.02	0	41.06
2.03	0	0
2.04	0	0
?	?	?
