time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	39.44
0.05	0	39.55
0.06	0	37.95
0.07	0	37.29
0.08	0	36.92
0.09	0	36.57
0.1	0	37.71
0.11	0	41.31
0.12	0	48.05
0.13	0	61.3
0.14	0	72.69
0.15	187.43	78.61
0.16	187.7	81.41
0.17	188.86	82.89
0.18	189.84	83.3
0.19	191.75	83.15
0.2	195.38	83.22
0.21	199.8	83.55
0.22	204.36	83.92
0.23	208.51	84.26
0.24	211.69	84.41
0.25	213.64	84.09
0.26	214.55	83.3
0.27	214.54	82.52
0.28	213.71	81.71
0.29	212.55	80.65
0.3	211.78	79.82
0.31	210.66	79.31
0.32	208.94	78.81
0.33	207.29	76.94
0.34	204.66	71.95
0.35	198.15	66.17
0.36	192.87	64.27
0.37	189.84	63.38
0.38	186.78	61.96
0.39	0	60.8
0.4	0	66.18
0.41	0	71.53
0.42	212.18	72.15
0.43	209.89	74.99
0.44	209.03	78.08
0.45	209.88	79.63
0.46	211.2	80.37
0.47	212.17	80.78
0.48	212.71	81.01
0.49	213.46	81.59
0.5	214.08	82.46
0.51	213.21	82.32
0.52	211.62	81.67
0.53	210.5	81.62
0.54	209.34	81.66
0.55	208.46	81.6
0.56	208.26	82.26
0.57	206.78	82.84
0.58	205.6	81.84
0.59	206.12	77.16
0.6	195.43	67.09
0.61	0	59.45
0.62	0	57.26
0.63	0	62.5
0.64	0	70.9
0.65	209.28	74.83
0.66	208.72	78.5
0.67	208.31	80.82
0.68	207.26	80.69
0.69	204.27	78.03
0.7	197.03	72.73
0.71	186.34	65.27
0.72	0	58.33
0.73	0	56.85
0.74	185.13	59.24
0.75	188.58	62.74
0.76	193.17	66.6
0.77	195.77	69.65
0.78	196.81	71.3
0.79	196.83	71.73
0.8	195.27	71.28
0.81	192.42	70.1
0.82	188.98	67.87
0.83	187.18	64.29
0.84	0	59.43
0.85	0	55.22
0.86	0	54.87
0.87	0	64.14
0.88	0	74.54
0.89	0	80.56
0.9	0	82.36
0.91	0	82.22
0.92	0	82.06
0.93	0	79.82
0.94	0	74.01
0.95	0	69.39
0.96	219.67	76.71
0.97	216.26	82.5
0.98	210.51	83.3
0.99	206.21	81.7
1	203.29	79.28
1.01	201.31	75.14
1.02	196.73	67.45
1.03	0	54.2
1.04	0	38.02
1.05	0	46.7
1.06	0	61.96
1.07	0	68.21
1.08	0	69.36
1.09	213.71	72.7
1.1	204.97	74.95
1.11	199.69	75.06
1.12	197.59	74.18
1.13	195.62	71.65
1.14	195.18	69.96
1.15	194.55	69.75
1.16	193.72	69.71
1.17	193.67	69.9
1.18	194.23	71.72
1.19	194.23	74.27
1.2	193.24	75.49
1.21	191.47	76.28
1.22	189.22	77.01
1.23	186.17	77.59
1.24	181.81	78.12
1.25	175.95	78.7
1.26	169.71	79.16
1.27	164.17	79.42
1.28	158.9	79.69
1.29	154.43	79.99
1.3	150.93	80.12
1.31	147.54	80.15
1.32	143.98	79.41
1.33	143.31	77.47
1.34	144.23	75.83
1.35	145.09	74.16
1.36	0	72.27
1.37	0	69.96
1.38	0	66.77
1.39	220.53	63.44
1.4	219.39	60.4
1.41	218.22	58.49
1.42	0	54.22
1.43	0	44.58
1.44	0	36.03
1.45	0	34.73
1.46	0	34.11
1.47	0	34.06
1.48	0	33.77
1.49	0	34.63
1.5	0	39.06
1.51	0	48.7
1.52	0	53.03
1.53	0	49.62
1.54	0	50.48
1.55	190.77	58.42
1.56	190.05	62.95
1.57	183.23	63.77
1.58	178.16	63.6
1.59	176.28	63.81
1.6	175.17	64.21
1.61	173.85	64.5
1.62	172.51	64.58
1.63	171.92	64.9
1.64	171.99	67.11
1.65	172.72	69.96
1.66	174.53	71.32
1.67	177.17	71.92
1.68	179.31	72.36
1.69	180.56	72.58
1.7	181.52	72.67
1.71	182.29	72.68
1.72	183.14	72.22
1.73	183.5	71.65
1.74	183.53	70.92
1.75	183.66	69.93
1.76	183.99	68.86
1.77	183.77	67.75
1.78	183.2	66.48
1.79	181.99	64.77
1.8	186.63	63.46
1.81	0	65.74
1.82	0	69.98
1.83	0	73.18
1.84	0	76.19
1.85	0	78.26
1.86	0	79.25
1.87	0	79.65
1.88	0	79.81
1.89	0	79.42
1.9	0	78.92
1.91	0	78.45
1.92	0	78.58
1.93	0	77.62
1.94	0	76.07
1.95	0	74.44
1.96	0	70.39
1.97	0	71.56
1.98	0	78.57
1.99	192.22	81.27
2	186.32	81.16
2.01	179.03	81.1
2.02	172.56	81.04
2.03	166.31	80.46
2.04	160.28	79.19
2.05	155.06	77.52
2.06	149.96	75.95
2.07	145.12	74.71
2.08	143.67	73.98
2.09	142.35	73.82
2.1	141.25	73.37
2.11	140.64	72.45
2.12	139.71	71.39
2.13	138.11	70.38
2.14	136.54	68.87
2.15	0	66.96
2.16	0	64.28
2.17	0	61.51
2.18	0	59.07
2.19	0	54.88
2.2	0	55.97
2.21	0	57.19
2.22	0	53.31
2.23	0	51.12
2.24	0	50.25
2.25	0	47.6
2.26	0	44.79
2.27	0	43.54
2.28	0	42.31
2.29	0	40.35
2.3	0	38.84
2.31	0	0
2.32	0	0
2.33	0	0
?	?	?
