time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	30.45
0.05	0	30.12
0.06	0	31.89
0.07	0	33.33
0.08	0	33.86
0.09	0	33.14
0.1	0	34.72
0.11	0	41.24
0.12	0	50.23
0.13	0	64.96
0.14	0	74.99
0.15	0	78.59
0.16	0	77.93
0.17	0	74.42
0.18	0	67.26
0.19	0	56.89
0.2	0	50.17
0.21	0	48.88
0.22	0	52.88
0.23	0	54.32
0.24	0	55.78
0.25	224.17	59.65
0.26	227.38	63.16
0.27	227.19	65.88
0.28	222.62	67.83
0.29	222.49	69.93
0.3	226.17	74.76
0.31	226.55	79.12
0.32	229.82	80.95
0.33	232.37	81.18
0.34	235.25	80.88
0.35	238.35	80.84
0.36	242.34	80.83
0.37	246.56	80.76
0.38	250.35	81.18
0.39	253.09	81.85
0.4	254.93	82.42
0.41	257.23	82.33
0.42	259.03	81.66
0.43	260.25	80.48
0.44	262.26	78.56
0.45	264.36	75.61
0.46	256.99	71.54
0.47	248.36	67.78
0.48	0	69.73
0.49	0	74.26
0.5	0	75.03
0.51	0	74.82
0.52	0	74.94
0.53	0	74.97
0.54	0	74.59
0.55	0	75.08
0.56	0	75.74
0.57	0	75.04
0.58	0	72.13
0.59	0	67.18
0.6	0	65.19
0.61	249.92	71.17
0.62	239.28	75.14
0.63	227.37	76.33
0.64	219.01	76.47
0.65	212.64	74.64
0.66	203.13	69.77
0.67	205.15	63.78
0.68	206.65	62.19
0.69	204.77	61.64
0.7	200.45	60.58
0.71	194.56	60.87
0.72	201.5	67.14
0.73	200.93	73.91
0.74	197.44	77.08
0.75	193.89	77.67
0.76	193.65	77.17
0.77	192.76	76.13
0.78	189.2	73.07
0.79	0	65.93
0.8	0	52.06
0.81	0	37.61
0.82	0	33.58
0.83	0	36.82
0.84	0	45.65
0.85	0	46.32
0.86	0	38.96
0.87	0	34.98
0.88	0	51.53
0.89	0	60.56
0.9	0	64.47
0.91	0	63.79
0.92	0	57.45
0.93	0	47.33
0.94	0	37.34
0.95	0	35.84
0.96	0	51.2
0.97	0	64.12
0.98	0	70.99
0.99	0	73.84
1	0	76.1
1.01	205.3	77.11
1.02	210.51	78.12
1.03	211.63	78.57
1.04	212.25	78.93
1.05	213.01	79.32
1.06	211.93	78.8
1.07	210.75	76.52
1.08	210.51	72.73
1.09	213.86	67.44
1.1	0	59.31
1.11	0	52.94
1.12	0	51.22
1.13	0	48.82
1.14	0	47.33
1.15	0	54.64
1.16	0	58.58
1.17	0	62.21
1.18	193.56	67.93
1.19	185.05	69.62
1.2	180.16	68.23
1.21	178.62	67.36
1.22	0	68.83
1.23	0	71.05
1.24	0	71.83
1.25	0	71.3
1.26	0	70.67
1.27	0	70.36
1.28	0	69.05
1.29	0	66.82
1.3	0	64.83
1.31	0	61.56
1.32	0	57.01
1.33	0	52.72
1.34	0	50.03
1.35	0	46.88
1.36	0	44.04
1.37	0	43.49
1.38	0	43.29
1.39	0	43.45
1.4	0	42.97
1.41	0	41.62
1.42	0	41.85
1.43	0	42.64
1.44	0	41.84
1.45	0	39.32
1.46	0	34.8
1.47	0	32.85
1.48	0	33.81
1.49	0	33.52
1.5	0	33.64
1.51	0	34.78
1.52	0	34.03
1.53	0	31.87
1.54	0	30.58
1.55	0	0
1.56	0	0
1.57	0	0
