time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	31.48
0.05	0	31.98
0.06	0	32.94
0.07	0	31.96
0.08	0	31.05
0.09	0	31.78
0.1	0	31.52
0.11	0	30.65
0.12	0	31.12
0.13	0	39.77
0.14	0	49.3
0.15	0	52.56
0.16	0	55.07
0.17	0	58.09
0.18	0	58.39
0.19	0	56.82
0.2	0	54.82
0.21	0	55.21
0.22	278.21	68.31
0.23	267.84	79.89
0.24	259.41	85.1
0.25	254.4	86.14
0.26	250.42	86.21
0.27	247.38	86.59
0.28	245.05	86.8
0.29	242.59	86.68
0.3	240.62	86.25
0.31	239.89	85.65
0.32	239.96	85.28
0.33	240.07	85.4
0.34	240.37	85.96
0.35	242.57	86.67
0.36	246.15	86.65
0.37	249.13	85.3
0.38	249.91	83.2
0.39	249.09	81.27
0.4	248.08	79.98
0.41	246.58	79.39
0.42	245.28	79.65
0.43	245.22	80.59
0.44	245.87	81.49
0.45	245.98	81.85
0.46	245.04	81.66
0.47	243.89	81.05
0.48	242.69	80.13
0.49	241.31	78.51
0.5	239.84	75.06
0.51	236.7	68.13
0.52	0	56.9
0.53	0	44.5
0.54	0	32.97
0.55	0	30.56
0.56	0	30.25
0.57	0	40.46
0.58	0	59.9
0.59	0	68.7
0.6	0	69.17
0.61	0	66.32
0.62	0	65.77
0.63	0	66.11
0.64	253.35	73.26
0.65	247.77	78.93
0.66	243.8	81
0.67	240.95	80.83
0.68	235.63	78.75
0.69	226.85	74.55
0.7	0	70.89
0.71	0	71.04
0.72	0	73.08
0.73	0	74.54
0.74	0	75.6
0.75	0	77.29
0.76	0	79.91
0.77	0	82.03
0.78	0	80.99
0.79	0	79.08
0.8	0	78.11
0.81	0	78.2
0.82	0	78.67
0.83	0	78.43
0.84	0	74.73
0.85	0	69.83
0.86	263.81	75.32
0.87	261	79.96
0.88	259	82.22
0.89	258.43	83.69
0.9	258.57	84.4
0.91	258.82	84.41
0.92	259.22	83.89
0.93	259.07	83.05
0.94	258.46	82.12
0.95	257.07	81.42
0.96	254.74	81.17
0.97	251.97	81.49
0.98	251.88	81.94
0.99	246.97	80.76
1	237.69	78.51
1.01	231.04	77.27
1.02	225.81	76.29
1.03	219.68	75.35
1.04	214.17	74.59
1.05	206.85	73.58
1.06	204.04	71.84
1.07	200.34	69.4
1.08	198	66.78
1.09	197.6	64.82
1.1	198.21	64.42
1.11	198.66	65.35
1.12	199.13	66.15
1.13	192.59	65.43
1.14	189.63	65.26
1.15	193.99	65.92
1.16	194.63	66.15
1.17	193.14	65.97
1.18	190.46	65.62
1.19	190.41	65.85
1.2	195.12	67.29
1.21	201.51	68.77
1.22	205.62	69.19
1.23	196.67	70.06
1.24	190.09	71.91
1.25	186.13	72.76
1.26	180.51	72.02
1.27	174.33	70.31
1.28	170.27	69.64
1.29	165.7	69.82
1.3	163.61	70.04
1.31	162.19	70.17
1.32	161.46	70.12
1.33	160.64	70.31
1.34	160.01	71.12
1.35	158.43	71.64
1.36	156.21	70.75
1.37	155.77	68.25
1.38	0	64.29
1.39	0	60.25
1.4	0	58.22
1.41	0	58.48
1.42	0	58.12
1.43	0	55.82
1.44	0	53.43
1.45	0	53.87
1.46	0	53.26
1.47	0	50.98
1.48	0	49.31
1.49	0	48.38
1.5	0	46.84
1.51	0	47.32
1.52	0	46.87
1.53	0	46.58
1.54	0	47.69
1.55	0	0
1.56	0	0
1.57	0	0
