time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.35
0.05	0	32.77
0.06	0	33.37
0.07	0	34.64
0.08	0	35.81
0.09	0	36.11
0.1	0	36.42
0.11	0	40.57
0.12	0	52.56
0.13	218.53	65.26
0.14	215.75	72.62
0.15	209.67	75.82
0.16	205.05	77
0.17	203.61	77.32
0.18	204.17	77.49
0.19	205.01	77.89
0.2	205.69	78.36
0.21	206.62	78.58
0.22	206.27	76.27
0.23	201.51	69.82
0.24	193.97	62.09
0.25	190.3	55.51
0.26	0	50.65
0.27	0	62.16
0.28	0	69.9
0.29	0	71.33
0.3	225.57	74.51
0.31	221.84	79.35
0.32	217.33	81.28
0.33	215.98	81.71
0.34	216.11	82.05
0.35	216.73	82.97
0.36	216.71	84.24
0.37	216.27	85.39
0.38	216.29	86.18
0.39	217.05	86.52
0.4	218.88	86.45
0.41	221.59	85.93
0.42	225.19	84.89
0.43	229.44	83.29
0.44	233.53	81.33
0.45	236.25	78.92
0.46	236.78	75.31
0.47	233.26	69.96
0.48	0	67.99
0.49	0	69.82
0.5	0	70.08
0.51	0	69.5
0.52	0	70.31
0.53	0	72.16
0.54	0	72.61
0.55	0	72.38
0.56	0	69.21
0.57	0	60.41
0.58	0	47.54
0.59	0	44.88
0.6	0	53.22
0.61	238.96	64.19
0.62	234.26	70.09
0.63	227.27	71.81
0.64	223.27	72.26
0.65	220.81	73.37
0.66	219.51	73.97
0.67	219.06	73.92
0.68	218.43	73.88
0.69	217.53	73.83
0.7	216.86	73.76
0.71	216.85	73.81
0.72	217.22	74.09
0.73	217.67	74.47
0.74	218.19	74.52
0.75	218.59	73.41
0.76	217.56	69.66
0.77	0	62.65
0.78	0	54.94
0.79	0	46.39
0.8	0	38.49
0.81	0	48.93
0.82	0	57.44
0.83	0	61.53
0.84	0	63.23
0.85	0	63.16
0.86	0	64.37
0.87	0	65.2
0.88	0	66.74
0.89	0	69.1
0.9	0	70.13
0.91	0	69.51
0.92	0	66.87
0.93	0	63.26
0.94	248.24	71.02
0.95	243	76.91
0.96	232.63	76.9
0.97	224.49	73.62
0.98	219.5	70.59
0.99	215.81	69.84
1	212.73	69.67
1.01	210.03	69.33
1.02	207.66	69.02
1.03	205.55	68.76
1.04	203.81	68.81
1.05	202.5	69.76
1.06	202.4	71.32
1.07	202.51	73.2
1.08	201.7	74.9
1.09	200.58	75.85
1.1	199.03	75.8
1.11	196.95	75.13
1.12	195.28	74.6
1.13	194.02	74.28
1.14	193.33	74.1
1.15	193.17	73.89
1.16	193.03	73.38
1.17	192.97	72.51
1.18	193.57	71.16
1.19	195.53	68.96
1.2	198.74	64.59
1.21	0	55.99
1.22	0	43.16
1.23	0	34.45
1.24	0	33.14
1.25	0	32.28
1.26	0	49.79
1.27	0	64.34
1.28	0	68.61
1.29	0	64.89
1.3	208.36	64.07
1.31	203.21	70.23
1.32	197.6	72.49
1.33	195.68	72.7
1.34	194.51	72.09
1.35	193.38	71.06
1.36	192.32	70.14
1.37	191.83	69.97
1.38	191.82	70.2
1.39	191.83	70.48
1.4	191.74	70.7
1.41	191.22	70.54
1.42	190.74	69.57
1.43	190.23	67.08
1.44	190.39	64.93
1.45	190.06	64.54
1.46	189.67	64.41
1.47	190.95	64.88
1.48	192.3	67.19
1.49	192.22	68.69
1.5	191.72	68.36
1.51	191.82	67.81
1.52	193.2	67.46
1.53	195.5	67.07
1.54	197.91	66.34
1.55	201.6	65.73
1.56	207.34	65.31
1.57	212.67	64.6
1.58	216.75	63.03
1.59	0	59.14
1.6	0	55.78
1.61	0	52.77
1.62	0	43.84
1.63	0	34.79
1.64	0	33.11
1.65	0	33.4
1.66	0	33.19
1.67	0	32.85
1.68	0	0
1.69	0	0
1.7	0	0
?	?	?
