time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.27
0.05	0	27.49
0.06	0	26.61
0.07	0	25.45
0.08	0	25.27
0.09	0	25.91
0.1	0	27.39
0.11	0	35.35
0.12	0	48
0.13	0	58.87
0.14	226.3	65.21
0.15	227.81	68.47
0.16	229.55	70.26
0.17	231.15	71.42
0.18	233.93	72.21
0.19	237.18	72.75
0.2	239.85	74.35
0.21	246.73	77.71
0.22	248.41	80.03
0.23	247.66	81.12
0.24	248.56	81.65
0.25	249.5	81.76
0.26	250.75	81.79
0.27	253.37	81.81
0.28	254.48	81.53
0.29	255.23	80.58
0.3	253.67	78.04
0.31	258.45	74.91
0.32	262.32	74.04
0.33	264.86	73.83
0.34	265.75	73.58
0.35	265.44	73.4
0.36	263.48	73.03
0.37	257.98	72.06
0.38	247.19	70.09
0.39	0	70.22
0.4	0	74.87
0.41	0	77.64
0.42	213.03	79.41
0.43	211.57	81.65
0.44	214.17	82.4
0.45	0	79.95
0.46	0	76.57
0.47	0	72.09
0.48	0	67.65
0.49	256.45	73.47
0.5	258.81	79.24
0.51	249.88	80.86
0.52	239.88	78.86
0.53	214.67	72.93
0.54	207.76	68.3
0.55	223.88	74.67
0.56	231.17	78.95
0.57	232.12	81.38
0.58	231.41	83.09
0.59	229.77	83.93
0.6	224.95	83.85
0.61	221.38	83.22
0.62	218.11	82.52
0.63	217.13	82.07
0.64	218.14	82.03
0.65	219.91	82.08
0.66	220.63	82.08
0.67	223.4	82.03
0.68	224.1	81.82
0.69	221.35	80.9
0.7	220.66	78.66
0.71	219.76	74.31
0.72	217.42	68.8
0.73	0	70
0.74	0	73.52
0.75	0	75.62
0.76	0	77.76
0.77	0	79.6
0.78	0	80.21
0.79	0	75.41
0.8	0	63.6
0.81	0	56.8
0.82	0	59.44
0.83	0	59.15
0.84	0	58.98
0.85	0	55.49
0.86	0	58.51
0.87	222.26	65.55
0.88	228.19	69.87
0.89	230.89	72.58
0.9	234.04	74.5
0.91	229.26	75.81
0.92	226.35	77.09
0.93	223	77.95
0.94	220.37	78.17
0.95	218.11	78.12
0.96	216.82	78.12
0.97	214.49	78.07
0.98	210.63	77.73
0.99	206.07	77.14
1	203.01	76.82
1.01	197.23	76.2
1.02	196.66	74.94
1.03	192.58	74.04
1.04	195.21	73.32
1.05	196.89	72.3
1.06	193.23	70.71
1.07	193.37	67.87
1.08	180.51	62.98
1.09	0	59.56
1.1	0	63.55
1.11	0	66.69
1.12	0	67.86
1.13	0	68.81
1.14	0	69.35
1.15	0	69.05
1.16	0	67.62
1.17	0	65.27
1.18	0	62.48
1.19	0	59.36
1.2	0	55.77
1.21	0	52.25
1.22	0	50.09
1.23	0	49.07
1.24	0	48.29
1.25	0	46.34
1.26	0	45.51
1.27	0	44.44
1.28	0	42.77
1.29	0	41.71
1.3	0	44.52
1.31	0	52.99
1.32	0	54.15
1.33	0	46.77
1.34	0	35.24
1.35	0	32.86
1.36	0	31.19
1.37	0	30.49
1.38	0	31.23
1.39	0	30.96
1.4	0	29.46
1.41	0	28.82
1.42	0	28.52
1.43	0	0
1.44	0	0
1.45	0	0
