time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.08
0.04	0	28.57
0.05	0	29.08
0.06	0	28.49
0.07	0	27.79
0.08	0	27.32
0.09	0	27.34
0.1	0	27.65
0.11	0	27.1
0.12	0	40.74
0.13	0	59.96
0.14	0	70.46
0.15	0	75.2
0.16	0	76.77
0.17	0	77.12
0.18	242.69	77.72
0.19	247.15	78.1
0.2	251.51	77.55
0.21	254.82	76.57
0.22	256.71	75.34
0.23	255.81	72.96
0.24	249.49	68.31
0.25	0	62.83
0.26	0	56.32
0.27	0	48.7
0.28	0	52.89
0.29	0	64.8
0.3	0	73.89
0.31	0	78.65
0.32	0	78.83
0.33	0	74.86
0.34	0	68.87
0.35	0	64.41
0.36	241.4	64.76
0.37	239.55	66.2
0.38	235.76	65.84
0.39	232.54	64.25
0.4	0	65.72
0.41	0	69.68
0.42	0	71.56
0.43	0	72.02
0.44	0	72.81
0.45	0	72.86
0.46	0	73.17
0.47	0	74.5
0.48	0	76.2
0.49	0	76.97
0.5	0	74.06
0.51	0	66.68
0.52	0	53.83
0.53	0	46.92
0.54	0	64.71
0.55	0	73.05
0.56	0	73.98
0.57	0	72.76
0.58	219.14	76.6
0.59	217.2	78.11
0.6	215.8	77.92
0.61	214.12	77.8
0.62	212.85	77.54
0.63	211.25	76.96
0.64	209.72	75.97
0.65	209.39	73.6
0.66	212.44	68.51
0.67	0	59.88
0.68	0	51.63
0.69	0	46.66
0.7	0	42.36
0.71	0	36.48
0.72	0	43.4
0.73	0	59.04
0.74	0	66.35
0.75	0	67.81
0.76	0	69.09
0.77	190.83	73
0.78	190.66	74.61
0.79	193.06	75.15
0.8	194.15	76.44
0.81	191.38	78.18
0.82	189.86	79.74
0.83	189.25	80.79
0.84	189.86	81.44
0.85	189.75	81.93
0.86	190.46	82.49
0.87	190.37	82.8
0.88	189.13	82.43
0.89	187.07	81.89
0.9	186.47	81.72
0.91	186.57	81.76
0.92	187.59	81.91
0.93	189.9	82.09
0.94	192.56	82.1
0.95	194.36	81.41
0.96	197.08	78.79
0.97	198.67	72.76
0.98	0	62.59
0.99	0	52.27
1	0	49.5
1.01	0	48.25
1.02	0	46.05
1.03	0	45.52
1.04	0	46.61
1.05	0	48.29
1.06	0	50.7
1.07	0	62.93
1.08	0	74.84
1.09	186.9	79.56
1.1	193.47	81.38
1.11	189.79	82.64
1.12	188.86	83.37
1.13	187.3	83.62
1.14	186.12	83.64
1.15	185.66	83.58
1.16	185.16	83.35
1.17	184.96	82.95
1.18	185.59	82.16
1.19	187.29	80.65
1.2	186.26	78.62
1.21	176.26	74.25
1.22	178.58	65.98
1.23	178.35	65.01
1.24	179.94	70.86
1.25	178.73	74.93
1.26	177.24	77.77
1.27	174.58	79.45
1.28	172.35	79.38
1.29	170.98	78.02
1.3	168.95	74.77
1.31	166.13	68.62
1.32	0	66.89
1.33	0	68.09
1.34	0	67.33
1.35	0	68.65
1.36	0	70.58
1.37	0	68.29
1.38	0	63.76
1.39	167.01	64.69
1.4	165.3	66.25
1.41	164.05	64.66
1.42	169.68	62.73
1.43	170.56	62.64
1.44	168.77	62.38
1.45	168.47	62.66
1.46	171.6	65.97
1.47	168.17	69.79
1.48	166.55	72.29
1.49	165.5	73.85
1.5	165.46	74.61
1.51	165.07	75.14
1.52	166.34	75.81
1.53	167.62	76.42
1.54	169.93	77.01
1.55	170.68	77.54
1.56	173.09	77.91
1.57	174.53	77.58
1.58	177	75.87
1.59	180.03	72.16
1.6	185.34	66.24
1.61	0	64.86
1.62	0	69.58
1.63	0	71.31
1.64	0	69.19
1.65	0	66.6
1.66	0	67.52
1.67	0	68.57
1.68	0	69.14
1.69	0	70.53
1.7	0	70.53
1.71	0	66.75
1.72	0	57.77
1.73	0	51.31
1.74	0	60.58
1.75	187.62	65.33
1.76	185.28	67.07
1.77	175.62	67.87
1.78	173.28	68.22
1.79	171.49	68.11
1.8	171.34	67.39
1.81	173.87	66.25
1.82	175.98	64.84
1.83	179.6	63.25
1.84	180.99	61.34
1.85	179.79	59.34
1.86	0	57.59
1.87	0	55.51
1.88	0	53.78
1.89	0	52.55
1.9	0	52.72
1.91	0	55.32
1.92	0	59.81
1.93	187.23	64.31
1.94	180.13	67.02
1.95	178.43	67.94
1.96	175.88	67.87
1.97	173.06	67.4
1.98	170.96	67.05
1.99	168.66	67.21
2	168.66	67.79
2.01	167.13	68.27
2.02	165.72	68.61
2.03	164.67	68.81
2.04	162	68.87
2.05	160.98	68.79
2.06	160.8	68.57
2.07	157.97	68.4
2.08	156.08	68.22
2.09	155.48	67.75
2.1	153.72	67.14
2.11	150.09	66.94
2.12	148.53	67.37
2.13	150.27	67.89
2.14	148.52	67.89
2.15	146.55	67.44
2.16	146.56	66.96
2.17	148.9	66.78
2.18	148.96	66.12
2.19	150.84	64.63
2.2	155.43	61.54
2.21	156.55	57.21
2.22	0	53.58
2.23	0	49.82
2.24	0	47.46
2.25	0	46.11
2.26	0	42.93
2.27	0	41.18
2.28	0	41.14
2.29	0	41.34
2.3	0	39.97
2.31	0	37.73
2.32	0	35.87
2.33	0	34.26
2.34	0	33.52
2.35	0	32.92
2.36	0	31.71
2.37	0	30.83
2.38	0	30.64
2.39	0	0
2.4	0	0
2.41	0	0
?	?	?
