time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	28.41
0.05	0	29.38
0.06	0	30.38
0.07	0	30.42
0.08	0	30.66
0.09	0	29.91
0.1	0	29.05
0.11	0	28.63
0.12	0	30.54
0.13	0	42.31
0.14	0	51.74
0.15	0	59.7
0.16	0	68.75
0.17	0	71.29
0.18	264.78	73.11
0.19	266.54	76.77
0.2	260.91	77.5
0.21	252.76	75.27
0.22	245.8	71.45
0.23	0	69.96
0.24	0	71.68
0.25	0	72.68
0.26	0	72.54
0.27	0	72.41
0.28	0	72.92
0.29	0	73.14
0.3	0	71.17
0.31	0	69.74
0.32	268.32	73.28
0.33	249.8	75.05
0.34	232.66	75.33
0.35	220.56	74.52
0.36	210.82	72.22
0.37	197.44	69.02
0.38	0	68.3
0.39	0	68.53
0.4	0	67.32
0.41	0	63.4
0.42	0	54.88
0.43	0	44.64
0.44	0	38
0.45	0	43.84
0.46	0	50.76
0.47	0	55.48
0.48	0	65.04
0.49	236.41	74.49
0.5	207.85	78.66
0.51	196.64	79.57
0.52	191.98	78.27
0.53	186.37	73.98
0.54	0	65.61
0.55	0	51.66
0.56	0	34.93
0.57	0	37.03
0.58	0	53.48
0.59	0	65.77
0.6	0	71.48
0.61	0	72.3
0.62	0	70.92
0.63	0	68.17
0.64	0	70.24
0.65	317.61	77.14
0.66	312.29	80.11
0.67	304.07	80.5
0.68	305.65	79.99
0.69	308.32	78.77
0.7	312.17	77.2
0.71	311.51	75.56
0.72	306.34	73.3
0.73	290.89	69.09
0.74	0	61.63
0.75	0	54.63
0.76	0	54.61
0.77	0	56.02
0.78	0	57.4
0.79	0	58.55
0.8	0	58.9
0.81	0	58.07
0.82	0	61.28
0.83	311.48	71.18
0.84	274.22	76.42
0.85	259.24	78.63
0.86	246.27	79.02
0.87	232.08	78.37
0.88	220.24	77.72
0.89	206.54	77.39
0.9	204.26	77.4
0.91	199.67	77.52
0.92	193.19	77.28
0.93	188.78	76.9
0.94	186.67	76.75
0.95	183.81	76.89
0.96	181.2	76.93
0.97	180.01	76.92
0.98	179.86	77.04
0.99	180.6	77.05
1	180.79	76.61
1.01	181.4	75.81
1.02	185.25	75.32
1.03	181.88	75.05
1.04	181.11	74.38
1.05	181.08	73.61
1.06	183.77	72.87
1.07	186.38	72.19
1.08	187.68	72.14
1.09	187.2	72.67
1.1	186.67	73.17
1.11	185.52	73.24
1.12	183.3	72.16
1.13	180.69	68.43
1.14	0	60.32
1.15	0	46.46
1.16	0	35.15
1.17	0	47.93
1.18	0	59.07
1.19	0	65.21
1.2	0	70.22
1.21	0	72.58
1.22	0	72.04
1.23	0	69.31
1.24	0	67.18
1.25	0	65.35
1.26	0	64.51
1.27	247.49	72.64
1.28	232.51	78.37
1.29	225.53	80.34
1.3	221.38	80.9
1.31	216.77	81.29
1.32	214.18	81.75
1.33	212	81.95
1.34	212.49	81.92
1.35	211.53	81.62
1.36	209.3	80.96
1.37	206.8	79.95
1.38	204.63	78.96
1.39	204.5	78.44
1.4	205.79	77.85
1.41	205.82	77.11
1.42	205.81	76.33
1.43	205.25	75.45
1.44	203.88	74.51
1.45	203.02	73.1
1.46	201.29	71
1.47	202.05	69.51
1.48	202.54	69.1
1.49	201.29	68.17
1.5	196.76	65.53
1.51	196.76	62.41
1.52	193.83	61.14
1.53	190.49	59.92
1.54	0	57.4
1.55	0	52.85
1.56	0	52.29
1.57	0	58.63
1.58	0	63.25
1.59	0	64.35
1.6	0	64.37
1.61	0	64.98
1.62	0	65.52
1.63	0	65.03
1.64	0	68.82
1.65	0	78.15
1.66	231.58	83.18
1.67	218.32	84.12
1.68	226.23	81.83
1.69	214.57	77.61
1.7	209.62	79.71
1.71	214.75	82.74
1.72	217.14	82.26
1.73	215.89	80.18
1.74	234.04	75.84
1.75	0	72.63
1.76	0	71.99
1.77	0	70.02
1.78	0	67.54
1.79	224.01	63.69
1.8	0	62.03
1.81	0	64.5
1.82	0	65.75
1.83	0	66.76
1.84	0	67.27
1.85	0	66.28
1.86	0	66.56
1.87	0	66.96
1.88	0	66.68
1.89	0	66.22
1.9	0	64.62
1.91	0	61.97
1.92	0	67.16
1.93	200.06	75.13
1.94	197.11	79.16
1.95	193.51	80.69
1.96	191.25	81.36
1.97	190.85	82.05
1.98	189.4	82.98
1.99	188.67	83.88
2	186.72	84.37
2.01	183.4	84.05
2.02	180.76	82.99
2.03	180.05	81.94
2.04	181.14	81.04
2.05	179.98	79.72
2.06	180.1	77.82
2.07	177.21	75.23
2.08	174.76	71.08
2.09	0	63.71
2.1	0	51.48
2.11	0	45.39
2.12	0	48.03
2.13	0	57.62
2.14	0	62.89
2.15	0	66.41
2.16	0	68.87
2.17	0	69.02
2.18	0	69.68
2.19	0	70.09
2.2	0	68.45
2.21	0	66.09
2.22	0	64.45
2.23	0	63.44
2.24	0	60.24
2.25	0	59.63
2.26	197.86	62.84
2.27	187.85	63.66
2.28	184.83	61.98
2.29	179.54	58.85
2.3	0	56.59
2.31	0	55.3
2.32	0	54.61
2.33	0	54.04
2.34	0	53.47
2.35	0	52.89
2.36	0	52.24
2.37	0	50.86
2.38	0	47.4
2.39	0	42.92
2.4	0	39.5
2.41	0	38.82
2.42	0	38.36
2.43	0	38.23
2.44	0	38.04
2.45	0	37.3
2.46	0	37.8
2.47	0	38.07
2.48	0	0
2.49	0	0
2.5	0	0
