time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.63
0.04	0	27.33
0.05	0	26.99
0.06	0	26.39
0.07	0	26.42
0.08	0	27.24
0.09	0	27.82
0.1	0	27.89
0.11	0	28.58
0.12	0	31.91
0.13	0	34.11
0.14	0	37.54
0.15	0	37.45
0.16	0	37.43
0.17	0	38.07
0.18	0	32.47
0.19	0	27.75
0.2	0	32.55
0.21	0	50.53
0.22	0	61.24
0.23	0	64.43
0.24	0	63.95
0.25	0	64.42
0.26	0	68.13
0.27	0	69.63
0.28	0	69.02
0.29	0	69.54
0.3	263.62	72.24
0.31	267.48	76.65
0.32	248.4	80.4
0.33	245.08	82.51
0.34	246.37	82.8
0.35	246.99	82.36
0.36	246.72	81.7
0.37	245.78	80.79
0.38	242.77	79.65
0.39	237.04	77.82
0.4	0	74.98
0.41	0	71.37
0.42	0	65.69
0.43	0	58.96
0.44	0	56.87
0.45	0	58.49
0.46	0	58.12
0.47	0	58.87
0.48	0	60.64
0.49	0	62
0.5	0	63.19
0.51	0	63.91
0.52	0	65.67
0.53	0	68.28
0.54	0	69.77
0.55	0	68.32
0.56	0	67.97
0.57	253.65	72.37
0.58	248.95	74.57
0.59	241.5	74
0.6	236.44	72.77
0.61	232.66	71.61
0.62	230.59	70.09
0.63	227.77	68.21
0.64	226.35	67.01
0.65	226.23	66.73
0.66	226.69	66.79
0.67	227.02	66.41
0.68	226.69	65.58
0.69	225.46	64.71
0.7	227.77	63.49
0.71	242.93	62.68
0.72	0	63.99
0.73	0	64.79
0.74	0	64.8
0.75	249.65	66.43
0.76	254.71	69.92
0.77	251.81	72.9
0.78	237.45	74.65
0.79	225.97	74.54
0.8	218.46	70.65
0.81	202.89	64.85
0.82	196.86	63.69
0.83	199.32	67.65
0.84	207.6	73.36
0.85	208.96	76.94
0.86	208.49	78.69
0.87	208.81	80.08
0.88	205.02	82.9
0.89	202.89	84.98
0.9	202.36	85.18
0.91	200.75	84.29
0.92	199.69	83.86
0.93	198.54	83.64
0.94	198.83	82.2
0.95	208.43	79
0.96	211.48	76.97
0.97	211.53	75.37
0.98	212.7	70.46
0.99	0	59.91
1	0	43.65
1.01	0	46.58
1.02	0	61.7
1.03	0	66.83
1.04	0	65.52
1.05	0	64.34
1.06	0	65.67
1.07	0	66.94
1.08	0	68.51
1.09	243.16	72.14
1.1	234.07	76.3
1.11	229.63	79.07
1.12	225.16	79.87
1.13	222.09	79.61
1.14	219.55	79.12
1.15	216.34	78.56
1.16	213.03	77.74
1.17	207.5	76.04
1.18	198.3	72.45
1.19	0	68.47
1.2	0	67.23
1.21	0	63.6
1.22	0	56.57
1.23	0	52.83
1.24	0	59.95
1.25	0	64.97
1.26	0	68.84
1.27	207.69	72.81
1.28	199.95	77.48
1.29	197.85	79.94
1.3	198.79	80.37
1.31	199.63	80.64
1.32	200.64	80.7
1.33	201.84	80.16
1.34	202.78	79.46
1.35	204.01	78.87
1.36	205.94	78.49
1.37	207.55	78.11
1.38	207.53	76.49
1.39	207.09	71.67
1.4	211.12	64.55
1.41	213	62.44
1.42	213.14	62.26
1.43	212.76	61.93
1.44	211.14	61.64
1.45	209.47	61.53
1.46	208.32	61.81
1.47	206.26	64.19
1.48	201.68	69.96
1.49	201.36	74.97
1.5	200.33	78.07
1.51	198.06	79.79
1.52	196.87	80.74
1.53	196.16	81.23
1.54	194.59	81.32
1.55	192.58	81.33
1.56	191.24	81.53
1.57	189.24	81.25
1.58	0	79.14
1.59	0	75.08
1.6	0	70.78
1.61	0	63.87
1.62	0	54.07
1.63	0	48.42
1.64	0	53.32
1.65	0	62.05
1.66	0	63.53
1.67	0	64.08
1.68	0	66.94
1.69	0	67.77
1.7	0	67.55
1.71	0	66.75
1.72	0	67.22
1.73	0	67.5
1.74	0	65.13
1.75	0	64.39
1.76	224.52	68.84
1.77	212.24	71.32
1.78	205.8	70.96
1.79	202.17	68.24
1.8	200.37	62.9
1.81	195.7	57.8
1.82	192.97	56.65
1.83	191.76	56.45
1.84	191.3	56.41
1.85	191.31	56.43
1.86	189.75	56.24
1.87	187.12	55.9
1.88	182.86	58.01
1.89	179.14	62.89
1.9	175.51	67.01
1.91	174.95	70.29
1.92	190.24	72.17
1.93	197.64	71.56
1.94	198.57	67.96
1.95	0	64.49
1.96	0	66.43
1.97	0	68.76
1.98	0	70.11
1.99	0	70
2	0	68.88
2.01	0	68.83
2.02	0	69.61
2.03	0	69.79
2.04	0	69.14
2.05	0	67.51
2.06	0	66.37
2.07	0	65.52
2.08	0	64.34
2.09	0	62.24
2.1	0	58.75
2.11	0	56.3
2.12	215.22	58.68
2.13	213.97	61.3
2.14	211.37	62.82
2.15	203.38	67.67
2.16	196.71	73.42
2.17	195.32	75.7
2.18	193.8	76.23
2.19	190.83	75.97
2.2	188.16	75.44
2.21	186.7	75.45
2.22	184.03	75.43
2.23	179.61	73.73
2.24	175.16	71.61
2.25	164.26	71.11
2.26	153.71	71.87
2.27	147.16	72.11
2.28	119.5	69.72
2.29	107.16	66.64
2.3	105.45	64.73
2.31	0	63.71
2.32	0	64.69
2.33	93.34	64
2.34	93.59	61.35
2.35	0	57.42
2.36	0	53.5
2.37	0	51.32
2.38	0	48.54
2.39	0	45.14
2.4	0	43.04
2.41	0	41.45
2.42	0	39.41
2.43	0	37.83
2.44	0	35.04
2.45	0	31.3
2.46	0	0
2.47	0	0
2.48	0	0
