time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	47.97
0.05	0	44.01
0.06	0	37.67
0.07	0	32.84
0.08	0	32.12
0.09	0	32.94
0.1	0	34.24
0.11	0	35.98
0.12	0	38.76
0.13	0	43.68
0.14	0	56.99
0.15	0	67.75
0.16	238.97	75.2
0.17	244.03	80.35
0.18	256.82	83.66
0.19	264.56	85.61
0.2	269.2	86.6
0.21	276.01	86.69
0.22	283.1	85.77
0.23	289.82	83.71
0.24	291.8	80.36
0.25	280.27	75.65
0.26	0	71.73
0.27	0	71.57
0.28	0	72.21
0.29	0	71.94
0.3	0	71.03
0.31	0	71.18
0.32	0	70.88
0.33	0	68.76
0.34	0	66.92
0.35	0	66.28
0.36	0	67.75
0.37	303.5	72.23
0.38	291.57	74.88
0.39	282.76	76.2
0.4	275.31	77.1
0.41	268.26	77.73
0.42	260.77	77.78
0.43	254.04	77.01
0.44	247	75.48
0.45	239.99	73.28
0.46	231.5	70.4
0.47	0	67.93
0.48	0	67.14
0.49	0	67.88
0.5	0	68.85
0.51	0	69.69
0.52	0	68.73
0.53	219.81	67.16
0.54	218.14	70.36
0.55	224.54	75.15
0.56	225.39	77.96
0.57	221.2	78.8
0.58	216.76	78.68
0.59	214.08	78.52
0.6	212.46	78.5
0.61	210.07	78.43
0.62	204.77	78.11
0.63	204.63	77.67
0.64	205.75	77.35
0.65	205.46	76.96
0.66	208.92	76.28
0.67	210.41	74.66
0.68	206.1	71.38
0.69	204.39	67.73
0.7	0	70.86
0.71	0	75.49
0.72	0	76.81
0.73	0	77.07
0.74	0	77.29
0.75	0	76.88
0.76	0	75.67
0.77	0	75.34
0.78	0	75.19
0.79	0	73.67
0.8	0	70.83
0.81	0	67.49
0.82	0	63.55
0.83	0	60.32
0.84	0	56.76
0.85	0	52.24
0.86	0	52.12
0.87	0	60.65
0.88	259.91	70.63
0.89	243.77	77.37
0.9	244.26	81.46
0.91	243.8	83.57
0.92	243.98	84.07
0.93	248.99	83.08
0.94	252.78	81.07
0.95	255.17	78.99
0.96	257.99	77.38
0.97	258.53	75.96
0.98	257.94	73.87
0.99	254.67	69.69
1	0	61.74
1.01	0	48.51
1.02	0	33.81
1.03	0	30.13
1.04	0	30.68
1.05	0	32.81
1.06	0	50.65
1.07	0	62.28
1.08	0	69.29
1.09	310.49	75.01
1.1	278.9	77.21
1.11	270.99	77.75
1.12	269.16	78.08
1.13	266.23	78.12
1.14	265.49	77.95
1.15	263.9	77.63
1.16	261.8	77.23
1.17	261.39	76.49
1.18	261.88	75.43
1.19	262.17	74.06
1.2	261.04	72.11
1.21	259.01	70.1
1.22	258.91	69.34
1.23	259.13	69.19
1.24	260.32	69.04
1.25	260.3	68.88
1.26	260.58	68.6
1.27	260.36	68.02
1.28	258.31	66.56
1.29	250.96	63.14
1.3	0	57.79
1.31	0	62.13
1.32	0	71.58
1.33	0	71.9
1.34	0	66.12
1.35	0	63.06
1.36	0	64.32
1.37	0	68.18
1.38	251.56	71.93
1.39	246.56	72.92
1.4	247.69	73.03
1.41	246.07	74.38
1.42	243.87	76.44
1.43	239.94	78.9
1.44	235.86	80.98
1.45	229.52	82.42
1.46	220.89	83.29
1.47	218.18	83.75
1.48	214.96	83.84
1.49	212.46	83.68
1.5	210.41	83.45
1.51	209.37	83.13
1.52	207.85	82.73
1.53	204.75	82.22
1.54	201.66	81.8
1.55	197	81.03
1.56	205.35	78.66
1.57	0	73.72
1.58	0	64.42
1.59	0	50.65
1.6	0	38.48
1.61	0	37.12
1.62	0	35.44
1.63	0	33.96
1.64	0	41.51
1.65	0	51.48
1.66	0	57.86
1.67	0	62.86
1.68	0	68.16
1.69	0	70.61
1.7	0	71.5
1.71	0	71.84
1.72	0	72.77
1.73	0	73.7
1.74	0	73.7
1.75	0	72.56
1.76	0	69.29
1.77	0	68.83
1.78	201.34	74.71
1.79	190.29	78.01
1.8	180.21	78.79
1.81	176.51	79.17
1.82	174.45	79.64
1.83	173.15	79.73
1.84	171.41	79.49
1.85	169.74	78.86
1.86	168.76	77.94
1.87	165.01	76.93
1.88	162.79	75.74
1.89	160.28	74.55
1.9	179.59	73.36
1.91	0	71.73
1.92	0	70.98
1.93	0	69.83
1.94	0	66.59
1.95	0	60.21
1.96	0	55.71
1.97	0	54.86
1.98	0	52.05
1.99	0	49.52
2	0	46.42
2.01	0	42.95
2.02	0	40.66
2.03	0	38.65
2.04	0	36.58
2.05	0	35.52
2.06	0	33.99
2.07	0	0
2.08	0	0
2.09	0	0
