time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.88
0.04	0	32.4
0.05	0	32.17
0.06	0	31.95
0.07	0	31.29
0.08	0	30.93
0.09	0	30.25
0.1	0	30.89
0.11	0	34.47
0.12	0	38.28
0.13	0	41.61
0.14	0	43.78
0.15	0	45.54
0.16	0	48.36
0.17	0	51.27
0.18	0	52.52
0.19	0	52.44
0.2	0	56.68
0.21	0	67.9
0.22	0	74.3
0.23	212.26	76.47
0.24	213.5	77.42
0.25	212.24	78.23
0.26	211.82	78.04
0.27	211.17	76.03
0.28	205.56	72.33
0.29	195.91	68.27
0.3	191.05	66.95
0.31	0	68.94
0.32	0	70.47
0.33	0	70.71
0.34	0	69.3
0.35	0	68.48
0.36	0	67.86
0.37	0	66.44
0.38	0	65.59
0.39	0	67.28
0.4	0	65.95
0.41	0	61.91
0.42	0	66.19
0.43	214.4	71.75
0.44	214.99	74.41
0.45	216.9	75.68
0.46	217.55	76.23
0.47	220.49	76.76
0.48	224.44	78.23
0.49	224.6	79.72
0.5	224.31	80.82
0.51	225.2	82.09
0.52	225.72	83.37
0.53	226.71	84.52
0.54	228.15	85.37
0.55	229.47	85.89
0.56	230.96	85.92
0.57	233.69	85.01
0.58	237.07	83.18
0.59	239.47	80.43
0.6	240.02	76.53
0.61	238.4	70.15
0.62	0	58.47
0.63	0	39.35
0.64	0	28.3
0.65	0	28.39
0.66	0	33.55
0.67	0	44.27
0.68	0	54.15
0.69	0	59.94
0.7	0	65.59
0.71	0	70.18
0.72	0	73.92
0.73	0	76.74
0.74	0	78
0.75	0	78.21
0.76	0	79.82
0.77	0	80.45
0.78	0	79.26
0.79	0	75.97
0.8	0	70.95
0.81	0	65.56
0.82	0	56.89
0.83	0	48
0.84	0	41.74
0.85	0	38.27
0.86	0	37.63
0.87	0	38.35
0.88	0	41.46
0.89	0	46.07
0.9	0	51.18
0.91	0	63.56
0.92	0	75.46
0.93	0	83.26
0.94	226.05	86.31
0.95	221.37	85.82
0.96	217.69	84.89
0.97	215.81	84.99
0.98	214.6	85.35
0.99	213.45	85.66
1	212.04	85.31
1.01	210.79	84.67
1.02	209.86	84.07
1.03	208.74	83.15
1.04	207.78	82.13
1.05	207.26	81.63
1.06	206	81.58
1.07	202.14	81.12
1.08	192.71	79.51
1.09	188.53	76.39
1.1	194.39	71.48
1.11	186.27	65.08
1.12	174.81	60.08
1.13	0	55.69
1.14	0	49.92
1.15	0	44.58
1.16	0	39.95
1.17	0	34.91
1.18	0	31.83
1.19	0	31.33
1.2	0	31.48
1.21	0	32.04
1.22	0	37.45
1.23	0	54.11
1.24	0	62.38
1.25	0	63.13
1.26	0	62
1.27	205.73	66.05
1.28	207.67	69.06
1.29	210.82	69.34
1.3	213.92	70.68
1.31	219.18	75.54
1.32	221.01	78.31
1.33	221.43	79.07
1.34	220.61	79.17
1.35	219.46	79.18
1.36	218.09	79.11
1.37	215.97	78.71
1.38	213.27	77.89
1.39	210.64	76.84
1.4	208.63	75.65
1.41	207.07	74.53
1.42	205.98	73.43
1.43	206.66	72.19
1.44	206.97	70.43
1.45	206.67	67.42
1.46	206.72	61.38
1.47	0	49.58
1.48	0	33.95
1.49	0	30.1
1.5	0	31.84
1.51	0	32.24
1.52	0	46.13
1.53	0	62.86
1.54	0	71.13
1.55	0	73.54
1.56	0	72.43
1.57	0	69.02
1.58	0	64.7
1.59	0	61.05
1.6	0	64.38
1.61	0	69.17
1.62	214.64	68.1
1.63	213.59	60.68
1.64	0	48.55
1.65	0	42.69
1.66	0	37.51
1.67	0	43.81
1.68	0	57.73
1.69	0	63.25
1.7	0	66.81
1.71	202.43	72.69
1.72	200.99	75.45
1.73	199.38	77.1
1.74	197.53	78.34
1.75	193.6	77.67
1.76	190.08	76.06
1.77	187.78	75.24
1.78	186.33	74.69
1.79	185.32	74.03
1.8	184.72	73.31
1.81	183.89	72.53
1.82	183.27	72.04
1.83	182.69	71.66
1.84	181.91	71.04
1.85	180.31	69.84
1.86	176.08	67.26
1.87	171.16	63.14
1.88	169.44	58.32
1.89	0	54.61
1.9	0	58.4
1.91	0	65.53
1.92	0	67.45
1.93	175.43	66.29
1.94	176.53	64.75
1.95	178.7	63.84
1.96	179.64	63.03
1.97	181.05	62.23
1.98	180.96	61.53
1.99	180.78	60.74
2	180.42	58.75
2.01	0	56.22
2.02	0	54.95
2.03	0	53.37
2.04	0	50.5
2.05	0	47.77
2.06	0	47.75
2.07	0	47.61
2.08	0	45.17
2.09	0	42.74
2.1	0	41.89
2.11	0	42.09
2.12	0	40.81
2.13	0	39.61
2.14	0	39.28
2.15	0	39.26
2.16	0	38.27
2.17	0	36.96
2.18	0	0
2.19	0	0
2.2	0	0
