time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.25
0.05	0	34.75
0.06	0	35.11
0.07	0	35.41
0.08	0	35.29
0.09	0	35.47
0.1	0	35.64
0.11	0	34.68
0.12	0	42.45
0.13	0	55.82
0.14	0	63.92
0.15	0	68.06
0.16	0	68.52
0.17	0	66.22
0.18	0	64.54
0.19	0	63.64
0.2	0	60.29
0.21	0	57.41
0.22	0	55.99
0.23	202.12	63.91
0.24	198.85	73.29
0.25	196	78.35
0.26	195.5	80.79
0.27	195.44	81.75
0.28	194.9	82.36
0.29	193.97	82.87
0.3	193.53	83.06
0.31	193.13	83.04
0.32	193.09	82.74
0.33	193.6	82.04
0.34	193.98	80.93
0.35	194.69	79.87
0.36	195.17	79.02
0.37	195.8	77.88
0.38	196.22	75.92
0.39	194.36	73.12
0.4	191.01	70.14
0.41	183.55	67.31
0.42	0	65.26
0.43	0	65.69
0.44	0	67.64
0.45	0	67.09
0.46	0	65.15
0.47	0	64.4
0.48	0	64.02
0.49	0	64.76
0.5	0	66.97
0.51	0	68.83
0.52	0	70.46
0.53	0	70.41
0.54	0	67
0.55	0	62.18
0.56	0	58.72
0.57	201.64	62.7
0.58	198.33	66.99
0.59	194.4	68.09
0.6	192.02	68.28
0.61	189.86	68.31
0.62	188.34	67.89
0.63	187.4	66.71
0.64	186.67	65.74
0.65	185.86	65.51
0.66	185.16	65.49
0.67	184.64	65.56
0.68	184.52	66.22
0.69	184.14	67.61
0.7	183.66	68.79
0.71	183.52	69.56
0.72	183.47	70.14
0.73	183.47	70.9
0.74	183.17	72.06
0.75	182.53	73.42
0.76	181.76	74.84
0.77	180.98	75.97
0.78	180.16	76.7
0.79	179.36	76.94
0.8	178.38	76.86
0.81	177.25	76.78
0.82	175.76	76.52
0.83	173.61	75.6
0.84	171.71	74.32
0.85	170.47	73.63
0.86	170.39	74.16
0.87	172	76.1
0.88	173.75	77.49
0.89	174.33	77.47
0.9	174.32	76.57
0.91	174.43	75.04
0.92	175.21	72.94
0.93	175.85	70.45
0.94	174.73	67.72
0.95	172.53	64.82
0.96	0	62.53
0.97	0	62.05
0.98	0	61.2
0.99	0	60.02
1	0	59.1
1.01	0	58.77
1.02	0	58.51
1.03	0	58.29
1.04	0	58.3
1.05	0	58.54
1.06	0	57.04
1.07	0	58.99
1.08	0	70.24
1.09	163.42	76.86
1.1	162.48	79.45
1.11	160.33	79.96
1.12	157.89	79.38
1.13	155.68	78.77
1.14	153.69	78.43
1.15	152.26	78.1
1.16	150.78	77.93
1.17	149.43	77.72
1.18	149.55	77.32
1.19	150.69	76.94
1.2	151.49	76.47
1.21	151.68	75.61
1.22	152.53	74.36
1.23	154.16	72.6
1.24	156.31	69.99
1.25	158.94	66.65
1.26	160.34	63.03
1.27	160.88	60.34
1.28	0	58.49
1.29	0	56.23
1.3	0	55.14
1.31	0	54.19
1.32	0	51.82
1.33	0	49.84
1.34	0	49.08
1.35	0	48.69
1.36	0	48.28
1.37	0	47.12
1.38	0	45.59
1.39	0	45.15
1.4	0	44.85
1.41	0	44.16
1.42	0	44.01
1.43	0	44.08
1.44	0	43.88
1.45	0	43.42
1.46	0	42.65
1.47	0	43.06
1.48	0	44.09
1.49	0	42.93
1.5	0	41.48
1.51	0	40.56
1.52	0	39.79
1.53	0	38.15
1.54	0	36.75
1.55	0	36.22
1.56	0	36.26
1.57	0	35.32
1.58	0	34.31
1.59	0	34.45
1.6	0	35.12
1.61	0	35.33
1.62	0	35.65
1.63	0	36.03
1.64	0	35.45
1.65	0	34.5
1.66	0	34.38
1.67	0	35.37
1.68	0	36.49
1.69	0	35.54
1.7	0	35.13
1.71	0	34.95
1.72	0	34.42
1.73	0	37.59
1.74	0	40
1.75	0	37.21
1.76	0	34.41
1.77	0	33.94
1.78	0	33.46
1.79	0	33.69
1.8	0	34.23
1.81	0	34.32
1.82	0	34.12
1.83	0	34.02
1.84	0	0
1.85	0	0
1.86	0	0
?	?	?
