time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	21.16
0.05	0	21.32
0.06	0	22.02
0.07	0	23.54
0.08	0	29.05
0.09	0	34.7
0.1	0	36.51
0.11	0	34.74
0.12	0	31.47
0.13	0	31.54
0.14	0	37.04
0.15	0	38.03
0.16	0	35.55
0.17	0	37.2
0.18	0	42.54
0.19	0	47.6
0.2	0	52.58
0.21	0	58.66
0.22	0	60.84
0.23	0	60.41
0.24	0	57.7
0.25	0	53.11
0.26	0	62.91
0.27	0	74.06
0.28	224.29	78.47
0.29	224.84	78.88
0.3	225.49	77.17
0.31	228.21	73.67
0.32	226.99	67.94
0.33	0	60.27
0.34	0	52.6
0.35	0	47.67
0.36	0	50.68
0.37	0	60.5
0.38	0	63.83
0.39	0	67.27
0.4	246.9	77.38
0.41	241.87	82.42
0.42	238.34	83.75
0.43	235.44	84.56
0.44	229.31	85.49
0.45	222.36	85.02
0.46	211.7	81.39
0.47	184.53	76.89
0.48	183.37	75.22
0.49	189.87	75.76
0.5	203.73	76.32
0.51	217.32	76.2
0.52	234.54	76.73
0.53	251.97	77.74
0.54	259.59	78.57
0.55	260.77	78.57
0.56	259.58	78.31
0.57	255.96	78.53
0.58	253.24	79.16
0.59	250.68	80.19
0.6	247.13	81.8
0.61	243.59	83.21
0.62	239.56	83.44
0.63	235.85	82.66
0.64	233.24	82.88
0.65	231.83	84.68
0.66	230.29	86.19
0.67	228.35	86.18
0.68	227.15	85.24
0.69	227.07	83.83
0.7	226.43	80.27
0.71	222.05	72.14
0.72	0	58.84
0.73	0	50.96
0.74	0	51.2
0.75	232.1	60.08
0.76	226.85	68.24
0.77	222.21	72.36
0.78	218.13	73.66
0.79	215.92	73.28
0.8	215.05	71.6
0.81	213.52	68
0.82	214.37	64.83
0.83	214	64.77
0.84	212.35	65.09
0.85	212.56	65.78
0.86	214.38	68.78
0.87	210.99	71.56
0.88	207.91	72.62
0.89	205.63	73.08
0.9	203.65	73.32
0.91	203.25	73.48
0.92	202.59	73.37
0.93	201.38	72.85
0.94	200.45	72.01
0.95	199.59	71.2
0.96	197.47	70.5
0.97	195.81	69.77
0.98	194.1	69.09
0.99	190.96	68.53
1	189.73	67.8
1.01	190.66	67.1
1.02	190.36	66.98
1.03	190.84	67.34
1.04	192.71	68.4
1.05	193.77	69.94
1.06	195.15	71.94
1.07	197.93	74.8
1.08	199.77	78.28
1.09	198.99	80.6
1.1	197.67	81.38
1.11	197.46	82.2
1.12	197.38	82.93
1.13	198.97	83.44
1.14	201.57	84.03
1.15	204.77	84.27
1.16	207.73	83.73
1.17	213.8	82.67
1.18	223.59	81.55
1.19	236.25	80.8
1.2	249.23	79.87
1.21	265.18	77.82
1.22	286.78	76.54
1.23	308.71	76.89
1.24	327.5	76.39
1.25	353.46	73.48
1.26	374.54	69.28
1.27	383.97	64.1
1.28	0	56.6
1.29	0	47.15
1.3	0	36.65
1.31	0	28.28
1.32	0	22.86
1.33	0	21.07
1.34	0	22.95
1.35	0	24.71
1.36	0	24.8
1.37	0	23.24
1.38	0	20.69
1.39	0	25.91
1.4	0	39.24
1.41	0	43.49
1.42	0	40.16
1.43	0	35.28
1.44	0	35.16
1.45	0	35.54
1.46	0	35.5
1.47	0	34.81
1.48	0	33.08
1.49	0	32.51
1.5	0	31.81
1.51	0	30.8
1.52	0	0
1.53	0	0
1.54	0	0
