time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.76
0.05	0	24.76
0.06	0	25.02
0.07	0	25.74
0.08	0	26.16
0.09	0	25.57
0.1	0	25.25
0.11	0	25.82
0.12	0	38.88
0.13	0	55.23
0.14	0	61.8
0.15	0	61.81
0.16	0	58.85
0.17	0	62.8
0.18	280.68	70.99
0.19	257.98	76.51
0.2	248.67	80.26
0.21	244.72	82.65
0.22	243.26	84.08
0.23	242.65	84.98
0.24	242.24	85.44
0.25	240.92	85.36
0.26	238.69	84.63
0.27	236.81	83.26
0.28	234.1	81.12
0.29	231.05	77.23
0.3	223.11	70.14
0.31	0	58.86
0.32	0	48.83
0.33	0	46.12
0.34	0	45.33
0.35	0	44.23
0.36	0	45.13
0.37	0	47.27
0.38	0	48.37
0.39	0	48.42
0.4	0	56.01
0.41	0	66.3
0.42	209.76	72.67
0.43	208.58	76.61
0.44	205.9	78.79
0.45	203	79.57
0.46	199.78	79.37
0.47	196.55	78.61
0.48	194.11	77.6
0.49	192.08	76.43
0.5	189.85	75.06
0.51	187.01	73.13
0.52	184.7	70.25
0.53	183.21	66.4
0.54	184.96	62.24
0.55	186.35	58.9
0.56	0	56.64
0.57	0	54.36
0.58	0	51.56
0.59	0	47.19
0.6	0	39.63
0.61	0	28.9
0.62	0	24.44
0.63	0	24.48
0.64	0	24.56
0.65	0	24.92
0.66	0	25.07
0.67	0	24.53
0.68	0	24.29
0.69	0	24.55
0.7	0	24.72
0.71	0	24.85
0.72	0	37.87
0.73	0	53.99
0.74	0	61.83
0.75	0	69.11
0.76	170.85	74.34
0.77	199	77.15
0.78	207.83	79.25
0.79	207.68	80.79
0.8	207.82	81.36
0.81	207.03	81.22
0.82	207.28	80.79
0.83	204.87	80.09
0.84	202.79	78.75
0.85	198.23	76.69
0.86	188.1	73.99
0.87	169.45	70.86
0.88	0	67.41
0.89	0	63.28
0.9	0	58.1
0.91	0	54.06
0.92	0	54.2
0.93	0	55.1
0.94	0	55.98
0.95	0	56.33
0.96	162.1	58.12
0.97	178.64	59.33
0.98	186.75	58.47
0.99	0	55.84
1	0	59.18
1.01	0	67.12
1.02	199.93	70.8
1.03	199.58	71.64
1.04	200.02	70.63
1.05	198.74	68.15
1.06	200.04	64.65
1.07	0	62.55
1.08	0	63.89
1.09	0	64.62
1.1	0	64.42
1.11	0	64.06
1.12	0	64.94
1.13	0	66.6
1.14	0	66.67
1.15	0	65.06
1.16	0	62.45
1.17	0	57.92
1.18	0	52.23
1.19	0	54.39
1.2	0	62.72
1.21	0	66.6
1.22	0	67.31
1.23	181.27	69.13
1.24	191.43	72.28
1.25	192.23	74.47
1.26	189.95	75.65
1.27	188.8	76.28
1.28	187.82	76.69
1.29	187.83	76.99
1.3	187.93	77.13
1.31	187.11	77.08
1.32	186.98	76.98
1.33	186.31	76.89
1.34	185.31	76.61
1.35	184.79	75.91
1.36	184.58	74.53
1.37	182.85	72.03
1.38	0	66.69
1.39	0	57.05
1.4	0	48.31
1.41	0	42.78
1.42	0	40.32
1.43	0	46.97
1.44	0	51.33
1.45	0	53.3
1.46	0	56.76
1.47	191.64	59.85
1.48	188.08	62.82
1.49	184.85	65.97
1.5	180.36	68.57
1.51	177.2	70.6
1.52	175.96	71.81
1.53	176.29	72.43
1.54	175.88	72.75
1.55	176.54	72.96
1.56	177.84	72.98
1.57	181.91	72.66
1.58	157.93	71.99
1.59	150.22	71.11
1.6	151.23	70.03
1.61	0	68.39
1.62	175.08	66.15
1.63	172.37	62.99
1.64	171.34	58.53
1.65	0	53.51
1.66	0	51.63
1.67	0	53.72
1.68	0	56.55
1.69	0	57.7
1.7	0	55.96
1.71	0	51.26
1.72	0	47.38
1.73	0	46.08
1.74	0	45.75
1.75	0	44.94
1.76	0	43.4
1.77	0	40.87
1.78	0	39.3
1.79	0	38.84
1.8	0	37.92
1.81	0	36.98
1.82	0	37.01
1.83	0	36.96
1.84	0	36.37
1.85	0	35.75
1.86	0	35.37
1.87	0	0
1.88	0	0
1.89	0	0
