time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.83
0.05	0	33.56
0.06	0	33.19
0.07	0	32.99
0.08	0	32.8
0.09	0	32.42
0.1	0	32.05
0.11	0	32.02
0.12	0	32.9
0.13	0	40.42
0.14	0	58.17
0.15	212.24	68.62
0.16	211.25	72.93
0.17	211.32	73.9
0.18	213.76	72.91
0.19	216.08	71.13
0.2	209.38	68.82
0.21	0	66.48
0.22	0	69.15
0.23	0	73.14
0.24	0	74.86
0.25	0	75.54
0.26	0	75.49
0.27	0	75.71
0.28	0	76.44
0.29	0	77.55
0.3	0	77.91
0.31	0	77.16
0.32	0	76.91
0.33	0	76.37
0.34	0	75.93
0.35	0	76.19
0.36	0	74.35
0.37	0	70.95
0.38	249.87	75.86
0.39	247.8	82.01
0.4	241.07	84.8
0.41	235.32	84.98
0.42	233.47	84.48
0.43	234.39	84.62
0.44	235.91	85.09
0.45	237.2	85.65
0.46	238.42	86.16
0.47	239.56	86.47
0.48	241.03	86.6
0.49	243.33	86.64
0.5	245.92	86.54
0.51	247.88	86.18
0.52	249.08	85.55
0.53	250.66	84.36
0.54	254.58	82.36
0.55	258.57	80.13
0.56	257.89	77.22
0.57	251.05	72.45
0.58	240.04	65.85
0.59	0	58.93
0.6	0	55.52
0.61	0	54.63
0.62	0	56.12
0.63	0	62.2
0.64	0	69
0.65	0	72.18
0.66	0	72.68
0.67	0	74.21
0.68	0	75.54
0.69	0	75.76
0.7	0	76.34
0.71	0	76.56
0.72	0	76.03
0.73	0	75.52
0.74	0	73.92
0.75	0	72.29
0.76	0	69.38
0.77	0	65.62
0.78	0	60.39
0.79	0	55.38
0.8	0	51.77
0.81	0	59
0.82	247.31	68.91
0.83	246.13	74.88
0.84	243.99	78.53
0.85	240	80.39
0.86	235.19	80.71
0.87	232.94	80.47
0.88	232.72	80.35
0.89	232.85	80.17
0.9	232.71	79.34
0.91	230.83	76.57
0.92	226.92	70.84
0.93	225.13	63.9
0.94	226.27	58.93
0.95	229.9	56.67
0.96	235.99	58.33
0.97	241.22	63.07
0.98	243.99	68.24
0.99	244.91	72.59
1	245.24	75.42
1.01	245.85	76.71
1.02	246.81	76.82
1.03	247.69	75.52
1.04	247.56	71.59
1.05	0	63.26
1.06	0	49.55
1.07	0	38.41
1.08	0	45.95
1.09	0	56.6
1.1	0	63.76
1.11	0	68.06
1.12	0	70.27
1.13	0	71.16
1.14	0	71.44
1.15	0	71.46
1.16	0	70.42
1.17	0	67.88
1.18	0	64.26
1.19	0	61.07
1.2	241.11	67.36
1.21	231.4	72.83
1.22	222.46	74.78
1.23	216.72	75.64
1.24	212.15	76.58
1.25	208.77	77.55
1.26	205.92	78.29
1.27	203.64	78.81
1.28	201.84	79.11
1.29	199.62	79.14
1.3	198.29	79.06
1.31	197.24	78.83
1.32	196.4	78.44
1.33	195.7	78.04
1.34	194.91	77.41
1.35	193.47	76.25
1.36	191.46	74.21
1.37	189.45	70.5
1.38	0	63.65
1.39	0	52.07
1.4	0	38.87
1.41	0	34.07
1.42	0	31.35
1.43	0	35.09
1.44	0	51.79
1.45	0	65.01
1.46	0	70.69
1.47	0	70.17
1.48	0	65.21
1.49	0	60.56
1.5	0	57.64
1.51	0	59.9
1.52	219.1	69.49
1.53	211.28	75.05
1.54	202.75	77.59
1.55	199.21	78.16
1.56	198.8	77.57
1.57	198.8	76.61
1.58	198.05	75.28
1.59	197.02	72.7
1.6	195.38	67.33
1.61	0	57.25
1.62	0	41.76
1.63	0	33.47
1.64	0	44.83
1.65	0	55.71
1.66	0	62.28
1.67	0	65.76
1.68	0	64.89
1.69	0	59.51
1.7	0	59.05
1.71	218.92	67.08
1.72	209.81	70.42
1.73	199.94	70.93
1.74	194.95	69.8
1.75	191.73	65.78
1.76	0	57.23
1.77	0	49.51
1.78	0	46.3
1.79	0	44.14
1.8	0	42.51
1.81	0	40.18
1.82	0	37.43
1.83	0	45.26
1.84	0	58.01
1.85	0	69.53
1.86	189.47	76.12
1.87	189.06	78.99
1.88	188.22	79.86
1.89	187.42	80.66
1.9	187.6	82.02
1.91	188.45	83
1.92	188.65	83.09
1.93	188.11	82.52
1.94	187.46	82.05
1.95	186.78	81.89
1.96	185.97	81.78
1.97	185.33	81.53
1.98	184.43	81.09
1.99	182.84	80.56
2	180.49	79.98
2.01	176.99	79.26
2.02	172.65	78.46
2.03	168.82	77.68
2.04	164.2	76.79
2.05	158.8	75.15
2.06	155.25	72.53
2.07	158.41	68.45
2.08	0	61.91
2.09	0	51.21
2.1	0	36.18
2.11	0	30.05
2.12	0	30.92
2.13	0	32.12
2.14	0	32.82
2.15	0	38.3
2.16	0	55.21
2.17	0	62.77
2.18	0	62.05
2.19	0	55.33
2.2	0	51.45
2.21	0	50.11
2.22	0	47.37
2.23	0	46.63
2.24	0	46.31
2.25	0	45.4
2.26	0	44.41
2.27	0	43.27
2.28	0	41.8
2.29	0	39.55
2.3	0	38.32
2.31	0	37
2.32	0	36.19
2.33	0	36.22
2.34	0	35.27
2.35	0	34.24
2.36	0	33.87
2.37	0	33.54
2.38	0	0
2.39	0	0
2.4	0	0
?	?	?
