time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.93
0.04	0	29.8
0.05	0	29.69
0.06	0	29.58
0.07	0	31
0.08	0	34.07
0.09	0	36.03
0.1	0	37.03
0.11	0	39.42
0.12	0	51.03
0.13	0	62.64
0.14	231.3	68.52
0.15	223.33	70.94
0.16	226.63	73.17
0.17	233.39	78.39
0.18	234.5	83.09
0.19	234.59	85.26
0.2	235.63	85.99
0.21	236.78	85.91
0.22	238.75	85.33
0.23	241.79	84.75
0.24	246.34	84.85
0.25	250.99	85.46
0.26	256.51	85.5
0.27	261.15	83.98
0.28	262.25	80.46
0.29	256.39	73.93
0.3	238.3	65.37
0.31	239.56	60.93
0.32	0	57.82
0.33	0	63.55
0.34	276.31	72.61
0.35	265.49	76.47
0.36	260.23	77.34
0.37	255.94	77.02
0.38	251.38	76.55
0.39	248.04	76.28
0.4	244.13	75.84
0.41	239.61	75.23
0.42	235.13	74.86
0.43	231.2	75.01
0.44	229	76.2
0.45	228.04	78.72
0.46	227.54	82.22
0.47	226.42	85.4
0.48	224.01	86.58
0.49	220.25	85.03
0.5	214.01	82.11
0.51	201.92	79.94
0.52	206.65	78.5
0.53	248.76	77.13
0.54	229.34	73.54
0.55	215.26	65.11
0.56	0	52.75
0.57	0	38.41
0.58	0	46.28
0.59	0	51
0.6	0	55.03
0.61	0	61.51
0.62	0	69.3
0.63	0	74.4
0.64	0	76.42
0.65	0	75.58
0.66	0	70.38
0.67	0	59.41
0.68	0	55.07
0.69	0	60.47
0.7	0	61.86
0.71	0	59.65
0.72	0	57.07
0.73	0	55.33
0.74	0	54.77
0.75	0	57.61
0.76	210.35	65
0.77	216.93	71.59
0.78	222.61	76.15
0.79	227.48	79.39
0.8	230.06	81.04
0.81	229.16	80.67
0.82	229.38	80.46
0.83	231.7	81.09
0.84	235.25	80.98
0.85	238.59	79.54
0.86	240.18	76.83
0.87	239.56	72.61
0.88	237.85	65.67
0.89	0	55.11
0.9	0	43.18
0.91	0	33.67
0.92	0	30.66
0.93	0	30.54
0.94	0	30.87
0.95	0	34.2
0.96	0	48.91
0.97	0	57.73
0.98	0	57.75
0.99	0	48.79
1	0	34.66
1.01	0	35.18
1.02	0	50.27
1.03	0	63.07
1.04	0	71.61
1.05	254.16	75.09
1.06	242.82	74.93
1.07	239.71	73.19
1.08	236.65	71.42
1.09	233.59	70.24
1.1	230.45	69.84
1.11	229.45	70.52
1.12	231.64	73.07
1.13	237.27	77.84
1.14	245.54	82.64
1.15	249.25	84.52
1.16	246.75	83.51
1.17	248.85	83.28
1.18	252.38	84.52
1.19	255.07	85.19
1.2	257.07	84.71
1.21	258.87	82.57
1.22	257.29	77.34
1.23	249.56	67.1
1.24	0	55.97
1.25	0	48.66
1.26	0	54.99
1.27	0	66.8
1.28	0	74.66
1.29	262.23	79.04
1.3	249.57	80.9
1.31	236.66	80.74
1.32	222.15	78.77
1.33	207.76	75.92
1.34	197.41	73.5
1.35	189.74	71.51
1.36	184.75	69.39
1.37	179.38	66.66
1.38	174.7	63.15
1.39	170.39	60.38
1.4	170.46	60.68
1.41	172.39	63.72
1.42	176	68.05
1.43	179.36	71.96
1.44	179.4	74.55
1.45	177.23	76.23
1.46	174.78	77.33
1.47	172.2	78.05
1.48	169.64	78.39
1.49	168.29	78.55
1.5	166.9	78.44
1.51	166.73	78.21
1.52	166.21	77.72
1.53	166.72	77.29
1.54	164.2	76.93
1.55	0	77.12
1.56	0	76.96
1.57	0	75.83
1.58	0	74.94
1.59	0	74.16
1.6	163.92	73.43
1.61	163.4	72.13
1.62	164.17	71.24
1.63	165.35	70.65
1.64	167.46	69.58
1.65	166.98	66.87
1.66	166.22	62.85
1.67	166.33	58.79
1.68	0	55.95
1.69	0	53.09
1.7	0	48.55
1.71	0	44.84
1.72	0	43.42
1.73	0	43.08
1.74	0	41.73
1.75	0	40.31
1.76	0	0
1.77	0	0
1.78	0	0
?	?	?
