time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.48
0.04	0	35.17
0.05	0	34.27
0.06	0	35.01
0.07	0	36.64
0.08	0	37.55
0.09	0	39.58
0.1	0	39.79
0.11	0	37.22
0.12	0	43.83
0.13	0	54.65
0.14	232.91	60.15
0.15	233.36	63.55
0.16	234.5	66.16
0.17	237.1	67.94
0.18	240.5	69.44
0.19	244.45	70.64
0.2	250.59	72.77
0.21	256.98	79.18
0.22	261.59	83.94
0.23	264.64	85.41
0.24	266.69	85.91
0.25	268.53	86.22
0.26	270	86.37
0.27	271.09	86.41
0.28	271.5	86.28
0.29	271.09	85.93
0.3	270.65	85.32
0.31	269.82	84.66
0.32	267.94	84.2
0.33	264.77	83.72
0.34	261.01	83.01
0.35	257.03	81.98
0.36	251.67	80.64
0.37	242.15	78.87
0.38	232.1	76.78
0.39	225.18	74.46
0.4	213.95	71.82
0.41	207.96	69.24
0.42	209.77	67.54
0.43	208.91	67.39
0.44	211.61	69.07
0.45	214.32	71.82
0.46	214.34	74.1
0.47	216.67	75.98
0.48	220.64	77.05
0.49	222.28	76.93
0.5	220.72	75.99
0.51	217.54	74.94
0.52	211.89	74.07
0.53	207.37	72.58
0.54	0	70.9
0.55	0	73.37
0.56	0	75.86
0.57	0	76.16
0.58	0	76.63
0.59	0	75.75
0.6	0	74.28
0.61	0	75.15
0.62	0	75.48
0.63	0	74.36
0.64	0	73.87
0.65	0	74.12
0.66	0	73.53
0.67	0	70.77
0.68	221.31	74.87
0.69	218.79	80.12
0.7	214.74	81.52
0.71	212.15	81.64
0.72	210.29	82.12
0.73	208.88	82.52
0.74	207.9	83.05
0.75	206.85	83.71
0.76	205.38	84.43
0.77	203.76	85.03
0.78	202.7	85.07
0.79	202.04	84.11
0.8	201.46	81.54
0.81	200.65	76.51
0.82	0	67.35
0.83	0	54.32
0.84	0	48.1
0.85	0	45.11
0.86	0	48.29
0.87	0	50.19
0.88	218.25	56.52
0.89	212.1	61.27
0.9	204.6	62.26
0.91	202.21	62.25
0.92	200.53	62.18
0.93	199.18	62.16
0.94	199.16	62.34
0.95	199.18	64.68
0.96	197.83	70.39
0.97	196.51	73.51
0.98	196.3	74.29
0.99	196.33	74.78
1	196.28	74.98
1.01	196.66	75.02
1.02	196.85	75.07
1.03	196.56	75.14
1.04	196.38	75.37
1.05	196.39	75.61
1.06	196.38	75.7
1.07	196.25	75.84
1.08	196.66	76.24
1.09	197.07	76.59
1.1	197.23	76.66
1.11	197.68	76.72
1.12	197.69	76.8
1.13	197.38	76.76
1.14	197.46	76.49
1.15	197.73	75.92
1.16	198.09	75.07
1.17	198.63	73.9
1.18	199.42	72.39
1.19	200.61	71.25
1.2	201.48	70.63
1.21	201.72	70
1.22	202.09	69.37
1.23	203.32	69.05
1.24	205.9	69.77
1.25	208.02	72.09
1.26	208.3	73.79
1.27	208.53	74.11
1.28	209.79	74.23
1.29	210.9	74.23
1.3	212.18	73.93
1.31	214.55	73.51
1.32	216.49	72.95
1.33	218.16	72.12
1.34	220.63	71.09
1.35	222.18	69.93
1.36	222	68.42
1.37	221.75	66.11
1.38	221.99	63.26
1.39	222	59.93
1.4	0	55.97
1.41	0	51.56
1.42	0	47.06
1.43	0	43.66
1.44	0	41.16
1.45	0	40.17
1.46	0	40.04
1.47	0	38.53
1.48	0	36.55
1.49	0	36.26
1.5	0	36.69
1.51	0	0
1.52	0	0
?	?	?
