time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.67
0.05	0	24.82
0.06	0	24.74
0.07	0	25.15
0.08	0	25.25
0.09	0	26.67
0.1	0	32.09
0.11	0	36.05
0.12	0	39.7
0.13	0	43.84
0.14	0	47.28
0.15	0	48.89
0.16	0	48.69
0.17	0	46.47
0.18	0	48.72
0.19	0	61.11
0.2	228.55	67.52
0.21	224.42	69.26
0.22	221.85	68.87
0.23	216.71	66.67
0.24	212.47	63.14
0.25	0	62.93
0.26	0	65.59
0.27	0	67.62
0.28	0	69.68
0.29	0	71.95
0.3	0	73.55
0.31	0	73.64
0.32	0	72.82
0.33	0	72.16
0.34	0	72.63
0.35	0	71.79
0.36	0	66.29
0.37	0	58.63
0.38	249.59	63.81
0.39	227.84	66.14
0.4	217.56	65.16
0.41	213.17	64.35
0.42	212.93	66.89
0.43	205.5	73.38
0.44	205.01	76.99
0.45	203.59	78.85
0.46	201.75	80.53
0.47	200.54	81.38
0.48	200.48	81.47
0.49	201.01	81.37
0.5	203.21	81.36
0.51	206.13	81.31
0.52	209.46	81.08
0.53	212.73	80.59
0.54	219.14	80.05
0.55	226.08	79.46
0.56	234.74	78.21
0.57	238.24	75.51
0.58	239.21	70.27
0.59	0	62.47
0.6	0	52.94
0.61	0	42.14
0.62	0	50.72
0.63	0	59.83
0.64	0	64.94
0.65	0	67.78
0.66	0	69.28
0.67	0	71.6
0.68	0	74.95
0.69	0	76.12
0.7	0	75.67
0.71	0	74.35
0.72	0	71.43
0.73	0	67.14
0.74	0	63.71
0.75	0	61.56
0.76	0	55.68
0.77	0	49.91
0.78	0	50.94
0.79	0	57.29
0.8	0	64.84
0.81	0	65.76
0.82	0	60.98
0.83	0	50.26
0.84	0	35.61
0.85	0	26.09
0.86	0	24.36
0.87	0	33.32
0.88	0	57.12
0.89	0	71.3
0.9	0	78.36
0.91	198.81	80.59
0.92	202.06	81.3
0.93	202.52	82.14
0.94	201.6	82.72
0.95	201.11	83.06
0.96	201.07	83.16
0.97	200.59	82.83
0.98	200.34	81.48
0.99	199.41	78.17
1	0	70.38
1.01	0	60.81
1.02	191.21	67.48
1.03	191.67	73.23
1.04	175.12	75.85
1.05	170.32	75.57
1.06	168.68	71.57
1.07	0	62.73
1.08	0	56.75
1.09	0	55.86
1.1	0	56.18
1.11	0	59.77
1.12	0	63.29
1.13	0	64.71
1.14	0	65.22
1.15	0	65.32
1.16	0	66.14
1.17	0	66.23
1.18	0	64.34
1.19	0	60.29
1.2	0	65.25
1.21	0	75.37
1.22	0	79.82
1.23	183.36	81.32
1.24	180.54	81.76
1.25	179.46	82.15
1.26	179.23	83.01
1.27	179.91	83.56
1.28	180.45	83.3
1.29	181.89	82.32
1.3	182	80.03
1.31	179.4	73.83
1.32	0	61.3
1.33	0	51.33
1.34	0	50.51
1.35	0	52.63
1.36	183.11	58.32
1.37	184	65.84
1.38	184.79	70.54
1.39	185.49	71.47
1.4	185	68.52
1.41	173.37	62.56
1.42	171.53	59.21
1.43	167.43	58.82
1.44	0	57.25
1.45	0	54.15
1.46	0	49.03
1.47	0	43.62
1.48	0	50.74
1.49	0	59.22
1.5	0	66.51
1.51	0	72.03
1.52	0	72.48
1.53	0	68.63
1.54	0	63.89
1.55	0	64.15
1.56	165.59	65.58
1.57	165.18	64.02
1.58	0	61.53
1.59	0	60.74
1.6	0	61.82
1.61	0	63.52
1.62	0	65.78
1.63	156.69	68.47
1.64	155.93	70.66
1.65	154.47	71.43
1.66	153.21	71.19
1.67	153.25	70.53
1.68	149.61	69.07
1.69	148.22	66.89
1.7	153.92	64.39
1.71	155.03	61.32
1.72	165.66	57.76
1.73	0	55
1.74	0	52.27
1.75	0	48.38
1.76	0	44.49
1.77	0	41.26
1.78	0	40.79
1.79	0	40.77
1.8	0	39.75
1.81	0	39.16
1.82	0	38.38
1.83	0	36.75
1.84	0	35.72
1.85	0	36.18
1.86	0	36.24
1.87	0	35.31
1.88	0	0
1.89	0	0
1.9	0	0
