time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.19
0.04	0	33.86
0.05	0	31.49
0.06	0	30.05
0.07	0	29.82
0.08	0	29.82
0.09	0	30.02
0.1	0	31.81
0.11	0	37.53
0.12	0	43.06
0.13	0	47.49
0.14	0	51.24
0.15	0	53.59
0.16	0	55.25
0.17	0	56.45
0.18	0	63.01
0.19	0	73.32
0.2	256.62	78.53
0.21	245.55	80.53
0.22	243.21	81.6
0.23	243.7	82.73
0.24	243.76	84.18
0.25	243.45	85.76
0.26	242.82	87.1
0.27	242.32	87.82
0.28	240.83	87.9
0.29	237.98	87.35
0.3	234.75	86.25
0.31	230.28	84.12
0.32	226.88	79.27
0.33	0	69.61
0.34	0	56.12
0.35	0	52.62
0.36	0	60.19
0.37	0	66.37
0.38	218.82	69.29
0.39	221.12	70.37
0.4	221.02	70.81
0.41	221.44	71.08
0.42	222.44	71.33
0.43	224.34	72.61
0.44	225.91	76.84
0.45	227.31	80.94
0.46	229.48	83.19
0.47	230.38	84.04
0.48	232.81	84.38
0.49	236.24	84.57
0.5	239.09	84.73
0.51	241.26	84.94
0.52	241.16	84.1
0.53	235.62	80.5
0.54	234.44	78.03
0.55	246.89	81.23
0.56	254.36	84.06
0.57	258.16	85.6
0.58	260.12	86.29
0.59	261.26	86.35
0.6	261.17	85.65
0.61	261.95	83.93
0.62	258.67	81.16
0.63	249.81	77.09
0.64	242.15	72.49
0.65	236.83	70.57
0.66	238.25	71.37
0.67	240.69	73.12
0.68	244.73	75.41
0.69	249.64	77.55
0.7	254.11	79.46
0.71	256.08	81
0.72	256.51	82.06
0.73	255.95	82.41
0.74	252.38	81.34
0.75	246.1	78.4
0.76	239.1	73.5
0.77	234.93	68
0.78	0	67.17
0.79	0	68.85
0.8	0	68.26
0.81	0	69.4
0.82	0	71.87
0.83	0	69.79
0.84	0	62.33
0.85	0	49.28
0.86	0	36.77
0.87	0	40.13
0.88	0	50.03
0.89	0	61.18
0.9	0	70.8
0.91	253.62	74.44
0.92	228.32	74.69
0.93	227.92	74.67
0.94	225.46	74.68
0.95	222.86	74.9
0.96	220.69	75.43
0.97	219.4	76.04
0.98	217.86	75.87
0.99	214.78	74.57
1	216.49	73.36
1.01	217.73	73.27
1.02	212.93	74.08
1.03	214.11	76.12
1.04	217.9	78.12
1.05	220.85	79.1
1.06	216.69	80.3
1.07	210.08	81.21
1.08	207.79	81.44
1.09	207.01	81.32
1.1	206.69	80.98
1.11	0	80.75
1.12	0	80.89
1.13	0	81.26
1.14	0	81.54
1.15	0	81.38
1.16	0	80.75
1.17	0	79.89
1.18	0	78.95
1.19	0	77.43
1.2	0	73.97
1.21	0	68.75
1.22	0	63.75
1.23	0	60.59
1.24	0	59.75
1.25	0	60.57
1.26	0	62.33
1.27	0	65.82
1.28	174.89	69.89
1.29	176.84	73.06
1.3	179	75.16
1.31	0	77.01
1.32	0	78.04
1.33	0	78.07
1.34	0	77.68
1.35	0	77.53
1.36	0	77.44
1.37	0	77.23
1.38	0	77.06
1.39	0	76.93
1.4	0	76.91
1.41	0	76.67
1.42	0	75.28
1.43	0	72.89
1.44	0	73.38
1.45	0	73.59
1.46	0	72.94
1.47	0	71.94
1.48	0	69.2
1.49	0	65.84
1.5	0	66.04
1.51	179.95	66.63
1.52	181.89	66.91
1.53	182.77	66.9
1.54	182.81	66.13
1.55	0	63.6
1.56	0	58.35
1.57	0	53.26
1.58	0	61.84
1.59	0	67.79
1.6	0	69.38
1.61	0	75.33
1.62	0	79.23
1.63	197.57	79.63
1.64	194.85	78.61
1.65	189.89	75.85
1.66	186.35	70.92
1.67	0	66.11
1.68	0	65.95
1.69	0	67.47
1.7	0	68.93
1.71	0	70.69
1.72	0	71.69
1.73	0	70.58
1.74	0	66.35
1.75	0	61.89
1.76	0	65.27
1.77	0	73.1
1.78	206.95	76.63
1.79	201.3	77.42
1.8	199.04	77.33
1.81	197.28	76.8
1.82	195.92	76.21
1.83	195.07	75.68
1.84	193.97	74.74
1.85	190.72	72.3
1.86	189.69	68.7
1.87	192.61	67.52
1.88	190.8	67.34
1.89	189.04	67.03
1.9	187.35	66.78
1.91	184.94	66.47
1.92	183.01	65.67
1.93	0	63.95
1.94	0	65.13
1.95	0	71.04
1.96	169.94	75.1
1.97	171.95	77.05
1.98	169.45	77.4
1.99	167.49	76.49
2	166.33	75.24
2.01	165.57	74.45
2.02	0	72.53
2.03	0	68.38
2.04	0	62.3
2.05	0	55.92
2.06	0	53.78
2.07	0	54.62
2.08	0	60.2
2.09	0	66.92
2.1	0	71.86
2.11	0	73.78
2.12	0	73.66
2.13	0	73.92
2.14	0	75.03
2.15	0	76.06
2.16	0	72.39
2.17	0	72.35
2.18	0	71.31
2.19	0	64.57
2.2	0	61.11
2.21	0	60.14
2.22	0	58.66
2.23	0	57.2
2.24	0	54.43
2.25	0	48.93
2.26	0	41.44
2.27	0	34.96
2.28	0	32.66
2.29	0	32.46
2.3	0	32.82
2.31	0	32.58
2.32	0	32.18
2.33	0	32.16
2.34	0	32.14
2.35	0	31.68
2.36	0	32.45
2.37	0	33.32
2.38	0	32.91
2.39	0	32.06
2.4	0	32.03
2.41	0	31.82
2.42	0	31.64
2.43	0	33.73
2.44	0	42.14
2.45	0	45.96
2.46	0	44.93
2.47	0	40.47
2.48	0	33.04
2.49	0	30.25
2.5	0	29.5
2.51	0	29.11
2.52	0	29.57
2.53	0	30.05
2.54	0	30.32
2.55	0	30.25
2.56	0	29.47
2.57	0	0
2.58	0	0
2.59	0	0
