time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	36.89
0.04	0	36.56
0.05	0	35.8
0.06	0	35.37
0.07	0	35.52
0.08	0	37.26
0.09	0	36.85
0.1	0	33.37
0.11	0	31.12
0.12	0	31.96
0.13	0	36.68
0.14	0	38.3
0.15	0	36.39
0.16	0	38.36
0.17	0	41.35
0.18	0	42.75
0.19	0	50.86
0.2	0	67.1
0.21	0	76.47
0.22	0	80.92
0.23	193.56	83.5
0.24	192.93	84.11
0.25	192.91	83.5
0.26	194.95	83.48
0.27	194.18	82.52
0.28	196.76	79.38
0.29	195.12	73.46
0.3	0	63.2
0.31	0	55.42
0.32	0	52.82
0.33	0	50.79
0.34	0	55.66
0.35	0	64.56
0.36	0	70.75
0.37	216.76	74.94
0.38	219.56	76.4
0.39	224.46	76.64
0.4	227.46	77
0.41	229.95	77.4
0.42	231.63	77.64
0.43	234	77.93
0.44	236.24	78.45
0.45	238.85	79.13
0.46	241.74	79.87
0.47	244.66	81.11
0.48	246.33	82.83
0.49	249.34	84.5
0.5	250.94	85.84
0.51	252.33	86.41
0.52	253.73	86.14
0.53	255.29	85.03
0.54	254.77	82.67
0.55	252.71	78.63
0.56	247.35	73.26
0.57	0	67.46
0.58	0	67.63
0.59	0	69.59
0.6	0	65.03
0.61	0	61.81
0.62	0	65.95
0.63	0	75.36
0.64	139.22	80.35
0.65	147.26	81.58
0.66	154.72	81.78
0.67	163.23	81.9
0.68	188.12	81.69
0.69	187.21	81.06
0.7	182.55	79.93
0.71	184.25	78.31
0.72	181.06	76.13
0.73	182.05	73.24
0.74	181.19	70.96
0.75	183.74	70.87
0.76	185.17	70.95
0.77	183.92	69.89
0.78	180.79	68.24
0.79	178.46	66.05
0.8	0	62.92
0.81	0	58.36
0.82	0	53.93
0.83	0	51.61
0.84	0	49.48
0.85	0	46.63
0.86	0	45.61
0.87	0	48.93
0.88	0	54.64
0.89	0	59.23
0.9	0	59.6
0.91	0	56.64
0.92	0	63.55
0.93	0	71.15
0.94	210.87	74.55
0.95	219.78	76.11
0.96	218.48	77.22
0.97	217.8	78.09
0.98	216.82	78.74
0.99	215.36	79.16
1	214.98	79.21
1.01	212.42	79.05
1.02	210.86	78.6
1.03	209.44	77.67
1.04	207.46	75.66
1.05	203.31	72.08
1.06	196.91	67.92
1.07	196.63	68.2
1.08	201.99	73.18
1.09	208.46	77.23
1.1	206.78	78.9
1.11	202.96	79.6
1.12	201.28	80.32
1.13	198.89	80.85
1.14	196.45	80.87
1.15	194.38	80.32
1.16	193.66	79.42
1.17	193.21	78.27
1.18	190.37	77.28
1.19	189.6	76.21
1.2	190.29	73.87
1.21	0	67.65
1.22	0	54.96
1.23	0	39.71
1.24	0	49
1.25	0	61.05
1.26	0	64.9
1.27	0	63.94
1.28	0	62.04
1.29	0	59.64
1.3	0	57.31
1.31	0	55.42
1.32	0	60.53
1.33	0	65.95
1.34	0	65.93
1.35	0	63.35
1.36	0	62.4
1.37	0	62.07
1.38	0	61.88
1.39	0	61.85
1.4	0	61.86
1.41	0	62
1.42	0	64.46
1.43	185.07	69.66
1.44	180.32	72.62
1.45	179.51	73.79
1.46	180.07	74.62
1.47	179.43	75.47
1.48	178.79	75.93
1.49	178.6	76.29
1.5	177.58	76.7
1.51	176.59	76.73
1.52	176.01	76.26
1.53	176.9	76.13
1.54	177.74	75.98
1.55	177.48	75.37
1.56	177.36	74.72
1.57	176.86	73.89
1.58	177.41	72.73
1.59	177.71	71.92
1.6	177.56	71.81
1.61	178.72	72.2
1.62	178.83	73.05
1.63	179.57	73.54
1.64	177.02	73.37
1.65	175.09	72.77
1.66	175.53	72.13
1.67	177.33	71.46
1.68	176.39	70.81
1.69	176.48	70.17
1.7	174.42	69.33
1.71	173.87	68.51
1.72	174.71	68.14
1.73	176.7	68.22
1.74	177.94	68.07
1.75	176.95	67.92
1.76	177.18	67.33
1.77	177.45	67.06
1.78	179.04	66.51
1.79	179.91	65.44
1.8	0	63.46
1.81	0	60.14
1.82	0	58.99
1.83	0	57.41
1.84	0	55.02
1.85	0	55.05
1.86	0	52.65
1.87	0	49.99
1.88	0	48.71
1.89	0	47.31
1.9	0	45.67
1.91	0	44.63
1.92	0	43.4
1.93	0	41.31
1.94	0	40.08
1.95	0	0
1.96	0	0
1.97	0	0
?	?	?
