time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.57
0.04	0	27.63
0.05	0	28.02
0.06	0	28.12
0.07	0	27.64
0.08	0	27.92
0.09	0	29.09
0.1	0	30.74
0.11	0	33.43
0.12	0	35.79
0.13	0	37.97
0.14	0	40.64
0.15	0	43.73
0.16	0	46.83
0.17	0	50.15
0.18	0	54.85
0.19	0	65.81
0.2	0	74.03
0.21	190.65	78.05
0.22	196.66	79.72
0.23	200.65	80.77
0.24	202.74	82.03
0.25	204.87	83.21
0.26	207.4	84.06
0.27	209.77	84.43
0.28	212.13	84.26
0.29	214.93	83.42
0.3	217.86	82.01
0.31	220.45	80.52
0.32	222.53	79.31
0.33	224.19	78.09
0.34	225.01	76.14
0.35	224.52	73.42
0.36	221.43	70.26
0.37	216.58	66.65
0.38	211.11	63.42
0.39	207.52	61.95
0.4	207.28	63.2
0.41	210.05	67.15
0.42	214.96	72.13
0.43	220.49	76.55
0.44	223.26	79.32
0.45	222.96	80.75
0.46	220.96	82.06
0.47	219.23	83.59
0.48	217.62	84.71
0.49	216.19	85.13
0.5	215.15	85.05
0.51	214.09	84.65
0.52	213.07	84.13
0.53	211.93	83.64
0.54	210.17	83.15
0.55	208.59	82.56
0.56	207.1	81.37
0.57	204.59	78.97
0.58	199.58	75.61
0.59	195.2	73.4
0.6	194.41	74.81
0.61	196.28	77.99
0.62	197.27	80.2
0.63	196.15	81.08
0.64	195.18	81.61
0.65	195.78	82.34
0.66	196.44	82.97
0.67	196.55	83.3
0.68	196.36	83.35
0.69	195.82	83.28
0.7	194.73	83.16
0.71	192.9	83.13
0.72	190.16	83.18
0.73	187.2	83.16
0.74	183.93	82.87
0.75	180.56	82.25
0.76	180.34	81.51
0.77	182.36	79.84
0.78	183.54	75.98
0.79	0	69.65
0.8	0	64.68
0.81	0	61.28
0.82	0	60.11
0.83	0	58.6
0.84	0	57.87
0.85	0	59.75
0.86	0	61.52
0.87	0	62.48
0.88	0	63.51
0.89	0	59.11
0.9	0	51.47
0.91	0	63.31
0.92	0	72.98
0.93	0	76.13
0.94	0	75.74
0.95	174.61	74.4
0.96	174.88	73.15
0.97	174.48	70.67
0.98	174.16	66.32
0.99	176.96	63.79
1	175.77	63.38
1.01	176.48	65.03
1.02	178.15	70.08
1.03	174.14	73.02
1.04	172.12	73.67
1.05	171.86	73.03
1.06	170.38	70.24
1.07	170.65	65.86
1.08	173.63	63.84
1.09	173.94	63.6
1.1	174.03	63.41
1.11	173.21	63.04
1.12	173.36	63.09
1.13	178.53	68.08
1.14	184.46	73.59
1.15	176.6	76.49
1.16	175.8	78.65
1.17	174.83	79.88
1.18	173.41	80.41
1.19	172.57	80.66
1.2	171.79	80.73
1.21	170.81	80.39
1.22	169.85	78.66
1.23	168.57	73.81
1.24	166.26	64.24
1.25	0	52.94
1.26	0	48.81
1.27	0	51.39
1.28	0	61.34
1.29	0	69.94
1.3	171.56	74.72
1.31	170.51	76.73
1.32	168.89	76.91
1.33	167.68	76.15
1.34	166.54	74.7
1.35	165.54	72.25
1.36	164.09	67.78
1.37	162.44	59.91
1.38	0	49.41
1.39	0	45
1.4	0	51.15
1.41	0	61.59
1.42	0	69.01
1.43	0	74.67
1.44	173.9	77.38
1.45	170.35	77.13
1.46	165.77	76.58
1.47	164.23	77.19
1.48	163.14	77.75
1.49	161.93	77.78
1.5	160.81	77.38
1.51	159.39	76.72
1.52	157.79	75.8
1.53	157.36	75.11
1.54	156.42	74.55
1.55	154.85	73.61
1.56	155.32	72.35
1.57	157.75	71.18
1.58	0	69.93
1.59	0	67.82
1.6	0	67.39
1.61	0	67.16
1.62	0	65.26
1.63	0	64.79
1.64	0	61.67
1.65	0	58.19
1.66	0	55.72
1.67	0	53.76
1.68	0	51.38
1.69	0	49.2
1.7	0	47.75
1.71	0	47.07
1.72	0	46.03
1.73	0	43.66
1.74	0	41.77
1.75	0	40.37
1.76	0	40.15
1.77	0	40.28
1.78	0	39.41
1.79	0	38.9
1.8	0	38.07
1.81	0	38.33
1.82	0	0
1.83	0	0
1.84	0	0
