time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	32.83
0.05	0	31.19
0.06	0	31.71
0.07	0	33.12
0.08	0	34.75
0.09	0	35.48
0.1	0	34.63
0.11	0	33.16
0.12	0	32.59
0.13	0	38.53
0.14	0	51.03
0.15	0	61.39
0.16	0	71.79
0.17	244.97	78.79
0.18	245.08	81.49
0.19	244.57	81.21
0.2	247.15	80.2
0.21	251.87	79.45
0.22	254.48	77.89
0.23	251.79	74.43
0.24	243.49	67.93
0.25	0	58.05
0.26	0	49.68
0.27	0	48.99
0.28	0	52.71
0.29	0	57.13
0.3	0	61.47
0.31	0	64.54
0.32	0	67.17
0.33	0	70.2
0.34	0	71.32
0.35	0	71.17
0.36	0	70.69
0.37	0	67.88
0.38	0	65.96
0.39	293.5	69.57
0.4	289.37	75.18
0.41	285.59	78.2
0.42	282.33	79.73
0.43	279.63	80.36
0.44	277.3	80.51
0.45	275.06	80.28
0.46	272.88	79.73
0.47	270.3	78.86
0.48	267.08	77.97
0.49	264.3	77.45
0.5	262.35	77.34
0.51	261.2	77.69
0.52	260.63	78.92
0.53	259.74	80.78
0.54	256.34	81.77
0.55	251	81.47
0.56	250.38	82.29
0.57	251.32	84.46
0.58	251.4	85.59
0.59	250.61	85.5
0.6	251.07	85.37
0.61	252.28	85.53
0.62	253.58	85.69
0.63	255.22	85.74
0.64	257.57	85.72
0.65	261.35	85.54
0.66	266.26	84.63
0.67	272.56	82.2
0.68	278.12	78.17
0.69	278.86	73.12
0.7	271.95	68.63
0.71	0	69.29
0.72	0	71.1
0.73	0	70.78
0.74	0	69.17
0.75	0	69.27
0.76	0	70.63
0.77	0	71.87
0.78	0	74.52
0.79	0	75.51
0.8	0	73.68
0.81	0	69.37
0.82	0	65
0.83	299.43	68.91
0.84	294.53	75.15
0.85	292.14	77.75
0.86	289.91	78.2
0.87	287.11	77.56
0.88	284.47	76.61
0.89	282.07	75.83
0.9	279.8	75.18
0.91	277.59	74.44
0.92	274.5	73.58
0.93	269.13	72.23
0.94	258.67	69.69
0.95	243.99	65.9
0.96	233.73	63.29
0.97	233.93	64.15
0.98	238.6	66.53
0.99	244.75	69.46
1	248.14	72.25
1.01	248.65	74.21
1.02	246.82	75.33
1.03	242.47	75.79
1.04	237.58	75.71
1.05	232.64	75.46
1.06	228.54	75.05
1.07	226.42	73.75
1.08	224.36	70.2
1.09	227.7	67.52
1.1	229.18	66.99
1.11	229.01	66.15
1.12	235.07	66.3
1.13	242.02	68
1.14	242.44	68.72
1.15	238.64	68.44
1.16	235.6	68.09
1.17	233.75	68.1
1.18	235.72	68.52
1.19	238.37	69.6
1.2	239.54	70.83
1.21	241.82	72.7
1.22	241.94	75.52
1.23	239.1	77.86
1.24	235.91	79.6
1.25	234.7	80.68
1.26	235.54	80.86
1.27	238.48	80.04
1.28	243.7	78.66
1.29	249.07	77.3
1.3	251.09	74.28
1.31	0	66.55
1.32	0	51.42
1.33	0	34.79
1.34	0	30.23
1.35	0	31.27
1.36	0	37.94
1.37	0	46.79
1.38	0	51.78
1.39	0	59.31
1.4	264.46	69.6
1.41	260.24	74.88
1.42	255.21	75.87
1.43	250.11	75.16
1.44	246.51	74.57
1.45	243.54	74.26
1.46	241.14	73.97
1.47	241.11	74.38
1.48	241.94	75.57
1.49	241.89	76.44
1.5	240.67	76.68
1.51	240.17	76.66
1.52	240.58	76.31
1.53	239.33	75.9
1.54	236.72	76.39
1.55	233.94	77.35
1.56	229.45	77.32
1.57	225.15	77.01
1.58	224.37	78.58
1.59	224.58	80.7
1.6	223.28	80.78
1.61	221.45	79.85
1.62	220.62	79.93
1.63	220.41	80.09
1.64	220.38	79.88
1.65	220.61	79.62
1.66	220.39	79.46
1.67	219.33	79.19
1.68	217.38	77.97
1.69	215.21	73.57
1.7	215.25	68.28
1.71	217.83	74.67
1.72	219.01	79.44
1.73	217.19	80.45
1.74	213.53	78.98
1.75	209.96	74.99
1.76	0	66.38
1.77	0	57.39
1.78	0	54.19
