time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.71
0.04	0	28.1
0.05	0	28.13
0.06	0	29.24
0.07	0	28.08
0.08	0	26.91
0.09	0	28.08
0.1	0	28.95
0.11	0	32.37
0.12	0	47.55
0.13	0	59.44
0.14	221.75	66.02
0.15	222.74	71.75
0.16	217.33	76.49
0.17	216.73	79.43
0.18	218.36	81.31
0.19	219.78	82.59
0.2	221.4	83.5
0.21	222.88	84.18
0.22	223.76	84.68
0.23	224.28	84.95
0.24	224.28	84.45
0.25	221.4	82.15
0.26	215.32	77.28
0.27	211.04	71.77
0.28	209.1	68.89
0.29	207.9	68.09
0.3	208.24	68.42
0.31	209.72	69.83
0.32	210.87	71.69
0.33	213.14	72.79
0.34	214.75	72.86
0.35	214.61	73.22
0.36	214.51	74.75
0.37	214.61	76.42
0.38	214.14	77.42
0.39	213.26	77.48
0.4	209.78	75
0.41	206.32	68.07
0.42	204.63	63.82
0.43	207.99	67.56
0.44	212.59	70.84
0.45	213.05	74.12
0.46	212.01	76.89
0.47	213.17	78.68
0.48	213.66	79.66
0.49	215.23	80.29
0.5	215.19	80.49
0.51	215.24	80.54
0.52	214.76	80.55
0.53	214.42	80.47
0.54	214.31	80.46
0.55	214.92	80.72
0.56	216.47	81.04
0.57	216.76	81.04
0.58	216.32	80.78
0.59	216.05	80.71
0.6	215.6	80.71
0.61	215.22	80.53
0.62	214.28	80.26
0.63	212.5	79.59
0.64	209.78	77.86
0.65	0	73.69
0.66	0	66.36
0.67	0	64.55
0.68	0	67.27
0.69	0	67.42
0.7	0	66.91
0.71	0	68.11
0.72	0	68.59
0.73	0	67.38
0.74	0	66.52
0.75	0	65.41
0.76	0	65.71
0.77	0	66.35
0.78	0	65.9
0.79	0	65.07
0.8	0	63.08
0.81	0	59.13
0.82	0	53.6
0.83	0	48.02
0.84	0	45.34
0.85	0	46.59
0.86	0	44.3
0.87	0	39.11
0.88	0	36.91
0.89	0	42.48
0.9	0	48.94
0.91	0	54.68
0.92	0	61.45
0.93	0	65.73
0.94	0	68.21
0.95	0	69.18
0.96	0	69.34
0.97	0	69.57
0.98	0	69.37
0.99	0	68.85
1	0	68.43
1.01	0	66.73
1.02	278.22	63.62
1.03	255.69	66.61
1.04	227.72	72.54
1.05	210.3	74.34
1.06	202.7	72.8
1.07	199.23	69.12
1.08	191.95	63.8
1.09	0	57.06
1.1	0	48.88
1.11	0	40.99
1.12	0	39.51
1.13	0	44.63
1.14	0	48.68
1.15	0	53.45
1.16	0	62.87
1.17	201.63	67.84
1.18	191.58	67.29
1.19	190.34	64.93
1.2	189.67	63.91
1.21	185.19	62.37
1.22	0	58.98
1.23	0	52.35
1.24	0	44.21
1.25	0	55.79
1.26	0	62.52
1.27	0	64.71
1.28	0	64.58
1.29	0	62.18
1.3	0	57.92
1.31	0	61.11
1.32	226.88	69.53
1.33	212.44	73.23
1.34	203.03	73.45
1.35	201.15	72.4
1.36	199.44	71.17
1.37	197.24	69.24
1.38	197.1	66.84
1.39	197.64	66.23
1.4	197.32	66.39
1.41	197.18	66.47
1.42	197.26	66.83
1.43	196.23	67.89
1.44	195.22	69.02
1.45	194.7	69.65
1.46	193.68	70.09
1.47	193.14	70.4
1.48	191.02	70.31
1.49	188.66	68.95
1.5	183.38	64.65
1.51	0	56.28
1.52	0	48.22
1.53	0	42.97
1.54	0	36.96
1.55	0	44.04
1.56	0	55.94
1.57	0	62.78
1.58	0	65.23
1.59	0	62.27
1.6	0	57.37
1.61	221.35	61.88
1.62	198.35	65.26
1.63	188.52	65.56
1.64	188.83	65.74
1.65	187.98	65.77
1.66	186.86	65.62
1.67	184.54	65.41
1.68	181.73	65.36
1.69	185.94	67.96
1.7	182.84	71.91
1.71	180.31	73.92
1.72	180.43	74.81
1.73	180.97	75.35
1.74	180.92	75.43
1.75	178.46	75.04
1.76	177.3	74.4
1.77	177.1	73.64
1.78	175.92	72.89
1.79	175.64	72.19
1.8	180.08	71.63
1.81	182.03	71.2
1.82	182.1	70.88
1.83	180.66	70.14
1.84	176.41	68.46
1.85	173.43	66.53
1.86	171.89	65.74
1.87	171.87	66.72
1.88	172.34	69.02
1.89	173.57	71.61
1.9	176.91	73.77
1.91	180.42	75
1.92	167.23	75.67
1.93	159.44	76.19
1.94	153.05	76.44
1.95	0	76.09
1.96	0	75.62
1.97	0	74.76
1.98	0	72.49
1.99	0	67.67
2	0	59.66
2.01	0	48
2.02	0	38.42
2.03	0	32.43
2.04	0	31.72
2.05	0	35.4
2.06	0	41.54
2.07	0	46.3
2.08	0	49.08
2.09	0	50.33
2.1	0	49.93
2.11	0	50.02
2.12	0	58.51
2.13	0	65.47
2.14	0	67.63
2.15	0	69.13
2.16	0	69
2.17	0	68.73
2.18	257.92	68.64
2.19	264.57	68.08
2.2	0	68.61
2.21	0	67.1
2.22	0	65.61
2.23	0	63.71
2.24	0	59.9
2.25	0	53.99
2.26	0	48.84
2.27	0	46.17
2.28	0	44.06
2.29	0	41.19
2.3	0	49.66
2.31	0	56.63
2.32	0	57.7
2.33	0	55.04
2.34	0	52.18
2.35	0	50.65
2.36	0	49.7
2.37	0	47.9
2.38	0	45.65
2.39	0	45.58
2.4	0	44.99
2.41	0	43.57
2.42	0	42.99
2.43	0	43.32
2.44	0	43.78
2.45	0	43.57
2.46	0	43.34
2.47	0	0
2.48	0	0
2.49	0	0
?	?	?
