time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.07
0.04	0	35.21
0.05	0	35.51
0.06	0	36
0.07	0	36.84
0.08	0	37.43
0.09	0	37.12
0.1	0	37.07
0.11	0	35.65
0.12	0	33.84
0.13	0	34.08
0.14	0	34.41
0.15	0	33.66
0.16	0	34.29
0.17	0	34.5
0.18	0	34.45
0.19	0	34.52
0.2	0	34.71
0.21	0	34.64
0.22	0	34.56
0.23	0	37.89
0.24	0	51.85
0.25	0	67.05
0.26	168.08	76.3
0.27	168.81	79.29
0.28	169.34	79.06
0.29	169.76	77.38
0.3	169.48	74.85
0.31	166.58	71.46
0.32	164.16	67.91
0.33	164.67	66.92
0.34	164.65	67.02
0.35	162.46	67.07
0.36	158.39	65.92
0.37	152.69	62.09
0.38	0	54.89
0.39	0	43.37
0.4	0	45.24
0.41	0	58.92
0.42	0	66.12
0.43	0	68.35
0.44	0	70.03
0.45	0	76.64
0.46	172.73	79.73
0.47	173.46	80.75
0.48	175.09	81.8
0.49	177.08	82.94
0.5	180.37	82.92
0.51	184.5	82.34
0.52	188.14	82.57
0.53	189.79	82.05
0.54	191.21	81.04
0.55	193.64	80.79
0.56	196.59	80.27
0.57	202.23	79.24
0.58	210.37	77.94
0.59	216.27	76.99
0.6	220.8	76.47
0.61	227.69	75.88
0.62	234.57	74.2
0.63	240.51	72.39
0.64	244.46	71.15
0.65	242.07	66.81
0.66	0	57.64
0.67	0	58.41
0.68	0	67.14
0.69	0	70.73
0.7	0	71.4
0.71	0	69.74
0.72	0	69.86
0.73	239.04	75.22
0.74	237.41	78.17
0.75	232.78	78.24
0.76	226.46	76.29
0.77	220.1	72.1
0.78	0	68.58
0.79	0	68.75
0.8	0	70.03
0.81	0	71.08
0.82	0	71.32
0.83	0	71.3
0.84	0	71.81
0.85	0	71.9
0.86	0	71.27
0.87	0	69.63
0.88	0	67.22
0.89	0	68.13
0.9	0	76.82
0.91	190.38	81.72
0.92	187.1	84.15
0.93	184.93	85.36
0.94	185.76	85.54
0.95	187.27	85.21
0.96	189.55	84.47
0.97	193.75	82.97
0.98	198.61	80.51
0.99	202.88	77.84
1	209.23	75.08
1.01	212.76	70.38
1.02	0	60.94
1.03	0	48.34
1.04	0	54.48
1.05	0	64.1
1.06	0	69.74
1.07	0	72.07
1.08	0	72.98
1.09	0	73.17
1.1	0	71.81
1.11	0	68.62
1.12	0	64.71
1.13	0	60.53
1.14	0	54.43
1.15	0	45.46
1.16	0	40.87
1.17	0	45.32
1.18	0	59.11
1.19	192.04	72.08
1.2	186.17	78.31
1.21	183.24	80.28
1.22	184.89	80.46
1.23	188.01	80.07
1.24	193.52	78.86
1.25	197.09	75.95
1.26	197.66	71.44
1.27	0	70.45
1.28	0	71.7
1.29	0	72.26
1.3	0	72.62
1.31	0	72.74
1.32	0	71.89
1.33	0	69.98
1.34	0	67.8
1.35	0	66.52
1.36	0	66.32
1.37	0	66.4
1.38	0	67.27
1.39	207.09	70.49
1.4	200.3	73.85
1.41	192.69	76.92
1.42	181.16	79.75
1.43	172.88	81.43
1.44	168.27	82.36
1.45	164.33	82.58
1.46	161.51	81.89
1.47	0	80.87
1.48	0	80.33
1.49	0	79.18
1.5	0	78.73
1.51	0	77.97
1.52	0	77.33
1.53	0	76.69
1.54	0	74.52
1.55	0	74.1
1.56	0	73.43
1.57	0	73.73
1.58	0	72.69
1.59	0	69.84
1.6	0	64.47
1.61	0	59.07
1.62	0	55.43
1.63	0	56.72
1.64	0	61.31
1.65	0	63.45
1.66	0	64.3
1.67	0	64.94
1.68	0	64.57
1.69	0	64.54
1.7	0	65.45
1.71	0	65.73
1.72	0	66.1
1.73	0	66.9
1.74	0	67.21
1.75	0	67.56
1.76	0	66.3
1.77	0	64.52
1.78	0	65.43
1.79	0	66.41
1.8	0	66.16
1.81	0	64.31
1.82	0	59.86
1.83	0	55.47
1.84	0	52.64
1.85	0	48.71
1.86	0	42.48
1.87	0	36.28
1.88	0	32.95
1.89	0	34.43
1.9	0	36.47
1.91	0	36.93
1.92	0	36.01
1.93	0	34.53
1.94	0	33.81
1.95	0	0
1.96	0	0
1.97	0	0
?	?	?
