time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.89
0.04	0	25.14
0.05	0	24.66
0.06	0	24.64
0.07	0	27.42
0.08	0	31.03
0.09	0	30.87
0.1	0	28.45
0.11	0	30.69
0.12	0	49.05
0.13	226.73	64.34
0.14	225.14	72.96
0.15	222.46	77.68
0.16	220.8	80.03
0.17	220.09	80.98
0.18	220.05	81.2
0.19	220.74	81.34
0.2	222.25	81.01
0.21	224.28	80.05
0.22	226.25	78.82
0.23	227.68	77.43
0.24	228.47	76.78
0.25	229.09	77.04
0.26	232.78	76.94
0.27	235.98	75.32
0.28	234.69	72.86
0.29	232.28	71.01
0.3	230.22	70.06
0.31	228.48	69.86
0.32	227.22	70.3
0.33	226.64	71.14
0.34	226.64	72.12
0.35	226.8	73.39
0.36	226.7	75.2
0.37	226.48	77.33
0.38	226.24	79.13
0.39	225.91	79.82
0.4	225.81	79.37
0.41	226.06	78.79
0.42	226.51	79.08
0.43	226.9	80.25
0.44	226.34	81.76
0.45	224.42	83.11
0.46	221.14	83.63
0.47	216.49	82.69
0.48	210.5	80.98
0.49	202.81	80.58
0.5	195.17	81.62
0.51	189.32	82.4
0.52	185.59	82.28
0.53	184.01	81.75
0.54	183.43	80.95
0.55	183.17	79.09
0.56	182.29	75.41
0.57	181.15	69.73
0.58	178.69	63.05
0.59	0	57.97
0.6	0	56.86
0.61	0	57.62
0.62	0	57.88
0.63	0	57.74
0.64	0	57.05
0.65	0	56.92
0.66	0	57.12
0.67	0	56.74
0.68	0	56.22
0.69	0	55.78
0.7	0	55.86
0.71	0	56
0.72	0	55.46
0.73	0	54.72
0.74	0	54.48
0.75	0	53.94
0.76	0	52.69
0.77	0	51.66
0.78	0	50.55
0.79	0	48.56
0.8	0	46.66
0.81	0	45.68
0.82	0	43.56
0.83	0	42.08
0.84	0	41.76
0.85	0	41.37
0.86	0	41.58
0.87	0	42.53
0.88	0	43.89
0.89	0	45.29
0.9	0	46.19
0.91	0	51.53
0.92	224.95	62.15
0.93	223.8	69.03
0.94	218.67	71.79
0.95	214.02	71.96
0.96	211.51	70.86
0.97	208.29	69.01
0.98	204.96	65.39
0.99	0	58.21
1	0	48.79
1.01	0	41.89
1.02	0	33.85
1.03	0	26.8
1.04	0	26.59
1.05	0	41.1
1.06	0	59.59
1.07	0	66.71
1.08	0	66.52
1.09	0	61.3
1.1	0	58.4
1.11	227.03	64.87
1.12	225.7	73.49
1.13	222.93	79.13
1.14	219.99	82.16
1.15	217.46	83.51
1.16	215.28	84.06
1.17	212.75	84.31
1.18	210.34	84.43
1.19	209.56	84.39
1.2	210.81	83.59
1.21	212.3	81.35
1.22	212.32	77.17
1.23	211.74	70.52
1.24	0	61.43
1.25	0	50.96
1.26	0	43.37
1.27	0	34.48
1.28	0	28.54
1.29	0	47.89
1.3	0	58.73
1.31	0	61.49
1.32	236.03	67.12
1.33	227.42	72.53
1.34	213.74	72.48
1.35	0	66.88
1.36	0	56.61
1.37	0	51.14
1.38	0	50
1.39	0	53.81
1.4	200.33	65.33
1.41	201.43	73.7
1.42	202.3	78.28
1.43	201.13	80.34
1.44	198.79	80.45
1.45	196.89	80.74
1.46	196.13	82.19
1.47	196.2	83.46
1.48	196.79	83.89
1.49	196.85	83.49
1.5	194.78	82.24
1.51	189.86	80.37
1.52	183.14	78.21
1.53	0	75.58
1.54	0	72.36
1.55	0	67.61
1.56	0	57.99
1.57	0	47.24
1.58	0	47.13
1.59	0	46.62
1.6	0	44.87
1.61	0	43.98
1.62	0	43.65
1.63	0	53.57
1.64	0	64.82
1.65	209.66	69.07
1.66	208.81	72.81
1.67	206.63	75.26
1.68	204.43	75.26
1.69	203.14	74.73
1.7	202.6	74.35
1.71	202.92	74
1.72	203.84	73.9
1.73	204.8	73.98
1.74	205.69	73.99
1.75	206.2	73.59
1.76	205.8	72.51
1.77	205.02	71.45
1.78	204.53	70.66
1.79	204.35	69.73
1.8	204.47	68.55
1.81	204.67	66.97
1.82	204.65	65.42
1.83	204.34	64.89
1.84	203.89	64.87
1.85	203.92	64.8
1.86	204.72	64.6
1.87	204.65	63.86
1.88	201.18	61.93
1.89	0	58.8
1.9	0	55.13
1.91	0	54.45
1.92	0	54.97
1.93	0	54.06
1.94	0	52.46
1.95	0	51.35
1.96	0	51.44
1.97	0	52.25
1.98	0	53.88
1.99	0	54.37
2	0	52.95
2.01	0	57.32
2.02	199.3	67.48
2.03	195.56	72.82
2.04	187.52	74.36
2.05	179.31	73.68
2.06	173.79	73.67
2.07	171.06	74.44
2.08	169.28	74.5
2.09	167.6	74.16
2.1	165.9	73.66
2.11	164.56	72.77
2.12	163.67	71.69
2.13	163.39	70.64
2.14	163.69	69.53
2.15	165.21	67.74
2.16	170.63	65.45
2.17	176.21	63.9
2.18	174.45	63.55
2.19	170.59	63.23
2.2	171.3	61.87
2.21	176.52	59.73
2.22	180.33	57.82
2.23	0	55.81
2.24	0	53.87
2.25	0	50.94
2.26	0	46.32
2.27	0	41.24
2.28	0	36.85
2.29	0	34.3
2.3	0	33.86
2.31	0	0
2.32	0	0
?	?	?
