time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	29.57
0.05	0	29.71
0.06	0	30.07
0.07	0	29.76
0.08	0	29.74
0.09	0	29.24
0.1	0	28.95
0.11	0	29.75
0.12	0	36.51
0.13	0	52.56
0.14	0	61.29
0.15	211.16	67.14
0.16	212.78	75.27
0.17	0	79.58
0.18	0	81.64
0.19	204.16	82.8
0.2	204.48	83.23
0.21	205.5	83.16
0.22	207.02	82.84
0.23	208.76	82.13
0.24	211.06	81.31
0.25	212.42	79.67
0.26	215.14	75.34
0.27	216.68	76.55
0.28	215.95	80.09
0.29	216.19	80.66
0.3	216.81	79.24
0.31	216.08	75.43
0.32	0	67.58
0.33	0	58.4
0.34	0	56.97
0.35	215.16	60.76
0.36	216.35	67.79
0.37	217.63	72.96
0.38	218.88	74.61
0.39	219.09	73.6
0.4	217.67	70.89
0.41	217.01	67.55
0.42	215.78	64.86
0.43	214.01	62.63
0.44	0	58.44
0.45	0	50.87
0.46	0	41.85
0.47	0	33.41
0.48	0	31.01
0.49	0	30.57
0.5	0	29.55
0.51	0	32.45
0.52	0	45
0.53	0	53.63
0.54	0	57.88
0.55	0	58.67
0.56	0	56.45
0.57	0	53.73
0.58	0	61.35
0.59	227.72	71.62
0.6	225.67	76.47
0.61	223.14	78.11
0.62	222.62	78.17
0.63	222.98	77.31
0.64	223.38	76.25
0.65	223.93	75.73
0.66	224.07	75.45
0.67	224.26	75.13
0.68	224.59	74.28
0.69	224.1	71.15
0.7	224.26	66.48
0.71	225.79	66.75
0.72	228.13	69.64
0.73	230.23	70.69
0.74	231.62	70.82
0.75	232.8	71.19
0.76	233.87	71.4
0.77	234.18	69.75
0.78	0	64.26
0.79	0	56.75
0.8	0	54.52
0.81	0	60.35
0.82	245.79	68.47
0.83	242.79	74.11
0.84	239.54	76.07
0.85	230.37	76.1
0.86	214.89	75.42
0.87	206.52	73.87
0.88	209.1	72.28
0.89	228.27	70.95
0.9	242.57	69.9
0.91	243.25	69.4
0.92	242.91	69.3
0.93	243.78	68.91
0.94	243.74	68.2
0.95	242.95	67.28
0.96	235.67	66.22
0.97	223.43	63.98
0.98	0	58.9
0.99	0	50.32
1	0	43.61
1.01	0	43.29
1.02	0	45.43
1.03	0	48.27
1.04	0	50.67
1.05	0	51.46
1.06	0	49.64
1.07	0	44.57
1.08	0	40.75
1.09	0	51.17
1.1	0	61.72
1.11	0	71.35
1.12	190.62	77.07
1.13	187.22	79.32
1.14	182.8	79.93
1.15	181.02	80.07
1.16	180.16	80.01
1.17	178.78	79.86
1.18	177.85	79.54
1.19	176.57	79.47
1.2	174.83	79.46
1.21	174.95	79.16
1.22	176.3	78.9
1.23	177.18	78.82
1.24	177.65	78.86
1.25	177.87	78.81
1.26	178.46	78.57
1.27	179.24	78.22
1.28	180.27	77.44
1.29	181.65	75.94
1.3	182.63	74.22
1.31	183.68	72.39
1.32	185.57	69.86
1.33	188.15	66.62
1.34	192.07	63.22
1.35	0	60.04
1.36	0	57.83
1.37	0	56.05
1.38	0	52.73
1.39	0	47.39
1.4	0	41.82
1.41	0	37.53
1.42	0	35.79
1.43	0	35.98
1.44	0	35.22
1.45	0	0
1.46	0	0
1.47	0	0
?	?	?
