time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.71
0.05	0	27.05
0.06	0	26.99
0.07	0	25.75
0.08	0	22.47
0.09	0	19.82
0.1	0	18.47
0.11	0	18.38
0.12	0	27.88
0.13	0	42.08
0.14	0	47.45
0.15	0	49.93
0.16	273.5	59.34
0.17	255.35	66.45
0.18	237.48	69
0.19	231.45	69.96
0.2	229.48	71.05
0.21	228.46	72.04
0.22	227.7	72.59
0.23	228.04	72.41
0.24	229.32	71.35
0.25	229.37	69.5
0.26	226.93	66.86
0.27	224.24	64.57
0.28	224.7	66.06
0.29	229.83	71.22
0.3	233.04	75.08
0.31	233.79	77.72
0.32	234.98	80.94
0.33	234.47	82.32
0.34	233.72	82.07
0.35	234.98	82.77
0.36	237.14	84.02
0.37	239.51	85.05
0.38	241.93	85.73
0.39	243.91	86.12
0.4	244.7	86.45
0.41	245.67	86.68
0.42	247.07	86.53
0.43	248.66	85.84
0.44	251.35	84.53
0.45	255.61	83.14
0.46	259.88	82.48
0.47	263.76	81.42
0.48	268.73	78.64
0.49	271.16	74.88
0.5	270.38	68.71
0.51	0	57.62
0.52	0	52.09
0.53	274.44	60.96
0.54	290.37	69.31
0.55	292.4	74.29
0.56	289.99	76.94
0.57	288.15	77.24
0.58	287.21	74.46
0.59	284.15	69.38
0.6	284.72	66.78
0.61	285.7	67.28
0.62	287.83	67.75
0.63	291.6	67.75
0.64	292.75	66.84
0.65	286.82	64.11
0.66	277.35	59.95
0.67	0	59.45
0.68	0	61.58
0.69	0	60.46
0.7	0	58.56
0.71	256.16	59.65
0.72	251.36	61.31
0.73	252.29	64.86
0.74	254.43	69.26
0.75	253.83	72.94
0.76	251.69	75.4
0.77	248.24	76.3
0.78	243.43	76.12
0.79	240.19	75.87
0.8	238.24	75.8
0.81	236.24	75.57
0.82	234.31	74.27
0.83	233.31	70.02
0.84	0	60.6
0.85	0	50.75
0.86	0	47.22
0.87	0	46.15
0.88	0	45.84
0.89	0	44.4
0.9	0	42.15
0.91	0	50.93
0.92	257.28	64.17
0.93	257.01	72.13
0.94	255.63	75.49
0.95	252.92	76.24
0.96	251.48	76.34
0.97	251.43	76.48
0.98	252	76.68
0.99	252.68	76.9
1	253.35	77.12
1.01	254.09	77.23
1.02	254.52	77.14
1.03	254.54	76.88
1.04	255.14	76.54
1.05	256.35	76.19
1.06	256.98	75.73
1.07	257.43	74.57
1.08	258.11	71.83
1.09	257.55	69.01
1.1	255.61	70.65
1.11	255.15	73.38
1.12	256.02	74.72
1.13	255.99	75.07
1.14	255.75	74.87
1.15	255.7	74.19
1.16	256.4	72.92
1.17	257.67	70.89
1.18	257.74	68.28
1.19	256.87	66.32
1.2	256.98	65.75
1.21	258.54	65.29
1.22	259.04	63.44
1.23	256.96	59.38
1.24	0	54.86
1.25	0	52.03
1.26	0	51.29
1.27	0	50.82
1.28	0	47.38
1.29	0	41.86
1.3	0	39.47
1.31	0	42.2
1.32	0	47.49
1.33	0	51.39
1.34	0	55.85
1.35	289.6	63.12
1.36	273.03	66.94
1.37	262.75	68.94
1.38	257.19	70.5
1.39	253.84	71.96
1.4	252.33	73.79
1.41	252.24	75.92
1.42	252.77	77.92
1.43	252.04	79.34
1.44	250.64	79.88
1.45	249.93	79.71
1.46	250.28	79.13
1.47	252.32	78.23
1.48	258.42	76.85
1.49	267.72	74.31
1.5	270.62	69.52
1.51	264.57	63.29
1.52	0	61.08
1.53	0	62.09
1.54	0	61.82
1.55	0	59.69
1.56	0	57.08
1.57	0	55.13
1.58	0	53.05
1.59	0	51.13
1.6	0	50.15
1.61	0	50.38
1.62	0	50.95
1.63	0	54.59
1.64	0	58.23
1.65	0	60.83
1.66	241.88	67.61
1.67	234.63	72.26
1.68	226.98	73.96
1.69	219	73.81
1.7	213.7	73.04
1.71	205.9	72.39
1.72	200.84	72.34
1.73	197.4	72.23
1.74	194.53	71.49
1.75	192.84	70.43
1.76	191.89	69.22
1.77	191.43	67.74
1.78	190.93	65.87
1.79	193.18	63.8
1.8	196.26	62.25
1.81	198.94	61.07
1.82	201.93	59.27
1.83	0	56.36
1.84	0	52.87
1.85	0	48.99
1.86	0	43.87
1.87	0	40.12
1.88	0	38.84
1.89	0	36.86
1.9	0	35.47
1.91	0	34.48
1.92	0	32.59
1.93	0	30.09
1.94	0	27.98
1.95	0	26.2
1.96	0	24.9
1.97	0	23.83
1.98	0	23.4
1.99	0	22.82
2	0	0
2.01	0	0
2.02	0	0
