time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	32.94
0.04	0	33.44
0.05	0	34.26
0.06	0	34.31
0.07	0	34
0.08	0	33.68
0.09	0	33.57
0.1	0	33.66
0.11	0	33.51
0.12	0	33.96
0.13	0	39.9
0.14	0	43.49
0.15	0	39.94
0.16	0	34.97
0.17	0	33.5
0.18	0	36.15
0.19	0	45.17
0.2	0	49.12
0.21	0	45.73
0.22	0	40.38
0.23	0	48
0.24	225.84	59.3
0.25	219.81	65.78
0.26	215.45	68.53
0.27	215.26	68.86
0.28	214.47	66.86
0.29	222.29	68.68
0.3	227.54	77.37
0.31	225.37	81.14
0.32	222.27	81.73
0.33	220.24	81.73
0.34	219.52	81.71
0.35	219.59	81.7
0.36	220.09	82.09
0.37	220.96	82.85
0.38	222.28	83.67
0.39	224.15	84.34
0.4	232.03	84.6
0.41	239.08	84.21
0.42	241.92	83.74
0.43	243.21	84.09
0.44	243.55	85.2
0.45	242.84	86.05
0.46	241.46	85.22
0.47	240.31	80.85
0.48	222.31	72.05
0.49	215.61	73.6
0.5	219.74	79.75
0.51	219.41	82.37
0.52	216.58	82.49
0.53	213.71	81.97
0.54	211.06	81.51
0.55	208.75	81.08
0.56	206.32	80.6
0.57	203.69	80.02
0.58	201.72	79.43
0.59	200.63	78.91
0.6	199.95	78.33
0.61	198.99	77.64
0.62	197.7	76.93
0.63	196.7	76.23
0.64	196.16	75.33
0.65	198.69	73.67
0.66	200.16	70.82
0.67	196.21	67.38
0.68	192.37	64.9
0.69	190.97	64.18
0.7	191.18	64.34
0.71	192.23	65.04
0.72	193.69	65.95
0.73	195.77	67
0.74	198.06	68.16
0.75	199.76	69.17
0.76	200.74	69.82
0.77	201.15	69.99
0.78	201.46	70.07
0.79	202.22	70.32
0.8	202.66	70.72
0.81	202.01	71.01
0.82	200.34	70.41
0.83	0	69.19
0.84	0	71.8
0.85	0	75.76
0.86	0	77.11
0.87	0	75.75
0.88	0	75.51
0.89	0	75.56
0.9	0	75.26
0.91	0	75.16
0.92	0	74.92
0.93	0	75.18
0.94	0	74.56
0.95	0	71.18
0.96	214.01	73.14
0.97	212.62	76.85
0.98	207.6	78.67
0.99	203.14	79.4
1	199.83	79.91
1.01	197.02	80.5
1.02	194.97	80.67
1.03	192.89	80.35
1.04	191.02	79.69
1.05	189.84	78.97
1.06	189.18	78.24
1.07	189.02	77.28
1.08	188.75	75.27
1.09	187.56	71.54
1.1	187.62	67.8
1.11	187.88	66.86
1.12	188.91	67.02
1.13	192.84	67.98
1.14	195.92	69.33
1.15	196.94	69.96
1.16	197.85	70.3
1.17	199.12	71.11
1.18	199.38	73.54
1.19	199.33	76.05
1.2	200.12	77.91
1.21	201.37	79.44
1.22	202.58	80.57
1.23	203.32	81.43
1.24	203.74	82.1
1.25	203.47	82.86
1.26	202.8	83.59
1.27	202.82	83.21
1.28	203.59	81.55
1.29	206.35	80.18
1.3	209.85	80.22
1.31	212.05	80.58
1.32	213.42	80.55
1.33	214.51	80.5
1.34	215.03	79.99
1.35	216.24	79.47
1.36	216.97	79.09
1.37	215.49	78.52
1.38	0	77.15
1.39	0	74.53
1.4	0	70.76
1.41	0	63.64
1.42	0	50.21
1.43	0	40.17
1.44	0	35.6
1.45	0	34.25
1.46	0	39.63
1.47	0	47.47
1.48	0	50.78
1.49	0	52.64
1.5	0	53.17
1.51	0	52.51
1.52	0	51.43
1.53	0	51.89
1.54	0	63.86
1.55	0	73.18
1.56	192.76	77.46
1.57	191.67	79.4
1.58	190.41	79.56
1.59	189.67	78.8
1.6	188.5	78.46
1.61	186.29	78.44
1.62	184.39	78.52
1.63	182.64	78.57
1.64	180.56	78.53
1.65	178.53	78.31
1.66	176.32	77.51
1.67	173.49	75.15
1.68	171.18	69.43
1.69	175.13	61.94
1.7	177.76	67.07
1.71	171.5	72.39
1.72	166.67	74.29
1.73	164.59	75.04
1.74	163.1	75.23
1.75	161.9	74.93
1.76	160.61	74.46
1.77	159.85	73.68
1.78	159.9	72.54
1.79	160.47	71.26
1.8	161.08	69.84
1.81	161.66	68.16
1.82	161.76	65.98
1.83	159.99	62.85
1.84	0	59.21
1.85	0	56.07
1.86	0	54.13
1.87	0	53.48
1.88	0	51.36
1.89	0	48.09
1.9	0	45.25
1.91	0	43.03
1.92	0	39.68
1.93	0	35.92
1.94	0	34.65
1.95	0	0
1.96	0	0
1.97	0	0
?	?	?
